PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_max(in)	H_head_height_min(in)	K_neck_relief_dia_max(in)	K_neck_relief_dia_min(in)	S_neck_relief_fillet_radius(in)	U_neck_relief_width(in)	W_head_radius(in)	P_dog_and_half_dog_point_dia_max(in)	P_dog_and_half_dog_point_dia_min(in)	Q_point_length_dog_max(in)	Q_point_length_dog_min(in)	Material	Reference	Edition
ASME B18.6.2 SCREW 9/16 x 5.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_5.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	5.417	5  1/2 	5.5	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 6 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_9/16_x_6_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	9/16	0.563	12	0.0833	5.917	6      	6.0	0.562	0.545	0.795	0.748	0.437	0.407	0.454	0.439	0.054	0.167	1.41	0.391	0.379	0.287	0.275	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 0.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_0.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	0.659	  3/4 	0.75	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 0.875 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_0.875_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	0.784	  7/8 	0.875	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 1 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_1_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	0.909	1      	1.0	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 1.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_1.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	1.159	1  1/4 	1.25	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 1.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_1.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	1.409	1  1/2 	1.5	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 1.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_1.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	1.659	1  3/4 	1.75	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 2 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_2_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	1.909	2      	2.0	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 2.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_2.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	2.159	2  1/4 	2.25	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	2.409	2  1/2 	2.5	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	2.659	2  3/4 	2.75	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	2.909	3      	3.0	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	3.159	3  1/4 	3.25	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 3.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_3.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	3.409	3  1/2 	3.5	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 4 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_4_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	3.909	4      	4.0	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 4.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_4.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	4.409	4  1/2 	4.5	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	4.909	5      	5.0	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 5.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_5.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	5.409	5  1/2 	5.5	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 6 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_5/8_x_6_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	5/8	0.625	11	0.0909	5.909	6      	6.0	0.625	0.606	0.884	0.833	0.485	0.452	0.507	0.492	0.059	0.182	1.56	0.469	0.456	0.321	0.305	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 0.875 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_0.875_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	0.775	  7/8 	0.875	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 1 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_1_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	0.9	1      	1.0	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 1.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_1.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	1.15	1  1/4 	1.25	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 1.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_1.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	1.4	1  1/2 	1.5	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 1.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_1.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	1.65	1  3/4 	1.75	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 2 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_2_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	1.9	2      	2.0	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 2.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_2.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	2.15	2  1/4 	2.25	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	2.4	2  1/2 	2.5	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	2.65	2  3/4 	2.75	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	2.9	3      	3.0	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	3.15	3  1/4 	3.25	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 3.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_3.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	3.4	3  1/2 	3.5	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 4 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_4_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	3.9	4      	4.0	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 4.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_4.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	4.4	4  1/2 	4.5	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	4.9	5      	5.0	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 5.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_5.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	5.4	5  1/2 	5.5	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 6 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_6_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	5.9	6      	6.0	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 6.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_3/4_x_6.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	3/4	0.75	10	0.1000	6.4	6  1/2 	6.5	0.75	0.729	1.06	1.001	0.582	0.544	0.62	0.605	0.065	0.2	1.88	0.562	0.549	0.383	0.367	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 1 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_1_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	0.889	1      	1.0	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 1.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_1.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	1.139	1  1/4 	1.25	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 1.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_1.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	1.389	1  1/2 	1.5	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 1.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_1.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	1.639	1  3/4 	1.75	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 2 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_2_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	1.889	2      	2.0	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 2.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_2.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	2.139	2  1/4 	2.25	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	2.389	2  1/2 	2.5	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	2.639	2  3/4 	2.75	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	2.889	3      	3.0	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	3.139	3  1/4 	3.25	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 3.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_3.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	3.389	3  1/2 	3.5	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 4 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_4_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	3.889	4      	4.0	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 4.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_4.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	4.389	4  1/2 	4.5	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	4.889	5      	5.0	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 5.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_5.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	5.389	5  1/2 	5.5	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 6 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_6_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	5.889	6      	6.0	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 7/8 x 6.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_7/8_x_6.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	7/8	0.875	9	0.1111	6.389	6  1/2 	6.5	0.875	0.852	1.237	1.17	0.678	0.635	0.731	0.716	0.072	0.222	2.19	0.656	0.642	0.446	0.43	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 1.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_1.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	1.125	1  1/4 	1.25	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 1.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_1.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	1.375	1  1/2 	1.5	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 1.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_1.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	1.625	1  3/4 	1.75	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 2 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_2_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	1.875	2      	2.0	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 2.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_2.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	2.125	2  1/4 	2.25	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 2.5 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_2.5_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	2.375	2  1/2 	2.5	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 2.75 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_2.75_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	2.625	2  3/4 	2.75	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 3 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_3_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	2.875	3      	3.0	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1 x 3.25 UNC STEEL SQUARE HEAD SET SCREW DOG POINT	ASME_B18_6_2_1_x_3.25_UNC_STEEL_SQUARE_HEAD_DOG_POINT_SET_SCREW	1	1.0	8	0.1250	3.125	3  1/4 	3.25	1.0	0.974	1.414	1.337	0.774	0.726	0.838	0.823	0.081	0.25	2.5	0.75	0.734	0.51	0.49	St	ASME B18.6.2	1998
