PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_Length(in)	A_width_across_flats_max(in)	A_width_across_flats_min(in)	W_across_corners_min(in)	H_head_height_max(in)	H_head_height_min(in)	B_washer_dia_max(in)	B_washer_dia_min(in)	U_washer_thickness_max(in)	U_washer_thickness_min(in)	F_protrusion_beyond_gaging_ring_min(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_6 X 0.1875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.1875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.1563	2.0	Y	1.5	  3/16	0.1875	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 0.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.2188	2.0	Y	1.5	  1/4 	0.2500	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 0.3125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.3125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.2813	2.0	Y	1.5	  5/16	0.3125	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 0.375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.3438	2.0	Y	1.5	  3/8 	0.3750	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 0.4375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.4375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.3750	2.0	Y	1.5	  7/16	0.4375	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 0.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.4375	2.0	Y	1.5	  1/2 	0.5000	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 0.5625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.5625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.5000	2.0	Y	1.5	  9/16	0.5625	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 0.625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.5625	2.0	Y	1.5	  5/8 	0.6250	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 0.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.6875	2.0	Y	1.5	  3/4 	0.7500	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 0.875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_0.875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.8125	2.0	Y	1.5	  7/8 	0.8750	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 1 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_1_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	0.9375	2.0	Y	1.5	1      	1.0000	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 1.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_1.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	1.1875	2.0	Y	1.5	1  1/4 	1.2500	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 1.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_1.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	1.4375	2.0	Y	1.5	1  1/2 	1.5000	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 1.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_1.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	1.6875	2.0	Y	1.5	1  3/4 	1.7500	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 X 2 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_6_X_2_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_6	0.138	32	0.0313	1.9375	2.0	Y	1.5	2      	2.0000	0.25	0.244	0.272	0.093	0.08	0.328	0.302	0.025	0.015	0.048	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.0938	2.0	Y	1.5	  1/8 	0.1250	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.15625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.15625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.1250	2.0	Y	1.5	  5/32	0.1563	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.1875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.1875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.1563	2.0	Y	1.5	  3/16	0.1875	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.2188	2.0	Y	1.5	  1/4 	0.2500	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.3125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.3125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.2813	2.0	Y	1.5	  5/16	0.3125	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.3438	2.0	Y	1.5	  3/8 	0.3750	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.4375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.4375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.4063	2.0	Y	1.5	  7/16	0.4375	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.4375	2.0	Y	1.5	  1/2 	0.5000	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.5625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.5625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.5000	2.0	Y	1.5	  9/16	0.5625	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.5625	2.0	Y	1.5	  5/8 	0.6250	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.6875	2.0	Y	1.5	  3/4 	0.7500	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 0.875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_0.875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.8125	2.0	Y	1.5	  7/8 	0.8750	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 1 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_1_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	0.9375	2.0	Y	1.5	1      	1.0000	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 1.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_1.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	1.1875	2.0	Y	1.5	1  1/4 	1.2500	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 1.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_1.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	1.4375	2.0	Y	1.5	1  1/2 	1.5000	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 1.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_1.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	1.6875	2.0	Y	1.5	1  3/4 	1.7500	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 2 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_2_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	1.9375	2.0	Y	1.5	2      	2.0000	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 2.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_2.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	1.5000	2.0	N	1.5	2  1/4 	2.2500	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 X 2.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_8_X_2.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_8	0.164	32	0.0313	1.5000	2.0	N	1.5	2  1/2 	2.5000	0.25	0.244	0.272	0.11	0.096	0.348	0.322	0.031	0.019	0.058	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.0833	2.0	Y	1.5	  1/8 	0.1250	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.15625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.15625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.1146	2.0	Y	1.5	  5/32	0.1563	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.1875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.1875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.1458	2.0	Y	1.5	  3/16	0.1875	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.2083	2.0	Y	1.5	  1/4 	0.2500	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.3125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.3125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.2708	2.0	Y	1.5	  5/16	0.3125	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.3333	2.0	Y	1.5	  3/8 	0.3750	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.4375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.4375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.3958	2.0	Y	1.5	  7/16	0.4375	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.4583	2.0	Y	1.5	  1/2 	0.5000	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.5625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.5625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.5208	2.0	Y	1.5	  9/16	0.5625	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.5417	2.0	Y	1.5	  5/8 	0.6250	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.6667	2.0	Y	1.5	  3/4 	0.7500	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 0.875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_0.875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.7917	2.0	Y	1.5	  7/8 	0.8750	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 1 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_1_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	0.9167	2.0	Y	1.5	1      	1.0000	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 1.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_1.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	1.1667	2.0	Y	1.5	1  1/4 	1.2500	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 1.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_1.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	1.4167	2.0	Y	1.5	1  1/2 	1.5000	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 1.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_1.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	1.6667	2.0	Y	1.5	1  3/4 	1.7500	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 2 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_2_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	1.9167	2.0	Y	1.5	2      	2.0000	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 2.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_2.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	1.5000	2.0	N	1.5	2  1/4 	2.2500	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 2.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_2.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	1.5000	2.0	N	1.5	2  1/2 	2.5000	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 2.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_2.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	1.5000	2.0	N	1.5	2  3/4 	2.7500	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 X 3 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_10_X_3_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_10	0.19	24	0.0417	1.5000	2.0	N	1.5	3      	3.0000	0.312	0.305	0.34	0.12	0.105	0.414	0.384	0.031	0.019	0.063	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 0.125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.0833	2.0	Y	1.5	  1/8 	0.1250	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 0.15625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.15625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.1146	2.0	Y	1.5	  5/32	0.1563	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 0.1875 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.1875_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.1458	2.0	Y	1.5	  3/16	0.1875	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 0.25 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.25_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.2083	2.0	Y	1.5	  1/4 	0.2500	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 0.3125 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.3125_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.2708	2.0	Y	1.5	  5/16	0.3125	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 0.375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.3333	2.0	Y	1.5	  3/8 	0.3750	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 0.4375 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.4375_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.3958	2.0	Y	1.5	  7/16	0.4375	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 0.5 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.5_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.4583	2.0	Y	1.5	  1/2 	0.5000	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 0.5625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.5625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.5208	2.0	Y	1.5	  9/16	0.5625	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 0.625 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.625_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.5833	2.0	Y	1.5	  5/8 	0.6250	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 X 0.75 PLAIN HEXAGON WASHER HEAD MACHINE	ASME_B18_6_3_No_12_X_0.75_UNC_STEEL_PLAIN_HEX_WASHER_HEAD_MACHINE_SCREW	No_12	0.216	24	0.0417	0.6667	2.0	Y	1.5	  3/4 	0.7500	0.312	0.305	0.34	0.155	0.139	0.432	0.398	0.039	0.022	0.083	St	ASME B18.6.3	1998
