PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Minor_dia_thread(in)	F_width_across_flats_max(in)	G_width_across_corners_max(in)	H_thickness_max(in)	Material	Reference	Edition	
ASME B18.2.2 NUT 1_1/2 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_1_1/2_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	1_1/2	1.5	6	0.167	1.505	1.32	2.375	2.742	1.505	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 1_5/8 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_1_5/8_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	1_5/8	1.625	6	0.167	1.632	1.445	2.563	2.959	1.632	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 1_3/4 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_1_3/4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	1_3/4	1.75	5	0.2	1.759	1.534	2.75	3.175	1.759	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 1_7/8 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_1_7/8_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	1_7/8	1.875	5	0.2	1.886	1.659	2.938	3.392	1.886	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 2 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_2_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	2.0	2.0	4 1/2	0.222	2.013	1.759	3.125	3.608	2.013	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 2_1/4 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_2_1/4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	2_1/4	2.25	4 1/2	0.222	2.251	2.009	3.5	4.041	2.251	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 2_1/2 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_2_1/2_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	2_1/2	2.5	4 1/2	0.222	2.505	2.259	3.875	4.474	2.505	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 2_3/4 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_2_3/4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	2_3/4	2.75	4	0.25	2.759	2.479	4.25	4.907	2.759	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 3 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_3_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	3.0	3.0	4	0.25	3.013	2.729	4.625	5.34	3.013	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 3_1/4 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_3_1/4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	3_1/4	3.25	4	0.25	3.252	2.979	5.0	5.774	3.252	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 3_1/2 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_3_1/2_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	3_1/2	3.5	4	0.25	3.506	3.229	5.375	6.207	3.506	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 3_3/4 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_3_3/4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	3_3/4	3.75	4	0.25	3.76	3.479	5.75	6.64	3.76	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 4 UNC STEEL HEAVY HEXAGON WASHER FACED	ASME_B18_2_2_4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_NUT	4.0	4.0	4	0.25	4.014	3.729	6.125	7.073	4.014	St	ASME B18.2.2	1987
