PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	I_crown_radius_basic(in)	J_slot_width_max(in)	J_slot_width_min(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	C_cup_and_flat_point_dia_min(in)	Material	Reference	Edition
ASME B18.6.2 SCREW 1/2 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	0.6830	  3/4 	0.7500	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	0.8080	  7/8 	0.8750	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	0.9330	1      	1.0000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 1.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_1.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	1.1830	1  1/4 	1.2500	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 1.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_1.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	1.4330	1  1/2 	1.5000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 1.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_1.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	1.6830	1  3/4 	1.7500	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 2 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_2_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	1.9330	2      	2.0000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 2.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_2.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	2.1830	2  1/4 	2.2500	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 2.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_2.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	2.4330	2  1/2 	2.5000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 2.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_2.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	2.6830	2  3/4 	2.7500	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 3 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_3_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	2.9330	3      	3.0000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 3.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_3.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	3.1830	3  1/4 	3.2500	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 3.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_3.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	3.4330	3  1/2 	3.5000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 4 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_4_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	3.9330	4      	4.0000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 4.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_4.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	4.4330	4  1/2 	4.5000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	4.9330	5      	5.0000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 5.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_5.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	5.4330	5  1/2 	5.5000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 1/2 x 6 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_1/2_x_6_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	1/2	0.5	13	0.0769	5.9330	6      	6.0000	0.5	0.086	0.076	0.13	0.12	0.27	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 0.625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_0.625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	0.5496	  5/8 	0.6250	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	0.6746	  3/4 	0.7500	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	0.7996	  7/8 	0.8750	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	0.9246	1      	1.0000	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 1.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_1.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	1.1746	1  1/4 	1.2500	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 1.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_1.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	1.4246	1  1/2 	1.5000	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 1.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_1.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	1.6746	1  3/4 	1.7500	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 2 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_2_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	1.9246	2      	2.0000	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 2.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_2.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	2.1746	2  1/4 	2.2500	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 2.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_2.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	2.4246	2  1/2 	2.5000	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 2.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_2.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	2.6746	2  3/4 	2.7500	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 3 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_3_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	2.9246	3      	3.0000	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 3.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_3.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	3.1746	3  1/4 	3.2500	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 3.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_3.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	3.4246	3  1/2 	3.5000	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 4 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_4_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	3.9246	4      	4.0000	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 4.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_4.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	4.4246	4  1/2 	4.5000	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	4.9246	5      	5.0000	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 5.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_5.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	5.4246	5  1/2 	5.5000	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 9/16 x 6 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_9/16_x_6_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	9/16	0.563	12	0.0833	5.9246	6      	6.0000	0.562	0.096	0.086	0.146	0.136	0.309	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 0.625 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_0.625_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	0.5413	  5/8 	0.6250	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	0.6663	  3/4 	0.7500	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	0.7913	  7/8 	0.8750	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	0.9163	1      	1.0000	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 1.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_1.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	1.1663	1  1/4 	1.2500	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 1.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_1.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	1.4163	1  1/2 	1.5000	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 1.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_1.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	1.6663	1  3/4 	1.7500	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 2 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_2_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	1.9163	2      	2.0000	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 2.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_2.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	2.1663	2  1/4 	2.2500	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 2.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_2.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	2.4163	2  1/2 	2.5000	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 2.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_2.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	2.6663	2  3/4 	2.7500	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 3 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_3_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	2.9163	3      	3.0000	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 3.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_3.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	3.1663	3  1/4 	3.2500	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 3.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_3.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	3.4163	3  1/2 	3.5000	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 4 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_4_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	3.9163	4      	4.0000	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 4.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_4.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	4.4163	4  1/2 	4.5000	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	4.9163	5      	5.0000	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 5.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_5.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	5.4163	5  1/2 	5.5000	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/8 x 6 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_5/8_x_6_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	5/8	0.625	11	0.0909	5.9163	6      	6.0000	0.625	0.107	0.097	0.161	0.151	0.347	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 0.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_0.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	0.6495	  3/4 	0.7500	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 0.875 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_0.875_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	0.7745	  7/8 	0.8750	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 1 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_1_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	0.8995	1      	1.0000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 1.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_1.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	1.1495	1  1/4 	1.2500	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 1.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_1.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	1.3995	1  1/2 	1.5000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 1.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_1.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	1.6495	1  3/4 	1.7500	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 2 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_2_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	1.8995	2      	2.0000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 2.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_2.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	2.1495	2  1/4 	2.2500	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 2.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_2.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	2.3995	2  1/2 	2.5000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 2.75 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_2.75_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	2.6495	2  3/4 	2.7500	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 3 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_3_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	2.8995	3      	3.0000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 3.25 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_3.25_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	3.1495	3  1/4 	3.2500	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 3.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_3.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	3.3995	3  1/2 	3.5000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 4 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_4_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	3.8995	4      	4.0000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 4.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_4.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	4.3995	4  1/2 	4.5000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	4.8995	5      	5.0000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 5.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_5.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	5.3995	5  1/2 	5.5000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 6 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_6_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	5.8995	6      	6.0000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/4 x 6.5 UNC STEEL SLOTTED HEADLESS FLAT POINT SET	ASME_B18_6_2_3/4_x_6.5_UNC_STEEL_SLOTTED_HEADLESS_FLAT_POINT_SET_SCREW	3/4	0.75	10	0.1000	6.3995	6  1/2 	6.5000	0.75	0.134	0.124	0.193	0.183	0.425	St	ASME B18.6.2	1998
