PartNumber	PartName	Pin_size(ref)	Basic_pin_dia(in)	A_pin_dia(in)	Length(ref)	L_length(in)	C_chamfer_length(in)	Material	Reference	Edition
ASME B18.8.2 PIN 3/32 x 9/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_9/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	9/16	0.563	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	5/8	0.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 11/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_11/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	11/16	0.688	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	3/4	0.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 13/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_13/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	13/16	0.813	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	7/8	0.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 15/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_15/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	15/16	0.938	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	1	1.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	1_1/8	1.125	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	1_1/4	1.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	1_3/8	1.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/32_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/32	0.094	0.094	1_1/2	1.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	1/4	0.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 5/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_5/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	5/16	0.313	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	3/8	0.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 7/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_7/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	7/16	0.438	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	1/2	0.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 9/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_9/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	9/16	0.563	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	5/8	0.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 11/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_11/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	11/16	0.688	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	3/4	0.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 13/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_13/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	13/16	0.813	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	7/8	0.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 15/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_15/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	15/16	0.938	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	1	1.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	1_1/8	1.125	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	1_1/4	1.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	1_3/8	1.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	1_1/2	1.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_1_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	1_5/8	1.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 7/64 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_7/64_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	7/64	0.109	0.109	1_3/4	1.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	1/4	0.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 5/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_5/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	5/16	0.313	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	3/8	0.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 7/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_7/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	7/16	0.438	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	1/2	0.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 9/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_9/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	9/16	0.563	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	5/8	0.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 11/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_11/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	11/16	0.688	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	3/4	0.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 13/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_13/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	13/16	0.813	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	7/8	0.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 15/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_15/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	15/16	0.938	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	1	1.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	1_1/8	1.125	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	1_1/4	1.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	1_3/8	1.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	1_1/2	1.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_1_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	1_5/8	1.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	1_3/4	1.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 1_7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_1_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	1_7/8	1.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 1/8 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_1/8_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	1/8	0.125	0.125	2	2.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	1/4	0.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 5/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_5/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	5/16	0.313	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	3/8	0.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 7/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_7/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	7/16	0.438	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	1/2	0.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 9/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_9/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	9/16	0.563	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	5/8	0.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 11/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_11/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	11/16	0.688	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	3/4	0.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 13/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_13/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	13/16	0.813	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	7/8	0.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 15/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_15/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	15/16	0.938	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_1_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	1	1.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_1/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_1_1/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	1_1/8	1.125	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_1_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	1_1/4	1.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_1_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	1_3/8	1.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_1_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	1_1/2	1.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_1_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	1_5/8	1.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_3/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_1_3/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	1_3/4	1.75	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 1_7/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_1_7/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	1_7/8	1.875	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 5/32 x 2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_5/32_x_2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	5/32	0.156	0.156	2	2.0	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 1/4 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_1/4_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	1/4	0.25	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 5/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_5/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	5/16	0.313	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 3/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_3/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	3/8	0.375	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 7/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_7/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	7/16	0.438	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 1/2 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_1/2_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	1/2	0.5	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 9/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_9/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	9/16	0.563	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 5/8 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_5/8_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	5/8	0.625	0.025	St	ASMEB18.8.2	2000
ASME B18.8.2 PIN 3/16 x 11/16 STEEL STRAIGHT CHAMFERED ENDS	ASME_B18_8_2_3/16_x_11/16_STEEL_CHAMFERED_ENDS_STRAIGHT_PIN	3/16	0.188	0.188	11/16	0.688	0.025	St	ASMEB18.8.2	2000
