PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_side_height(in)	C_head_crown_height(in)	O_total_head_height(in)	M_recess_ref(in)	T_recess_Depth(in)	N_recess_width(in)	Driver_size	Material	Reference	Edition
ASME B18.6.3 SCREW No_12 x 3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	0.5347	2	Y	1.5	3/4	0.7500	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 7/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_7/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	0.6597	2	Y	1.5	7/8	0.8750	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	0.7847	2	Y	1.5	1	1.0000	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_1_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	1.0347	2	Y	1.5	1_1/4	1.2500	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_1_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	1.2847	2	Y	1.5	1_1/2	1.5000	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_1_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	1.5347	2	Y	1.5	1_3/4	1.7500	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	1.7847	2	Y	1.5	2	2.0000	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_2_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	1.5000	2	N	1.5	2_1/4	2.2500	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_2_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	1.5000	2	N	1.5	2_1/2	2.5000	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_2_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	1.5000	2	N	1.5	2_3/4	2.7500	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 3  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_12_x_3__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_12	0.2160	24	0.0417	1.5000	2	N	1.5	3	3.0000	0.412	0.38	0.132	0.068	0.2	0.264	0.14	0.038	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 5/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_5/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	0.1095	2	Y	1.5	5/16	0.3125	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_3/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	0.1720	2	Y	1.5	3/8	0.3750	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 7/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_7/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	0.2345	2	Y	1.5	7/16	0.4375	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	0.2970	2	Y	1.5	1/2	0.5000	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 9/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_9/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	0.3595	2	Y	1.5	9/16	0.5625	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 5/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_5/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	0.4220	2	Y	1.5	5/8	0.6250	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	0.5470	2	Y	1.5	3/4	0.7500	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 7/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_7/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	0.6220	2	Y	1.5	7/8	0.8750	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	0.7470	2	Y	1.5	1	1.0000	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_1_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	0.9970	2	Y	1.5	1_1/4	1.2500	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_1_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.2470	2	Y	1.5	1_1/2	1.5000	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_1_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.4970	2	Y	1.5	1_3/4	1.7500	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.7470	2	Y	1.5	2	2.0000	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 2_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_2_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.5000	2	N	1.5	2_1/4	2.2500	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 2_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_2_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.5000	2	N	1.5	2_1/2	2.5000	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 2_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_2_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.5000	2	N	1.5	2_3/4	2.7500	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_3__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.5000	2	N	1.5	3	3.0000	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_3_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.5000	2	N	1.5	3_1/4	3.2500	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_3_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.5000	2	N	1.5	3_1/2	3.5000	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.5000	2	N	1.5	4	4.0000	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 4_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_4_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.5000	2	N	1.5	4_1/2	4.5000	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 5  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_1/4_x_5__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	1/4	0.2500	20	0.0500	1.5000	2	N	1.5	5	5.0000	0.477	0.442	0.153	0.079	0.232	0.284	0.16	0.04	3	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_3/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	0.1284	2	Y	1.5	3/8	0.3750	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 7/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_7/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	0.1909	2	Y	1.5	7/16	0.4375	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	0.2534	2	Y	1.5	1/2	0.5000	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 9/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_9/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	0.3159	2	Y	1.5	9/16	0.5625	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 5/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_5/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	0.3784	2	Y	1.5	5/8	0.6250	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	0.5034	2	Y	1.5	3/4	0.7500	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 7/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_7/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	0.6284	2	Y	1.5	7/8	0.8750	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	0.6979	2	Y	1.5	1	1.0000	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_1_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	0.9479	2	Y	1.5	1_1/4	1.2500	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_1_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.1979	2	Y	1.5	1_1/2	1.5000	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 1_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_1_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.4479	2	Y	1.5	1_3/4	1.7500	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.6979	2	Y	1.5	2	2.0000	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_2_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.5000	2	N	1.5	2_1/4	2.2500	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_2_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.5000	2	N	1.5	2_1/2	2.5000	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 2_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_2_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.5000	2	N	1.5	2_3/4	2.7500	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_3__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.5000	2	N	1.5	3	3.0000	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_3_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.5000	2	N	1.5	3_1/4	3.2500	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 3_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_3_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.5000	2	N	1.5	3_1/2	3.5000	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.5000	2	N	1.5	4	4.0000	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 4_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_4_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.5000	2	N	1.5	4_1/2	4.5000	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 5/16 x 5  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_5/16_x_5__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	5/16	0.3125	18	0.0556	1.5000	2	N	1.5	5	5.0000	0.597	0.556	0.191	0.099	0.29	0.384	0.226	0.065	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 7/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_3/8_x_7/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	3/8	0.3750	16	0.0625	0.1450	2	Y	1.5	7/16	0.4375	0.717	0.67	0.23	0.117	0.347	0.404	0.245	0.068	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_3/8_x_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	3/8	0.3750	16	0.0625	0.2075	2	Y	1.5	1/2	0.5000	0.717	0.67	0.23	0.117	0.347	0.404	0.245	0.068	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 9/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_3/8_x_9/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	3/8	0.3750	16	0.0625	0.2700	2	Y	1.5	9/16	0.5625	0.717	0.67	0.23	0.117	0.347	0.404	0.245	0.068	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 5/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_3/8_x_5/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	3/8	0.3750	16	0.0625	0.3325	2	Y	1.5	5/8	0.6250	0.717	0.67	0.23	0.117	0.347	0.404	0.245	0.068	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_3/8_x_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	3/8	0.3750	16	0.0625	0.4575	2	Y	1.5	3/4	0.7500	0.717	0.67	0.23	0.117	0.347	0.404	0.245	0.068	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 7/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_3/8_x_7/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	3/8	0.3750	16	0.0625	0.5825	2	Y	1.5	7/8	0.8750	0.717	0.67	0.23	0.117	0.347	0.404	0.245	0.068	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_3/8_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	3/8	0.3750	16	0.0625	0.7075	2	Y	1.5	1	1.0000	0.717	0.67	0.23	0.117	0.347	0.404	0.245	0.068	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 1_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_3/8_x_1_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	3/8	0.3750	16	0.0625	0.8950	2	Y	1.5	1_1/4	1.2500	0.717	0.67	0.23	0.117	0.347	0.404	0.245	0.068	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 1_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_3/8_x_1_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	3/8	0.3750	16	0.0625	1.1450	2	Y	1.5	1_1/2	1.5000	0.717	0.67	0.23	0.117	0.347	0.404	0.245	0.068	4	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 3/8 x 1_3/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_3/8_x_1_3/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	3/8	0.3750	16	0.0625	1.3950	2	Y	1.5	1_3/4	1.7500	0.717	0.67	0.23	0.117	0.347	0.404	0.245	0.068	4	St	ASME B18.6.3	1998
