PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_side_height(in)	C_head_crown_height(in)	O_total_head_height(in)	M_recess_ref(in)	T_recess_Depth(in)	N_recess_width(in)	Driver_size	Material	Reference	Edition
ASME B18.6.3 SCREW No_4 x 7/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_7/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.7580	1.125	Y	1	7/8	0.8750	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_1__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	0.8830	1.125	Y	1	1	1.0000	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1_1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_1_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	1.0000	1.125	N	1	1_1/4	1.2500	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1_1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_4_x_1_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_4	0.1120	40	0.0250	1.0000	1.125	N	1	1_1/2	1.5000	0.212	0.191	0.067	0.037	0.104	0.13	0.086	0.019	1	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 5/32  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_5/32__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.0563	1.125	Y	1	5/32	0.1563	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 3/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_3/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.0875	1.125	Y	1	3/16	0.1875	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1/4  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_1/4__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.1500	1.125	Y	1	1/4	0.2500	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 5/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_5/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.2125	1.125	Y	1	5/16	0.3125	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 3/8  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_3/8__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.2750	1.125	Y	1	3/8	0.3750	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 7/16  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_7/16__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.3125	1.125	Y	1	7/16	0.4375	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1/2  UNC STEEL TYPE 1 CROSS RECESSED OVAL CSK HEAD	ASME_B18_6_3_No_5_x_1/2__UNC_STEEL_TYPE_1_CROSS_RECESSED_OVAL_CSK_HEAD_SCREW	No_5	0.1250	40	0.0250	0.3750	1.125	Y	1	1/2	0.5000	0.237	0.215	0.075	0.041	0.116	0.152	0.073	0.028	2	St	ASME B18.6.3	1998
