PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	s-n-l	L_length(in)	Lg_grip_length	Lt_min thread_ref	D_body_dia(in)	A_head_dia(in)	H_head_height(in)	J_hex_scocket_size(in)	T_key_engagement(in)	F_fillet_transition_dia(in)	Material	Reference	Edition
ASME B18.3 SCREW No_1 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.62	1  1/2 	n	1.50	0.88	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.62	1  3/4 	l	1.75	1.13	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_1 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_1_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_1	0.073	64	0.0156	0.62	2      	l	2.00	1.38	0.62	0.073	0.168	0.054	0.05	0.031	0.089	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.125 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_0.125_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.025	  1/8 	s	0.13	0.036	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.088	  3/16	s	0.19	0.036	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.15	  1/4 	s	0.25	0.036	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.275	  3/8 	s	0.38	0.036	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.4	  1/2 	s	0.50	0.036	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.525	  5/8 	s	0.63	0.036	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.62	  3/4 	s	0.75	0.036	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.625	  7/8 	n	0.88	0.25	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.75	1      	n	1.00	0.25	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.63	1  1/4 	n	1.25	0.62	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.62	1  1/2 	n	1.50	0.88	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.63	1  3/4 	n	1.75	1.12	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.62	2      	l	2.00	1.38	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_2 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_2_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_2	0.086	56	0.0179	0.62	2  1/4 	l	2.25	1.63	0.62	0.086	0.197	0.064	0.05	0.038	0.106	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.125 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.125_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.01	  1/8 	s	0.13	0.083	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.15625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.15625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.042	  5/32	s	0.16	0.115	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.073	  3/16	s	0.19	0.146	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.135	  1/4 	s	0.25	0.208	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.3125 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.3125_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.198	  5/16	s	0.31	0.271	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.26	  3/8 	s	0.38	0.333	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.4375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.4375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.323	  7/16	s	0.44	0.396	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.385	  1/2 	s	0.50	0.458	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.5625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.5625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.448	  9/16	s	0.56	0.521	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.51	  5/8 	s	0.63	0.583	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.62	  3/4 	s	0.75	0.708	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.625	  7/8 	n	0.88	0.25	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.75	1      	n	1.00	0.25	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.63	1  1/4 	n	1.25	0.62	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.62	1  1/2 	n	1.50	0.88	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.63	1  3/4 	n	1.75	1.12	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.62	2      	n	2.00	1.38	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.62	2  1/4 	l	2.25	1.63	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_3 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_3_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_3	0.099	48	0.0208	0.62	2  1/2 	l	2.50	1.88	0.62	0.099	0.226	0.073	0.062	0.044	0.119	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.055	  3/16	s	0.19	0.05	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.117	  1/4 	s	0.25	0.05	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.242	  3/8 	s	0.38	0.05	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.367	  1/2 	s	0.50	0.05	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.492	  5/8 	s	0.63	0.05	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.617	  3/4 	s	0.75	0.05	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.742	  7/8 	s	0.88	0.05	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.75	1      	s	1.00	0.05	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.75	1  1/4 	n	1.25	0.5	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	1.0	1  1/2 	n	1.50	0.5	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.75	1  3/4 	n	1.75	1.0	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	1.0	2      	n	2.00	1.0	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.75	2  1/4 	n	2.25	1.5	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.75	2  1/2 	l	2.50	1.75	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_4 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_4_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_4	0.112	40	0.0250	0.75	2  3/4 	l	2.75	2.0	0.75	0.112	0.255	0.083	0.062	0.055	0.136	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	0.048	  3/16	s	0.19	0.05	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	0.11	  1/4 	s	0.25	0.05	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	0.235	  3/8 	s	0.38	0.05	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	0.36	  1/2 	s	0.50	0.05	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	0.485	  5/8 	s	0.63	0.05	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	0.61	  3/4 	s	0.75	0.05	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	0.735	  7/8 	s	0.88	0.05	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 1 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	0.75	1      	s	1.00	0.05	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	0.75	1  1/4 	s	1.25	0.05	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	1.0	1  1/2 	n	1.50	0.5	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	1.25	1  3/4 	n	1.75	0.5	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 2 UNC STEEL HEXAGON SOCKET HEAD CSK CAP	ASME_B18_3_No_5_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CSK_CAP_SCREW	No_5	0.125	40	0.0250	1.0	2      	n	2.00	1.0	0.75	0.125	0.281	0.09	0.078	0.061	0.153	St	ASME B18.3	1998
