PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_side_height(in)	C_head_crown_height(in)	O_total_head_height(in)	M_recess(in)	T_recess_Depth(in)	N_recess_width(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_3 x 5/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_5/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.2118	1.125	Y	1	5/16	0.3125	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 3/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_3/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.2743	1.125	Y	1	3/8	0.3750	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 7/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_7/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.3368	1.125	Y	1	7/16	0.4375	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.3993	1.125	Y	1	1/2	0.5000	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 9/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_9/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.4618	1.125	Y	1	9/16	0.5625	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 5/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_5/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.5243	1.125	Y	1	5/8	0.6250	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.6493	1.125	Y	1	3/4	0.7500	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 7/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_7/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.7743	1.125	Y	1	7/8	0.8750	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_1_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	0.8993	1.125	Y	1	1	1.0000	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_1_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	1.0000	1.125	N	1	1_1/4	1.2500	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_3_x_1_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_3	0.099	48	0.020833333	1.0000	1.125	N	1	1_1/2	1.5000	0.187	0.167	0.059	0.033	0.092	0.118	0.077	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 5/32 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_5/32_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.0643	1.125	Y	1	5/32	0.1563	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 3/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_3/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.0955	1.125	Y	1	3/16	0.1875	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.1580	1.125	Y	1	1/4	0.2500	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 5/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_5/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.2205	1.125	Y	1	5/16	0.3125	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 3/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_3/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.2580	1.125	Y	1	3/8	0.3750	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 7/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_7/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.3205	1.125	Y	1	7/16	0.4375	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.3830	1.125	Y	1	1/2	0.5000	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 9/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_9/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.4455	1.125	Y	1	9/16	0.5625	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 5/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_5/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.5080	1.125	Y	1	5/8	0.6250	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.6330	1.125	Y	1	3/4	0.7500	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 7/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_7/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.7580	1.125	Y	1	7/8	0.8750	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_1_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	0.8830	1.125	Y	1	1	1.0000	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_1_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	1.0000	1.125	N	1	1_1/4	1.2500	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_4_x_1_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_4	0.112	40	0.025	1.0000	1.125	N	1	1_1/2	1.5000	0.212	0.191	0.067	0.037	0.104	0.13	0.089	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 5/32 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_5/32_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.0563	1.125	Y	1	5/32	0.1563	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 3/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_3/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.0875	1.125	Y	1	3/16	0.1875	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.1500	1.125	Y	1	1/4	0.2500	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 5/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_5/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.2125	1.125	Y	1	5/16	0.3125	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 3/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_3/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.2750	1.125	Y	1	3/8	0.3750	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 7/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_7/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.3125	1.125	Y	1	7/16	0.4375	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.3750	1.125	Y	1	1/2	0.5000	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 9/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_9/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.4375	1.125	Y	1	9/16	0.5625	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 5/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_5/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.5000	1.125	Y	1	5/8	0.6250	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.6250	1.125	Y	1	3/4	0.7500	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 7/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_7/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.7500	1.125	Y	1	7/8	0.8750	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_1_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	0.8750	1.125	Y	1	1	1.0000	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_1_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	1.0000	1.125	N	1	1_1/4	1.2500	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_1_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	1.0000	1.125	N	1	1_1/2	1.5000	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1_3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_1_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	1.0000	1.125	N	1	1_3/4	1.7500	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_5_x_2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_5	0.125	40	0.025	1.0000	1.125	N	1	2	2.0000	0.237	0.215	0.075	0.041	0.116	0.152	0.08	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 3/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_3/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	0.0733	2	Y	1.5	3/16	0.1875	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	0.1358	2	Y	1.5	1/4	0.2500	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 5/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_5/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	0.1983	2	Y	1.5	5/16	0.3125	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 3/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_3/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	0.2608	2	Y	1.5	3/8	0.3750	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 7/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_7/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	0.2920	2	Y	1.5	7/16	0.4375	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	0.3545	2	Y	1.5	1/2	0.5000	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 9/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_9/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	0.4170	2	Y	1.5	9/16	0.5625	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 5/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_5/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	0.4795	2	Y	1.5	5/8	0.6250	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	0.6045	2	Y	1.5	3/4	0.7500	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 7/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_7/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	0.7295	2	Y	1.5	7/8	0.8750	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_1_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	0.8545	2	Y	1.5	1	1.0000	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_1_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	1.1045	2	Y	1.5	1_1/4	1.2500	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_1_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	1.3545	2	Y	1.5	1_1/2	1.5000	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1_3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_1_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	1.6045	2	Y	1.5	1_3/4	1.7500	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_6_x_2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_6	0.138	32	0.03125	1.8545	2	Y	1.5	2	2.0000	0.262	0.238	0.083	0.045	0.128	0.172	0.1	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	0.1188	2	Y	1.5	1/4	0.2500	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 5/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_5/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	0.1813	2	Y	1.5	5/16	0.3125	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 3/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_3/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	0.2438	2	Y	1.5	3/8	0.3750	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 7/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_7/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	0.3063	2	Y	1.5	7/16	0.4375	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	0.3375	2	Y	1.5	1/2	0.5000	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 9/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_9/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	0.4000	2	Y	1.5	9/16	0.5625	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 5/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_5/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	0.4625	2	Y	1.5	5/8	0.6250	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	0.5875	2	Y	1.5	3/4	0.7500	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 7/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_7/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	0.7125	2	Y	1.5	7/8	0.8750	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_1_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	0.8375	2	Y	1.5	1	1.0000	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_1_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	1.0875	2	Y	1.5	1_1/4	1.2500	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_1_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	1.3375	2	Y	1.5	1_1/2	1.5000	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1_3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_1_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	1.5875	2	Y	1.5	1_3/4	1.7500	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_8_x_2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_8	0.164	32	0.03125	1.8375	2	Y	1.5	2	2.0000	0.312	0.285	0.1	0.052	0.152	0.186	0.115	0.041	St	ASME B18.6.3	1998
