PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_side_height(in)	C_head_crown_height(in)	O_total_head_height(in)	M_recess(in)	T_recess_Depth(in)	N_recess_width(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_12 x 3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	0.5347	2	Y	1.5	3/4	0.7500	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 7/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_7/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	0.6597	2	Y	1.5	7/8	0.8750	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_1_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	0.7847	2	Y	1.5	1	1.0000	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_1_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	1.0347	2	Y	1.5	1_1/4	1.2500	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_1_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	1.2847	2	Y	1.5	1_1/2	1.5000	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 1_3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_1_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	1.5347	2	Y	1.5	1_3/4	1.7500	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	1.7847	2	Y	1.5	2	2.0000	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_2_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	1.5000	2	N	1.5	2_1/4	2.2500	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_2_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	1.5000	2	N	1.5	2_1/2	2.5000	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 2_3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_2_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	1.5000	2	N	1.5	2_3/4	2.7500	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_12 x 3 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_No_12_x_3_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	No_12	0.216	24	0.041666667	1.5000	2	N	1.5	3	3.0000	0.412	0.38	0.132	0.068	0.2	0.264	0.148	0.056	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 5/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_5/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	0.1095	2	Y	1.5	5/16	0.3125	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_3/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	0.1720	2	Y	1.5	3/8	0.3750	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 7/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_7/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	0.2345	2	Y	1.5	7/16	0.4375	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	0.2970	2	Y	1.5	1/2	0.5000	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 9/16 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_9/16_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	0.3595	2	Y	1.5	9/16	0.5625	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 5/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_5/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	0.4220	2	Y	1.5	5/8	0.6250	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	0.5470	2	Y	1.5	3/4	0.7500	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 7/8 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_7/8_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	0.6220	2	Y	1.5	7/8	0.8750	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_1_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	0.7470	2	Y	1.5	1	1.0000	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_1_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	0.9970	2	Y	1.5	1_1/4	1.2500	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_1_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	1.2470	2	Y	1.5	1_1/2	1.5000	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 1_3/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_1_3/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	1.4970	2	Y	1.5	1_3/4	1.7500	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	1.7470	2	Y	1.5	2	2.0000	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 2_1/4 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_2_1/4_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	1.5000	2	N	1.5	2_1/4	2.2500	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW 1/4 x 2_1/2 UNC STEEL X RECESSED OVAL CSK TYPE IA	ASME_B18_6_3_1/4_x_2_1/2_UNC_STEEL_X_RECESSED_OVAL_CSK_TYPE_IA_SCREW	1/4	0.25	20	0.05	1.5000	2	N	1.5	2_1/2	2.5000	0.477	0.442	0.153	0.079	0.232	0.284	0.168	0.057	St	ASME B18.6.3	1998
