PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	FullyThreaded	multiplier/increment	Length(ref)	L_length(in)	E_full_size_body_max_dia(in)	E_full_size_body_min_dia(in)	F_width_across_flats_basic(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_basic(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_rad(in)	J_wrenching_height(in)	Y_transition_thread_length(in)	Material	Reference	Edition
ASME B18.2.1 SCREW 1_1/8 x 2 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_2_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	1.643	Y	2.5	2      	2.0	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 2.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_2.25_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	1.893	Y	2.5	2  1/4 	2.25	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 2.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_2.75_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.393	Y	2.5	2  3/4 	2.75	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 3 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_3_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.643	Y	2.5	3      	3.0	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 3.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_3.25_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.893	Y	2.5	3  1/4 	3.25	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 3.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_3.5_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	3.143	Y	2.5	3  1/2 	3.5	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 3.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_3.75_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.500	N	0.25	3  3/4 	3.75	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 4 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_4_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.500	N	0.25	4      	4.0	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 4.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_4.25_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.500	N	0.25	4  1/4 	4.25	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 4.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_4.5_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.500	N	0.25	4  1/2 	4.5	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 4.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_4.75_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.500	N	0.25	4  3/4 	4.75	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1_1/8 x 5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1_1/8_x_5_UNC_STEEL_HEXAGON_CAP_SCREW	1_1/8	1.125	7	0.1429	2.500	N	0.25	5      	5.0	1.125	1.114	1.688	1.688	1.631	1.949	1.859	0.688	0.718	0.658	0.09	0.461	0.714	St	ASME B18.2.1	1996
