PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	FullyThreaded	multiplier/increment	Length(ref)	L_length(in)	E_full_size_body_max_dia(in)	E_full_size_body_min_dia(in)	F_width_across_flats_basic(in)	F_width_across_flats_max(in)	F_width_across_flats_min(in)	G_width_across_corners_max(in)	G_width_across_corners_min(in)	H_head_height_basic(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_rad(in)	J_wrenching_height(in)	Y_transition_thread_length(in)	Material	Reference	Edition
ASME B18.2.1 SCREW 1/2 x 4 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_4_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	4      	4.0	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 4.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_4.25_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	4  1/4 	4.25	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 4.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_4.5_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	4  1/2 	4.5	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 4.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_4.75_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	4  3/4 	4.75	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_5_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	5      	5.0	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 5.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_5.5_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	5  1/2 	5.5	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 1/2 x 6 UNC STEEL HEXAGON CAP	ASME_B18_2_1_1/2_x_6_UNC_STEEL_HEXAGON_CAP_SCREW	1/2	0.5	13	0.0769	1.250	N	0.25	6      	6.0	0.5	0.493	0.75	0.75	0.736	0.866	0.84	0.313	0.323	0.302	0.03	0.215	0.385	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 0.5625 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_0.5625_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	0.438	Y	1.5	  9/16	0.563	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 0.625 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_0.625_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	0.500	Y	1.5	  5/8 	0.625	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 0.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_0.75_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	0.625	Y	1.5	  3/4 	0.75	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 0.875 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_0.875_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	0.750	Y	1.5	  7/8 	0.875	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 1 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_1_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	0.875	Y	1.5	1      	1.0	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 1.125 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_1.125_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.000	Y	1.5	1  1/8 	1.125	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 1.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_1.25_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.042	Y	2.5	1  1/4 	1.25	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 1.375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_1.375_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.167	Y	2.5	1  3/8 	1.375	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 1.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_1.5_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.292	Y	2.5	1  1/2 	1.5	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 1.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_1.75_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.542	Y	2.5	1  3/4 	1.75	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 2 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_2_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.792	Y	2.5	2      	2.0	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 2.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_2.25_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	2  1/4 	2.25	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 2.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_2.75_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	2  3/4 	2.75	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 3 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_3_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	3      	3.0	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 3.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_3.25_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	3  1/4 	3.25	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 3.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_3.5_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	3  1/2 	3.5	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 3.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_3.75_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	3  3/4 	3.75	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 4 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_4_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	4      	4.0	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 4.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_4.25_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	4  1/4 	4.25	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 4.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_4.5_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	4  1/2 	4.5	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 4.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_4.75_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	4  3/4 	4.75	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_5_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	5      	5.0	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 5.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_5.5_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	5  1/2 	5.5	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 9/16 x 6 UNC STEEL HEXAGON CAP	ASME_B18_2_1_9/16_x_6_UNC_STEEL_HEXAGON_CAP_SCREW	9/16	0.563	12	0.0833	1.375	N	0.25	6      	6.0	0.563	0.555	0.813	0.812	0.798	0.938	0.91	0.359	0.371	0.348	0.06	0.25	0.417	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 0.625 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_0.625_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	0.489	Y	1.5	  5/8 	0.625	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 0.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_0.75_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	0.614	Y	1.5	  3/4 	0.75	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 0.875 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_0.875_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	0.739	Y	1.5	  7/8 	0.875	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 1 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_1_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	0.864	Y	1.5	1      	1.0	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 1.125 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_1.125_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	0.989	Y	1.5	1  1/8 	1.125	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 1.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_1.25_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.114	Y	1.5	1  1/4 	1.25	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 1.375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_1.375_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.148	Y	2.5	1  3/8 	1.375	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 1.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_1.5_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.273	Y	2.5	1  1/2 	1.5	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 1.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_1.75_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.523	Y	2.5	1  3/4 	1.75	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 2 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_2_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.773	Y	2.5	2      	2.0	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 2.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_2.25_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	2  1/4 	2.25	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 2.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_2.75_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	2  3/4 	2.75	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 3 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_3_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	3      	3.0	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 3.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_3.25_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	3  1/4 	3.25	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 3.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_3.5_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	3  1/2 	3.5	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 3.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_3.75_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	3  3/4 	3.75	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 4 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_4_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	4      	4.0	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 4.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_4.25_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	4  1/4 	4.25	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 4.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_4.5_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	4  1/2 	4.5	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 4.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_4.75_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	4  3/4 	4.75	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_5_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	5      	5.0	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 5.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_5.5_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	5  1/2 	5.5	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 5/8 x 6 UNC STEEL HEXAGON CAP	ASME_B18_2_1_5/8_x_6_UNC_STEEL_HEXAGON_CAP_SCREW	5/8	0.625	11	0.0909	1.500	N	0.25	6      	6.0	0.625	0.617	0.938	0.938	0.922	1.083	1.051	0.391	0.403	0.378	0.06	0.269	0.455	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 0.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_0.75_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	0.600	Y	1.5	  3/4 	0.75	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 0.875 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_0.875_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	0.725	Y	1.5	  7/8 	0.875	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 1 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_1_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	0.850	Y	1.5	1      	1.0	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 1.125 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_1.125_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	0.975	Y	1.5	1  1/8 	1.125	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 1.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_1.25_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.100	Y	1.5	1  1/4 	1.25	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 1.375 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_1.375_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.225	Y	1.5	1  3/8 	1.375	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 1.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_1.5_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.350	Y	1.5	1  1/2 	1.5	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 1.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_1.75_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.500	Y	2.5	1  3/4 	1.75	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 2 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_2_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.750	Y	2.5	2      	2.0	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 2.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_2.25_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	2.000	Y	2.5	2  1/4 	2.25	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 2.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_2.5_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	2.250	Y	2.5	2  1/2 	2.5	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 2.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_2.75_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.750	N	0.25	2  3/4 	2.75	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 3 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_3_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.750	N	0.25	3      	3.0	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 3.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_3.25_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.750	N	0.25	3  1/4 	3.25	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 3.5 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_3.5_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.750	N	0.25	3  1/2 	3.5	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 3.75 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_3.75_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.750	N	0.25	3  3/4 	3.75	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 4 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_4_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.750	N	0.25	4      	4.0	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
ASME B18.2.1 SCREW 3/4 x 4.25 UNC STEEL HEXAGON CAP	ASME_B18_2_1_3/4_x_4.25_UNC_STEEL_HEXAGON_CAP_SCREW	3/4	0.75	10	0.1	1.750	N	0.25	4  1/4 	4.25	0.75	0.741	1.125	1.125	1.1	1.299	1.254	0.469	0.483	0.455	0.06	0.324	0.5	St	ASME B18.2.1	1996
