PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Minor_dia_thread(in)	F_width_across_flats(in)	G_width_across_corners(in)	H1_thickness_heavy_hex_jam_Nuts(in)	Material	Reference	Edition	
ASME B18.2.2 NUT 1_1/8 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_1_1/8_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	1_1/8	1.125	7	0.143	0.609	0.97	1.813	2.093	0.609	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 1_1/4 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_1_1/4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	1_1/4	1.25	7	0.143	0.719	1.095	2.0	2.309	0.719	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 1_3/8 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_1_3/8_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	1_3/8	1.375	6	0.167	0.781	1.195	2.188	2.526	0.781	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 1_1/2 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_1_1/2_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	1_1/2	1.5	6	0.167	0.844	1.32	2.375	2.742	0.844	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 1_5/8 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_1_5/8_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	1_5/8	1.625	6	0.167	0.906	1.445	2.563	2.959	0.906	St	ASME B18.2.2	1987	
ASME B18.2.2 NUT 1_3/4 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_1_3/4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	1_3/4	1.75	5	0.2	0.969	1.534	2.75	3.175	0.969	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 1_7/8 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_1_7/8_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	1_7/8	1.875	5	0.2	1.031	1.659	2.938	3.392	1.031	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 2 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_2_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	2	2.0	4 1/2	0.222	1.094	1.759	3.125	3.608	1.094	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 2_1/4 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_2_1/4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	2_1/4	2.25	4 1/2	0.222	1.203	2.009	3.5	4.041	1.203	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 2_1/2 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_2_1/2_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	2_1/2	2.5	4 1/2	0.222	1.453	2.259	3.875	4.474	1.453	St	ASME B18.2.2	1987
ASME B18.2.2 NUT 2_3/4 UNC STEEL HEAVY HEXAGON JAM WASHER FACED	ASME_B18_2_2_2_3/4_UNC_STEEL_HEAVY_HEXAGON_WASHER_FACED_JAM_NUT	2_3/4	2.75	4	0.25	1.578	2.479	4.25	4.907	1.578	St	ASME B18.2.2	1987
