PartNumber	PartName	Key_number	Nominal_size	W_width(in)	B_radius(in)	F_actual_length(in)	C_height_of_key_max(in)	C_height_of_key_min(in)	D_height_of_key_max(in)	D_height_of_key_min(in)	E_dis_below_center(in)	E_dis_below_center(ref)	Material	Reference	Edition
ANSI B17.2 KEY NO 1009 x 5/16_x_1_1/8 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_1009_x_5/16_x_1_1/8_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	1009	5/16_x_1_1/8	0.3125	1.125	1.114	0.484	0.479	0.475	0.469	0.0781	  5/64	St	ANSI B17.2	1967	
ANSI B17.2 KEY NO 610 x 3/16_x_1_1/4 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_610_x_3/16_x_1_1/4_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	610	3/16_x_1_1/4	0.1875	1.25	1.24	0.547	0.542	0.537	0.531	0.0781	  5/64	St	ANSI B17.2	1967	
ANSI B17.2 KEY NO 710 x 7/32_x_1_1/4 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_710_x_7/32_x_1_1/4_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	710	7/32_x_1_1/4	0.2188	1.25	1.24	0.547	0.542	0.537	0.531	0.0781	  5/64	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 810 x 1/4_x_1_1/4 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_810_x_1/4_x_1_1/4_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	810	1/4_x_1_1/4	0.25	1.25	1.24	0.547	0.542	0.537	0.531	0.0781	  5/64	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 1010 x 5/16_x_1_1/4 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_1010_x_5/16_x_1_1/4_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	1010	5/16_x_1_1/4	0.3125	1.25	1.24	0.547	0.542	0.537	0.531	0.0781	  5/64	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 1210 x 3/8_x_1_1/4 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_1210_x_3/8_x_1_1/4_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	1210	3/8_x_1_1/4	0.375	1.25	1.24	0.547	0.542	0.537	0.531	0.0781	  5/64	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 811 x 1/4_x_1_3/8 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_811_x_1/4_x_1_3/8_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	811	1/4_x_1_3/8	0.25	1.375	1.362	0.594	0.589	0.584	0.578	0.0938	  3/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 1011 x 5/16_x_1_3/8 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_1011_x_5/16_x_1_3/8_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	1011	5/16_x_1_3/8	0.3125	1.375	1.362	0.594	0.589	0.584	0.578	0.0938	  3/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 1211 x 3/8_x_1_3/8 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_1211_x_3/8_x_1_3/8_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	1211	3/8_x_1_3/8	0.375	1.375	1.362	0.594	0.589	0.584	0.578	0.0938	  3/32	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 812 x 1/4_x_1_1/2 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_812_x_1/4_x_1_1/2_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	812	1/4_x_1_1/2	0.25	1.5	1.484	0.641	0.636	0.631	0.625	0.1094	  7/64	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 1012 x 5/16_x_1_1/2 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_1012_x_5/16_x_1_1/2_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	1012	5/16_x_1_1/2	0.3125	1.5	1.484	0.641	0.636	0.631	0.625	0.1094	  7/64	St	ANSI B17.2	1967
ANSI B17.2 KEY NO 1212 x 3/8_x_1_1/2 STEEL FLAT BOTTOM TYPE 1 WOODRUFF	ANSI_B17_2_NO_1212_x_3/8_x_1_1/2_STEEL_FLAT_BOTTOM_TYPE_1_WOODRUFF_KEY	1212	3/8_x_1_1/2	0.375	1.5	1.484	0.641	0.636	0.631	0.625	0.1094	  7/64	St	ANSI B17.2	1967
