PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max(in)	A_head_dia_min(in)	A_head_dia_absolute_min(in)	F_flat_head_dia_max(in)	H_head_height_max(in)	H_head_height_min(in)	J_Slot_Width_max(in)	J_slot_width_min(in)	T_slot_Depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ANSI B18.5 BOLT 1/2 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	3  1/2 	3.5	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	3  3/4 	3.75	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	4      	4.0	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	4  1/4 	4.25	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	4  1/2 	4.5	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	4  3/4 	4.75	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	5      	5.0	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 5.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_5.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	5  1/2 	5.5	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 6 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_6_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.461	6      	6.0	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 6.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_6.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.5	1.5	0.461	6  1/2 	6.5	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 7 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_7_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.5	1.5	0.461	7      	7.0	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 7.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_7.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.5	1.5	0.461	7  1/2 	7.5	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1/2 x 8 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1/2_x_8_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1/2	0.5	13	0.0769	1.5	1.5	0.461	8      	8.0	0.515	0.483	0.935	0.905	0.845	0.035	0.269	0.233	0.106	0.091	0.103	0.068	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 1 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_1_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	0.437	1.5	0.563	1      	1.0	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 1.125 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_1.125_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	0.562	1.5	0.563	1  1/8 	1.125	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 1.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_1.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	0.687	1.5	0.563	1  1/4 	1.25	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 1.375 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_1.375_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	0.812	1.5	0.563	1  3/8 	1.375	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 1.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_1.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	0.937	1.5	0.563	1  1/2 	1.5	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 1.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_1.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.187	1.5	0.563	1  3/4 	1.75	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 2 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_2_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.437	1.5	0.563	2      	2.0	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	2  1/4 	2.25	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	2  3/4 	2.75	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	3      	3.0	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	3  1/4 	3.25	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	3  1/2 	3.5	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	3  3/4 	3.75	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	4      	4.0	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	4  1/4 	4.25	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	4  1/2 	4.5	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	4  3/4 	4.75	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	5      	5.0	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 5.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_5.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	5  1/2 	5.5	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 6 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_6_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.563	6      	6.0	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 6.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_6.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.563	6  1/2 	6.5	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 7 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_7_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.563	7      	7.0	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 7.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_7.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.563	7  1/2 	7.5	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 8 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_8_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.563	8      	8.0	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 8.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_8.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.563	8  1/2 	8.5	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 5/8 x 9 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_5/8_x_9_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.563	9      	9.0	0.642	0.605	1.169	1.132	1.066	0.038	0.336	0.292	0.133	0.116	0.137	0.091	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 1.125 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_1.125_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	0.472	1.75	0.653	1  1/8 	1.125	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 1.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_1.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	0.597	1.75	0.653	1  1/4 	1.25	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 1.375 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_1.375_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	0.722	1.75	0.653	1  3/8 	1.375	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 1.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_1.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	0.847	1.75	0.653	1  1/2 	1.5	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 1.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_1.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.097	1.75	0.653	1  3/4 	1.75	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 2 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_2_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.347	1.75	0.653	2      	2.0	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.597	1.75	0.653	2  1/4 	2.25	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	2  3/4 	2.75	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	3      	3.0	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	3  1/4 	3.25	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	3  1/2 	3.5	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	3  3/4 	3.75	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	4      	4.0	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	4  1/4 	4.25	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	4  1/2 	4.5	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	4  3/4 	4.75	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	5      	5.0	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 5.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_5.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	5  1/2 	5.5	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 3/4 x 6 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_3/4_x_6_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	3/4	0.75	10	0.1000	1.75	1.75	0.653	6      	6.0	0.768	0.729	1.402	1.357	1.285	0.041	0.403	0.349	0.149	0.131	0.171	0.115	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 1.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_1.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	0.502	2.0	0.748	1  1/4 	1.25	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 1.375 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_1.375_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	0.627	2.0	0.748	1  3/8 	1.375	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 1.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_1.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	0.752	2.0	0.748	1  1/2 	1.5	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 1.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_1.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	1.002	2.0	0.748	1  3/4 	1.75	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 2 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_2_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	1.252	2.0	0.748	2      	2.0	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 2.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_2.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	1.502	2.0	0.748	2  1/4 	2.25	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 2.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_2.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	2.0	2.0	0.748	2  3/4 	2.75	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 3 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_3_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	2.0	2.0	0.748	3      	3.0	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 3.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_3.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	2.0	2.0	0.748	3  1/4 	3.25	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	2.0	2.0	0.748	3  1/2 	3.5	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	2.0	2.0	0.748	3  3/4 	3.75	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
ANSI B18.5 BOLT 7/8 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_7/8_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	7/8	0.875	9	0.1111	2.0	2.0	0.748	4      	4.0	0.895	0.852	1.637	1.584	1.511	0.042	0.47	0.408	0.167	0.147	0.206	0.138	St	ANSI B18.5	1990
