PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max(in)	A_head_dia_min(in)	A_head_dia_absolute_min(in)	F_flat_head_dia_max(in)	H_head_height_max(in)	H_head_height_min(in)	J_Slot_Width_max(in)	J_slot_width_min(in)	T_slot_Depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ANSI B18.5 BOLT 1 x 3.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_3.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.25	2.25	0.85	3  1/2 	3.5	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 3.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_3.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.25	2.25	0.85	3  3/4 	3.75	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 4 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_4_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.25	2.25	0.85	4      	4.0	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 4.25 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_4.25_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.25	2.25	0.85	4  1/4 	4.25	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 4.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_4.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.25	2.25	0.85	4  1/2 	4.5	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 4.75 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_4.75_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.25	2.25	0.85	4  3/4 	4.75	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.25	2.25	0.85	5      	5.0	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 5.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_5.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.25	2.25	0.85	5  1/2 	5.5	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 6 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_6_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.25	2.25	0.85	6      	6.0	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
ANSI B18.5 BOLT 1 x 6.5 UNC STEEL COUNTERSUNK SLOTTED	ANSI_B18_5_1_x_6.5_UNC_STEEL_COUNTERSUNK_SLOTTED_BOLT	1	1.0	8	0.1250	2.5	2.5	0.85	6  1/2 	6.5	1.022	0.976	1.869	1.81	1.735	0.043	0.537	0.466	0.188	0.166	0.24	0.162	St	ANSI B18.5	1990
