PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	L_length(in)	chamfer(in)	J_hex_socket_size(in)	M_number_spline	M_socket_dia(in)	N_socket_minor(in)	P_width_tool(in)	T_min_key_engagement_spline_socket(in)	C_cup_and_flat_point_dia(in)	Material	Reference	Edition
ASME B18.3  SCREW 5/8 x 0.875 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_0.875_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	0.8432	  7/8 	0.875	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 1 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_1_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	0.9682	1      	1.0	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 1.25 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_1.25_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	1.2182	1  1/4 	1.25	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 1.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_1.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	1.4682	1  1/2 	1.5	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 1.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_1.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	1.7182	1  3/4 	1.75	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 2 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_2_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	1.9682	2      	2.0	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 2.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_2.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	2.4682	2  1/2 	2.5	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 3 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_3_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	2.9682	3      	3.0	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 3.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_3.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	3.4682	3  1/2 	3.5	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 4 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_4_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	3.9682	4      	4.0	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 4.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_4.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	4.4682	4  1/2 	4.5	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	4.9682	5      	5.0	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 5.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_5.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	5.4682	5  1/2 	5.5	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 6 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_6_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	5.9682	6      	6.0	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 7 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_7_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	6.9682	7      	7.0	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 5/8 x 8 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_5/8_x_8_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	5/8	0.625	11	0.0909	7.9682	8      	8.0	0.0318	0.312	6.0	0.38	0.319	0.092	0.312	0.371	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 0.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_0.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	0.465	  1/2 	0.5	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 0.625 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_0.625_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	0.59	  5/8 	0.625	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 0.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_0.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	0.715	  3/4 	0.75	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 0.875 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_0.875_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	0.84	  7/8 	0.875	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 1 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_1_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	0.965	1      	1.0	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 1.25 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_1.25_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	1.215	1  1/4 	1.25	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 1.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_1.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	1.465	1  1/2 	1.5	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 1.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_1.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	1.715	1  3/4 	1.75	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 2 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_2_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	1.965	2      	2.0	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 2.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_2.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	2.465	2  1/2 	2.5	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 3 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_3_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	2.965	3      	3.0	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 3.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_3.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	3.465	3  1/2 	3.5	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 4 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_4_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	3.965	4      	4.0	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 4.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_4.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	4.465	4  1/2 	4.5	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	4.965	5      	5.0	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 5.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_5.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	5.465	5  1/2 	5.5	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 6 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_6_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	5.965	6      	6.0	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 7 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_7_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	6.965	7      	7.0	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 3/4 x 8 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_3/4_x_8_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	3/4	0.75	10	0.1	7.965	8      	8.0	0.035	0.375	6.0	0.463	0.386	0.112	0.375	0.45	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 0.625 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_0.625_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	0.5861	  5/8 	0.625	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 0.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_0.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	0.7111	  3/4 	0.75	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 0.875 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_0.875_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	0.8361	  7/8 	0.875	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 1 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_1_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	0.9611	1      	1.0	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 1.25 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_1.25_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	1.2111	1  1/4 	1.25	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 1.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_1.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	1.4611	1  1/2 	1.5	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 1.75 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_1.75_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	1.7111	1  3/4 	1.75	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 2 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_2_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	1.9611	2      	2.0	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 2.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_2.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	2.4611	2  1/2 	2.5	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 3 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_3_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	2.9611	3      	3.0	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 3.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_3.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	3.4611	3  1/2 	3.5	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 4 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_4_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	3.9611	4      	4.0	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 4.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_4.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	4.4611	4  1/2 	4.5	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	4.9611	5      	5.0	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 5.5 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_5.5_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	5.4611	5  1/2 	5.5	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 6 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_6_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	5.9611	6      	6.0	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 7 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_7_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	6.9611	7      	7.0	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
ASME B18.3  SCREW 7/8 x 8 UNC STEEL SPLINE FLAT POINT	ASME_B18_3_7/8_x_8_UNC_STEEL_SPLINE_FLAT_POINT_SCREW	7/8	0.875	9	0.1111	7.9611	8      	8.0	0.0389	0.5	6.0	0.604	0.509	0.138	0.5	0.53	St	ASME B18.3	1998
