PartNumber	PartName	Nominal_size(ref)	Basic_pin_dia(in)	Length(ref)	L_length(in)	A_pin_dia(in)	B_chamfer_dia(in)	C_chamfer_length(in)	F_stock_thickness(in)	Hole_size(in)	Material	Reference	Edition
ASME B18.8.2 STEEL SPRING PIN 1/2 X 1_1/2 SLOTTED TYPE	ASME_B18_8_2_1/2_X_1_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	1/2	0.5	1_1/2	1.5	0.524	0.485	0.11	0.094	0.51	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/2 X 1_3/4 SLOTTED TYPE	ASME_B18_8_2_1/2_X_1_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	1/2	0.5	1_3/4	1.75	0.524	0.485	0.11	0.094	0.51	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/2 X 2 SLOTTED TYPE	ASME_B18_8_2_1/2_X_2_SLOTTED_TYPE_STEEL_SPRING_PIN	1/2	0.5	2	2.0	0.524	0.485	0.11	0.094	0.51	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/2 X 2_1/4 SLOTTED TYPE	ASME_B18_8_2_1/2_X_2_1/4_SLOTTED_TYPE_STEEL_SPRING_PIN	1/2	0.5	2_1/4	2.25	0.524	0.485	0.11	0.094	0.51	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/2 X 2_1/2 SLOTTED TYPE	ASME_B18_8_2_1/2_X_2_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	1/2	0.5	2_1/2	2.5	0.524	0.485	0.11	0.094	0.51	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/2 X 2_3/4 SLOTTED TYPE	ASME_B18_8_2_1/2_X_2_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	1/2	0.5	2_3/4	2.75	0.524	0.485	0.11	0.094	0.51	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/2 X 3 SLOTTED TYPE	ASME_B18_8_2_1/2_X_3_SLOTTED_TYPE_STEEL_SPRING_PIN	1/2	0.5	3	3.0	0.524	0.485	0.11	0.094	0.51	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/2 X 3_1/4 SLOTTED TYPE	ASME_B18_8_2_1/2_X_3_1/4_SLOTTED_TYPE_STEEL_SPRING_PIN	1/2	0.5	3_1/4	3.25	0.524	0.485	0.11	0.094	0.51	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/2 X 3_1/2 SLOTTED TYPE	ASME_B18_8_2_1/2_X_3_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	1/2	0.5	3_1/2	3.5	0.524	0.485	0.11	0.094	0.51	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/2 X 3_3/4 SLOTTED TYPE	ASME_B18_8_2_1/2_X_3_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	1/2	0.5	3_3/4	3.75	0.524	0.485	0.11	0.094	0.51	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 1/2 X 4 SLOTTED TYPE	ASME_B18_8_2_1/2_X_4_SLOTTED_TYPE_STEEL_SPRING_PIN	1/2	0.5	4	4.0	0.524	0.485	0.11	0.094	0.51	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 2 SLOTTED TYPE	ASME_B18_8_2_5/8_X_2_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	2	2.0	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 2_1/4 SLOTTED TYPE	ASME_B18_8_2_5/8_X_2_1/4_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	2_1/4	2.25	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 2_1/2 SLOTTED TYPE	ASME_B18_8_2_5/8_X_2_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	2_1/2	2.5	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 2_3/4 SLOTTED TYPE	ASME_B18_8_2_5/8_X_2_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	2_3/4	2.75	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 3 SLOTTED TYPE	ASME_B18_8_2_5/8_X_3_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	3	3.0	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 3_1/4 SLOTTED TYPE	ASME_B18_8_2_5/8_X_3_1/4_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	3_1/4	3.25	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 3_1/2 SLOTTED TYPE	ASME_B18_8_2_5/8_X_3_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	3_1/2	3.5	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 3_3/4 SLOTTED TYPE	ASME_B18_8_2_5/8_X_3_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	3_3/4	3.75	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 4 SLOTTED TYPE	ASME_B18_8_2_5/8_X_4_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	4	4.0	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 4_1/4 SLOTTED TYPE	ASME_B18_8_2_5/8_X_4_1/4_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	4_1/4	4.25	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 4_1/2 SLOTTED TYPE	ASME_B18_8_2_5/8_X_4_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	4_1/2	4.5	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 4_3/4 SLOTTED TYPE	ASME_B18_8_2_5/8_X_4_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	4_3/4	4.75	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 5 SLOTTED TYPE	ASME_B18_8_2_5/8_X_5_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	5	5.0	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 5_1/4 SLOTTED TYPE	ASME_B18_8_2_5/8_X_5_1/4_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	5_1/4	5.25	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 5_1/2 SLOTTED TYPE	ASME_B18_8_2_5/8_X_5_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	5_1/2	5.5	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 5_3/4 SLOTTED TYPE	ASME_B18_8_2_5/8_X_5_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	5_3/4	5.75	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 5/8 X 6 SLOTTED TYPE	ASME_B18_8_2_5/8_X_6_SLOTTED_TYPE_STEEL_SPRING_PIN	5/8	0.625	6	6.0	0.653	0.608	0.125	0.125	0.636	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 2 SLOTTED TYPE	ASME_B18_8_2_3/4_X_2_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	2	2.0	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 2_1/4 SLOTTED TYPE	ASME_B18_8_2_3/4_X_2_1/4_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	2_1/4	2.25	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 2_1/2 SLOTTED TYPE	ASME_B18_8_2_3/4_X_2_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	2_1/2	2.5	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 2_3/4 SLOTTED TYPE	ASME_B18_8_2_3/4_X_2_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	2_3/4	2.75	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 3 SLOTTED TYPE	ASME_B18_8_2_3/4_X_3_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	3	3.0	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 3_1/4 SLOTTED TYPE	ASME_B18_8_2_3/4_X_3_1/4_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	3_1/4	3.25	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 3_1/2 SLOTTED TYPE	ASME_B18_8_2_3/4_X_3_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	3_1/2	3.5	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 3_3/4 SLOTTED TYPE	ASME_B18_8_2_3/4_X_3_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	3_3/4	3.75	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 4 SLOTTED TYPE	ASME_B18_8_2_3/4_X_4_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	4	4.0	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 4_1/4 SLOTTED TYPE	ASME_B18_8_2_3/4_X_4_1/4_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	4_1/4	4.25	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 4_1/2 SLOTTED TYPE	ASME_B18_8_2_3/4_X_4_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	4_1/2	4.5	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 4_3/4 SLOTTED TYPE	ASME_B18_8_2_3/4_X_4_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	4_3/4	4.75	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 5 SLOTTED TYPE	ASME_B18_8_2_3/4_X_5_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	5	5.0	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 5_1/4 SLOTTED TYPE	ASME_B18_8_2_3/4_X_5_1/4_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	5_1/4	5.25	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 5_1/2 SLOTTED TYPE	ASME_B18_8_2_3/4_X_5_1/2_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	5_1/2	5.5	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 5_3/4 SLOTTED TYPE	ASME_B18_8_2_3/4_X_5_3/4_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	5_3/4	5.75	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
ASME B18.8.2 STEEL SPRING PIN 3/4 X 6 SLOTTED TYPE	ASME_B18_8_2_3/4_X_6_SLOTTED_TYPE_STEEL_SPRING_PIN	3/4	0.75	6	6.0	0.784	0.73	0.15	0.15	0.764	St	ASME B18.8.2	2000
