PartNumber	PartName	Pin_size_number(ref)	Basic_pin_dia	Length(ref)	L_length(in)	A_pin_dia_standard(in)	A_pin_dia_oversize(in)	B_point_dia(in)	C_crown_height(in)	R_end_crown_radius(in)	Material	Reference	Edition
ANSI B18.8.2 PIN 1/8x2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_1/8x2_STEEL_GROUND_MACHINE_DOWEL_PIN	1/8	0.125	2.0	2.0	0.125	0.126	0.12	0.041	0.016	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/32x1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/32x1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	5/32	0.156	1/2	0.5	0.157	0.157	0.15	0.052	0.02	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/32x5/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/32x5/8_STEEL_GROUND_MACHINE_DOWEL_PIN	5/32	0.156	5/8	0.625	0.157	0.157	0.15	0.052	0.02	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/32x3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/32x3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	5/32	0.156	3/4	0.75	0.157	0.157	0.15	0.052	0.02	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/32x7/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/32x7/8_STEEL_GROUND_MACHINE_DOWEL_PIN	5/32	0.156	7/8	0.875	0.157	0.157	0.15	0.052	0.02	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/32x1 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/32x1_STEEL_GROUND_MACHINE_DOWEL_PIN	5/32	0.156	1.0	1.0	0.157	0.157	0.15	0.052	0.02	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/32x1_1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/32x1_1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	5/32	0.156	1_1/4	1.25	0.157	0.157	0.15	0.052	0.02	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/32x1_1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/32x1_1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	5/32	0.156	1_1/2	1.5	0.157	0.157	0.15	0.052	0.02	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/32x1_3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/32x1_3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	5/32	0.156	1_3/4	1.75	0.157	0.157	0.15	0.052	0.02	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 5/32x2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_5/32x2_STEEL_GROUND_MACHINE_DOWEL_PIN	5/32	0.156	2.0	2.0	0.157	0.157	0.15	0.052	0.02	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/16x1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/16x1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	3/16	0.188	1/2	0.5	0.188	0.189	0.18	0.062	0.023	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/16x5/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/16x5/8_STEEL_GROUND_MACHINE_DOWEL_PIN	3/16	0.188	5/8	0.625	0.188	0.189	0.18	0.062	0.023	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/16x3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/16x3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	3/16	0.188	3/4	0.75	0.188	0.189	0.18	0.062	0.023	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/16x7/8 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/16x7/8_STEEL_GROUND_MACHINE_DOWEL_PIN	3/16	0.188	7/8	0.875	0.188	0.189	0.18	0.062	0.023	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/16x1 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/16x1_STEEL_GROUND_MACHINE_DOWEL_PIN	3/16	0.188	1.0	1.0	0.188	0.189	0.18	0.062	0.023	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/16x1_1/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/16x1_1/4_STEEL_GROUND_MACHINE_DOWEL_PIN	3/16	0.188	1_1/4	1.25	0.188	0.189	0.18	0.062	0.023	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/16x1_1/2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/16x1_1/2_STEEL_GROUND_MACHINE_DOWEL_PIN	3/16	0.188	1_1/2	1.5	0.188	0.189	0.18	0.062	0.023	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/16x1_3/4 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/16x1_3/4_STEEL_GROUND_MACHINE_DOWEL_PIN	3/16	0.188	1_3/4	1.75	0.188	0.189	0.18	0.062	0.023	St	ASME B18.8.2	2000
ANSI B18.8.2 PIN 3/16x2 STEEL GROUND MACHINE DOWEL 	ANSI_B18_8_2_3/16x2_STEEL_GROUND_MACHINE_DOWEL_PIN	3/16	0.188	2.0	2.0	0.188	0.189	0.18	0.062	0.023	St	ASME B18.8.2	2000
