PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_dia_max(in)	H_dia_min(in)	R_head_radius(in)	J_slot_width_max(in)	J_slot_width_mix(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_6 x 1_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_1_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	1.188	2.0	Y	1.5	1_1/4	1.25	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_1_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	1.438	2.0	Y	1.5	1_1/2	1.5	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1_3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_1_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	1.688	2.0	Y	1.5	1_3/4	1.75	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	1.938	2.0	Y	1.5	2	2.0	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_1/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.094	2.0	Y	1.5	1/8	0.125	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 5/32 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_5/32_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.125	2.0	Y	1.5	5/32	0.156	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 3/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_3/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.156	2.0	Y	1.5	3/16	0.188	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.219	2.0	Y	1.5	1/4	0.25	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 5/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_5/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.281	2.0	Y	1.5	5/16	0.313	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 3/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_3/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.344	2.0	Y	1.5	3/8	0.375	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 7/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_7/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.406	2.0	Y	1.5	7/16	0.438	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.438	2.0	Y	1.5	1/2	0.5	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 9/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_9/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.5	2.0	Y	1.5	9/16	0.563	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 5/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_5/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.563	2.0	Y	1.5	5/8	0.625	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.688	2.0	Y	1.5	3/4	0.75	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 7/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_7/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.813	2.0	Y	1.5	7/8	0.875	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_1_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	0.938	2.0	Y	1.5	1	1.0	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_1_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	1.188	2.0	Y	1.5	1_1/4	1.25	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_1_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	1.438	2.0	Y	1.5	1_1/2	1.5	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 1_3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_1_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	1.688	2.0	Y	1.5	1_3/4	1.75	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	1.938	2.0	Y	1.5	2	2.0	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 2_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_2_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	1.5	2.0	N	1.5	2_1/4	2.25	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_8 x 2_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_8_x_2_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_8	0.164	32	0.0313	1.5	2.0	N	1.5	2_1/2	2.5	0.322	0.306	0.096	0.085	0.052	0.054	0.045	0.058	0.045	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 1/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_1/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.083	2.0	Y	1.5	1/8	0.125	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 5/32 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_5/32_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.115	2.0	Y	1.5	5/32	0.156	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_10 x 3/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_10_x_3/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_10	0.19	24	0.0417	0.146	2.0	Y	1.5	3/16	0.188	0.373	0.357	0.11	0.099	0.061	0.06	0.05	0.068	0.053	St	ASME B18.6.3	1998
