PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	threshold	FullyThreaded	MinimumThread	Length(ref)	L_length(in)	A_dia_max_dia(in)	A_dia_min_dia(in)	H_dia_max(in)	H_dia_min(in)	R_head_radius(in)	J_slot_width_max(in)	J_slot_width_mix(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	Material	Reference	Edition
ASME B18.6.3 SCREW No_3 x 3/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_3/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.333	1.125	Y	1.0	3/8	0.375	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 7/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_7/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.396	1.125	Y	1.0	7/16	0.438	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.458	1.125	Y	1.0	1/2	0.5	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 9/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_9/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.521	1.125	Y	1.0	9/16	0.563	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 5/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_5/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.583	1.125	Y	1.0	5/8	0.625	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.708	1.125	Y	1.0	3/4	0.75	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 7/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_7/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.833	1.125	Y	1.0	7/8	0.875	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_1_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	0.958	1.125	Y	1.0	1	1.0	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_1_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	1.0	1.125	N	1.0	1_1/4	1.25	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_3 x 1_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_3_x_1_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_3	0.099	48	0.0208	1.0	1.125	N	1.0	1_1/2	1.5	0.193	0.18	0.06	0.051	0.037	0.035	0.027	0.036	0.026	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_1/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.1	1.125	Y	1.0	1/8	0.125	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 5/32 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_5/32_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.131	1.125	Y	1.0	5/32	0.156	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 3/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_3/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.163	1.125	Y	1.0	3/16	0.188	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.225	1.125	Y	1.0	1/4	0.25	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 5/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_5/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.288	1.125	Y	1.0	5/16	0.313	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 3/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_3/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.325	1.125	Y	1.0	3/8	0.375	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 7/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_7/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.388	1.125	Y	1.0	7/16	0.438	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.45	1.125	Y	1.0	1/2	0.5	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 9/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_9/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.513	1.125	Y	1.0	9/16	0.563	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 5/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_5/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.575	1.125	Y	1.0	5/8	0.625	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.7	1.125	Y	1.0	3/4	0.75	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 7/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_7/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.825	1.125	Y	1.0	7/8	0.875	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_1_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	0.95	1.125	Y	1.0	1	1.0	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_1_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	1.0	1.125	N	1.0	1_1/4	1.25	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_4 x 1_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_4_x_1_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_4	0.112	40	0.0250	1.0	1.125	N	1.0	1_1/2	1.5	0.219	0.205	0.068	0.058	0.042	0.039	0.031	0.04	0.03	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_1/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.1	1.125	Y	1.0	1/8	0.125	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 5/32 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_5/32_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.131	1.125	Y	1.0	5/32	0.156	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 3/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_3/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.163	1.125	Y	1.0	3/16	0.188	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.225	1.125	Y	1.0	1/4	0.25	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 5/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_5/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.288	1.125	Y	1.0	5/16	0.313	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 3/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_3/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.35	1.125	Y	1.0	3/8	0.375	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 7/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_7/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.388	1.125	Y	1.0	7/16	0.438	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.45	1.125	Y	1.0	1/2	0.5	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 9/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_9/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.513	1.125	Y	1.0	9/16	0.563	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 5/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_5/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.575	1.125	Y	1.0	5/8	0.625	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.7	1.125	Y	1.0	3/4	0.75	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 7/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_7/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.825	1.125	Y	1.0	7/8	0.875	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_1_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	0.95	1.125	Y	1.0	1	1.0	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1_1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_1_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	1.0	1.125	N	1.0	1_1/4	1.25	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1_1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_1_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	1.0	1.125	N	1.0	1_1/2	1.5	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 1_3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_1_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	1.0	1.125	N	1.0	1_3/4	1.75	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_5 x 2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_5_x_2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_5	0.125	40	0.0250	1.0	1.125	N	1.0	2	2.0	0.245	0.231	0.075	0.065	0.044	0.043	0.035	0.045	0.034	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_1/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.094	2.0	Y	1.5	1/8	0.125	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 5/32 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_5/32_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.125	2.0	Y	1.5	5/32	0.156	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 3/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_3/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.156	2.0	Y	1.5	3/16	0.188	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_1/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.219	2.0	Y	1.5	1/4	0.25	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 5/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_5/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.281	2.0	Y	1.5	5/16	0.313	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 3/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_3/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.344	2.0	Y	1.5	3/8	0.375	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 7/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_7/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.375	2.0	Y	1.5	7/16	0.438	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1/2 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_1/2_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.438	2.0	Y	1.5	1/2	0.5	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 9/16 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_9/16_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.5	2.0	Y	1.5	9/16	0.563	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 5/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_5/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.563	2.0	Y	1.5	5/8	0.625	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 3/4 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_3/4_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.688	2.0	Y	1.5	3/4	0.75	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 7/8 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_7/8_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.813	2.0	Y	1.5	7/8	0.875	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
ASME B18.6.3 SCREW No_6 x 1 UNC STEEL SCREW SLOTTED PAN HEAD	ASME_B18_6_3_No_6_x_1_UNC_STEEL_SCREW_SLOTTED_PAN_HEAD_SCREW	No_6	0.138	32	0.0313	0.938	2.0	Y	1.5	1	1.0	0.27	0.256	0.082	0.072	0.046	0.048	0.039	0.05	0.037	St	ASME B18.6.3	1998
