PartNumber	PartName	Pin_size(ref)	Basic_pin_dia(in)	A_pin_dia(in)	Length(ref)	L_length(in)	R_corner_radius(in)	Material	Reference	Edition
ASME B18.8.2 PIN 1/16 x 13/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_13/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	13/16	0.813	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 7/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_7/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	7/8	0.875	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 15/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_15/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	15/16	0.938	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 1/16 x 1 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_1/16_x_1_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	1/16	0.063	0.063	1	1.0	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 3/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_3/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	3/16	0.188	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1/4 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_1/4_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	1/4	0.25	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 5/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_5/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	5/16	0.313	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 3/8 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_3/8_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	3/8	0.375	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 7/16 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_7/16_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	7/16	0.438	0.02	St	ASME B18.8.2	2000
ASME B18.8.2 PIN 3/32 x 1/2 STEEL HARDENED GROUND PROD DOWEL	ASME_B18_8_2_3/32_x_1/2_STEEL_HARDENED_GROUND_PROD_DOWEL_PIN	3/32	0.094	0.094	1/2	0.5	0.02	St	ASME B18.8.2	2000
