PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	s-n-l	L_length(in)	Lg_grip_length	Lt_min thread_ref	D_body_dia(in)	A_head_dia(in)	H_head_height(in)	C_chamfer(in)	J_hexagon_socet_size(in)	T_key_engagement(in)	G_wall_thickness	K_chamfer(in)	Material	Reference	Edition
ASME B18.3 SCREW No_5 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.45	  1/2 	s	0.50	0.05	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.575	  5/8 	s	0.63	0.05	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.7	  3/4 	s	0.75	0.05	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.75	  7/8 	s	0.88	0.05	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.75	1      	n	1.00	0.25	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	1.0	1  1/4 	n	1.25	0.25	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.75	1  1/2 	n	1.50	0.75	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	1.0	1  3/4 	n	1.75	0.75	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.75	2      	n	2.00	1.25	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	1.0	2  1/4 	n	2.25	1.25	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.75	2  1/2 	n	2.50	1.75	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.75	2  3/4 	l	2.75	2.0	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_5 x 3 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_5_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_5	0.125	40	0.0250	0.75	3      	l	3.00	2.25	0.75	0.125	0.205	0.125	0.012	0.094	0.057	0.043	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.125 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_0.125_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.063	  1/8 	s	0.13	0.063	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.125	  3/16	s	0.19	0.063	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.188	  1/4 	s	0.25	0.063	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.313	  3/8 	s	0.38	0.063	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.438	  1/2 	s	0.50	0.063	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.563	  5/8 	s	0.63	0.063	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.688	  3/4 	s	0.75	0.063	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.75	  7/8 	s	0.88	0.063	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.75	1      	s	1.00	0.063	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.75	1  1/4 	n	1.25	0.5	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	1.0	1  1/2 	n	1.50	0.5	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.75	1  3/4 	n	1.75	1.0	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	1.0	2      	n	2.00	1.0	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.75	2  1/4 	n	2.25	1.5	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	1.0	2  1/2 	n	2.50	1.5	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.75	2  3/4 	n	2.75	2.0	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 3 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.75	3      	l	3.00	2.25	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_6 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_6_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_6	0.138	32	0.0313	0.75	3  1/4 	l	3.25	2.5	0.75	0.138	0.226	0.138	0.013	0.109	0.064	0.047	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.125 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_0.125_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.063	  1/8 	s	0.13	0.063	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.125	  3/16	s	0.19	0.063	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.188	  1/4 	s	0.25	0.063	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.313	  3/8 	s	0.38	0.063	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.438	  1/2 	s	0.50	0.063	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.563	  5/8 	s	0.63	0.063	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.688	  3/4 	s	0.75	0.063	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.813	  7/8 	s	0.88	0.063	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.88	1      	s	1.00	0.063	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.87	1  1/4 	n	1.25	0.38	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	1.12	1  1/2 	n	1.50	0.38	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.87	1  3/4 	n	1.75	0.88	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	1.12	2      	n	2.00	0.88	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.87	2  1/4 	n	2.25	1.38	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	1.12	2  1/2 	n	2.50	1.38	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.87	2  3/4 	n	2.75	1.88	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 3 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	1.12	3      	n	3.00	1.88	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.87	3  1/4 	n	3.25	2.38	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_8 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_8_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_8	0.164	32	0.0313	0.88	3  1/2 	l	3.50	2.62	0.88	0.164	0.27	0.164	0.014	0.141	0.077	0.056	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.125 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_0.125_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.042	  1/8 	s	0.13	-0.625	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.1875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_0.1875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.104	  3/16	s	0.19	-0.563	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.167	  1/4 	s	0.25	-0.5	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.292	  3/8 	s	0.38	-0.375	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.417	  1/2 	s	0.50	-0.25	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.542	  5/8 	s	0.63	-0.125	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.667	  3/4 	s	0.75	0.0	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.792	  7/8 	s	0.88	0.125	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.88	1      	s	1.00	0.25	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.87	1  1/4 	n	1.25	0.38	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	1.12	1  1/2 	n	1.50	0.38	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.87	1  3/4 	n	1.75	0.88	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 2 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_2_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	1.12	2      	n	2.00	0.88	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 2.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_2.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.87	2  1/4 	n	2.25	1.38	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 2.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_2.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	1.12	2  1/2 	n	2.50	1.38	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 2.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_2.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.87	2  3/4 	n	2.75	1.88	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 3 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_3_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	1.12	3      	n	3.00	1.88	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 3.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_3.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	0.87	3  1/4 	n	3.25	2.38	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 3.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_3.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	1.12	3  1/2 	n	3.50	2.38	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW No_10 x 4 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_No_10_x_4_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	No_10	0.19	24	0.0417	1.12	4      	n	4.00	2.88	0.88	0.19	0.312	0.19	0.018	0.156	0.09	0.065	0.008	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 0.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_0.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.15	  1/4 	s	0.25	0.1	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
