PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Length(ref)	s-n-l	L_length(in)	Lg_grip_length	Lt_min thread_ref	D_body_dia(in)	A_head_dia(in)	H_head_height(in)	C_chamfer(in)	J_hexagon_socet_size(in)	T_key_engagement(in)	G_wall_thickness	K_chamfer(in)	Material	Reference	Edition
ASME B18.3 SCREW 1/4 x 0.375 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_0.375_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.275	  3/8 	s	0.38	0.1	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 0.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_0.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.4	  1/2 	s	0.50	0.1	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 0.5625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_0.5625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.463	  9/16	s	0.56	0.1	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 0.625 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_0.625_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.525	  5/8 	s	0.63	0.1	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 0.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_0.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.65	  3/4 	s	0.75	0.1	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 0.875 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_0.875_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.775	  7/8 	s	0.88	0.1	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 1 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_1_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	0.9	1      	s	1.00	0.1	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 1.25 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_1.25_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.0	1  1/4 	s	1.25	0.1	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 1.5 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_1.5_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.0	1  1/2 	n	1.50	0.5	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
ASME B18.3 SCREW 1/4 x 1.75 UNC STEEL HEXAGON SOCKET HEAD CAP	ASME_B18_3_1/4_x_1.75_UNC_STEEL_HEXAGON_SOCKET_HEAD_CAP_SCREW	1/4	0.25	20	0.0500	1.25	1  3/4 	n	1.75	0.5	1.0	0.25	0.375	0.25	0.025	0.188	0.12	0.095	0.01	St	ASME B18.3	1998
