PartNumber	PartName	Pin_size(ref)	Basic_pin_dia(in)	A_pin_dia(in)	Length(ref)	L_length(in)	C_chamfer_length(in)	Material	Reference	Edition
ASME B18.8.2 7/64 x 15/16 STEEL UNHARDENED GROUND DOWEL PIN – NON-PREFERRED	ASME_B18_8_2_7/64_x_15/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/64	0.109	0.107	15/16	0.938	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/64 x 1 STEEL UNHARDENED GROUND DOWEL PIN – NON-PREFERRED	ASME_B18_8_2_7/64_x_1_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/64	0.109	0.107	1	1.0	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/64 x 1_1/8 STEEL UNHARDENED GROUND DOWEL PIN – NON-PREFERRED	ASME_B18_8_2_7/64_x_1_1/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/64	0.109	0.107	1_1/8	1.125	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/64 x 1_1/4 STEEL UNHARDENED GROUND DOWEL PIN – NON-PREFERRED	ASME_B18_8_2_7/64_x_1_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/64	0.109	0.107	1_1/4	1.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/64 x 1_3/8 STEEL UNHARDENED GROUND DOWEL PIN – NON-PREFERRED	ASME_B18_8_2_7/64_x_1_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/64	0.109	0.107	1_3/8	1.375	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 7/64 x 1_1/2 STEEL UNHARDENED GROUND DOWEL PIN – NON-PREFERRED	ASME_B18_8_2_7/64_x_1_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	7/64	0.109	0.107	1_1/2	1.5	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 1/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_1/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	1/4	0.25	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 5/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_5/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	5/16	0.313	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 3/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_3/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	3/8	0.375	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 7/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_7/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	7/16	0.438	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 1/2 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_1/2_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	1/2	0.5	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 9/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_9/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	9/16	0.563	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 5/8 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_5/8_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	5/8	0.625	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 11/16 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_11/16_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	11/16	0.688	0.025	St	ASME B18.8.2	2000
ASME B18.8.2 1/8 x 3/4 STEEL UNHARDENED GROUND DOWEL PIN	ASME_B18_8_2_1/8_x_3/4_STEEL_UNHARDENED_GROUND_DOWEL_PIN	1/8	0.125	0.122	3/4	0.75	0.025	St	ASME B18.8.2	2000
