PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	L_length(ref)	Length(in)	E_body_diamax(in)	E_body_diamin(in)	A_head_dia_max(in)	A_head_dia_min(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_radius_max(in)	Material	Reference	Edition
ASME B18.5 BOLT 1/2 x 4.25 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_4.25_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	4  1/4 	4.25	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 4.5 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_4.5_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	4  1/2 	4.5	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 4.75 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_4.75_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	4  3/4 	4.75	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 5 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_5_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	5      	5.0	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 5.5 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_5.5_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	5  1/2 	5.5	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 6 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_6_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.25	1.25	0.192	6      	6.0	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 6.5 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_6.5_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.5	1.5	0.192	6  1/2 	6.5	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 7 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_7_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.5	1.5	0.192	7      	7.0	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 7.5 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_7.5_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.5	1.5	0.192	7  1/2 	7.5	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/2 x 8 UNC STEEL ROUND HEAD	ASME_B18_5_1/2_x_8_UNC_STEEL_ROUND_HEAD_BOLT	1/2	0.5	13	0.0769	1.5	1.5	0.192	8      	8.0	0.515	0.483	1.094	1.032	0.27	0.25	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 0.625 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_0.625_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	0.398	1.5	0.227	  5/8 	0.625	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 0.75 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_0.75_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	0.523	1.5	0.227	  3/4 	0.75	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 0.875 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_0.875_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	0.648	1.5	0.227	  7/8 	0.875	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 1 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_1_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	0.773	1.5	0.227	1      	1.0	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 1.125 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_1.125_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	0.898	1.5	0.227	1  1/8 	1.125	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 1.25 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_1.25_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.023	1.5	0.227	1  1/4 	1.25	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 1.375 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_1.375_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.148	1.5	0.227	1  3/8 	1.375	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 1.5 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_1.5_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.273	1.5	0.227	1  1/2 	1.5	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 1.75 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_1.75_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	1  3/4 	1.75	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 2 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_2_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	2      	2.0	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 2.25 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_2.25_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	2  1/4 	2.25	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 2.75 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_2.75_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	2  3/4 	2.75	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 3 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_3_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	3      	3.0	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 3.25 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_3.25_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	3  1/4 	3.25	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 3.5 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_3.5_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	3  1/2 	3.5	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 3.75 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_3.75_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	3  3/4 	3.75	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 4 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_4_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	4      	4.0	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 4.25 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_4.25_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	4  1/4 	4.25	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 4.5 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_4.5_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	4  1/2 	4.5	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 4.75 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_4.75_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	4  3/4 	4.75	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 5 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_5_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	5      	5.0	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 5.5 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_5.5_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	5  1/2 	5.5	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 6 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_6_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.5	1.5	0.227	6      	6.0	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
ASME B18.5 BOLT 5/8 x 6.5 UNC STEEL ROUND HEAD	ASME_B18_5_5/8_x_6.5_UNC_STEEL_ROUND_HEAD_BOLT	5/8	0.625	11	0.0909	1.75	1.75	0.227	6  1/2 	6.5	0.642	0.605	1.344	1.219	0.344	0.313	0.062	St	ASME B18 5	1990
