PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	L_length(ref)	Length(in)	E_body_diamax(in)	E_body_diamin(in)	A_head_dia_max(in)	A_head_dia_min(in)	H_head_height_max(in)	H_head_height_min(in)	R_fillet_radius_max(in)	Material	Reference	Edition
ASME B18.5 BOLT 1/4 x 0.375 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_0.375_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.25	0.75	0.125	  3/8 	0.375	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 0.5 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_0.5_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.375	0.75	0.125	  1/2 	0.5	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 0.625 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_0.625_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.5	0.75	0.125	  5/8 	0.625	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 0.75 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_0.75_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.625	0.75	0.125	  3/4 	0.75	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 0.875 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_0.875_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	  7/8 	0.875	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 1 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_1_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	1      	1.0	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 1.125 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_1.125_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	1  1/8 	1.125	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 1.25 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_1.25_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	1  1/4 	1.25	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 1.375 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_1.375_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	1  3/8 	1.375	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 1.5 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_1.5_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	1  1/2 	1.5	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 1.75 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_1.75_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	1  3/4 	1.75	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 2 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_2_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	2      	2.0	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 2.25 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_2.25_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	2  1/4 	2.25	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 2.75 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_2.75_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	2  3/4 	2.75	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 3 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_3_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	3      	3.0	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 3.25 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_3.25_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	3  1/4 	3.25	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 3.5 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_3.5_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	3  1/2 	3.5	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 3.75 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_3.75_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	3  3/4 	3.75	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 4 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_4_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	4      	4.0	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 4.25 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_4.25_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	4  1/4 	4.25	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 4.5 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_4.5_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	4  1/2 	4.5	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 4.75 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_4.75_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	4  3/4 	4.75	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 1/4 x 5 UNC STEEL ROUND HEAD	ASME_B18_5_1/4_x_5_UNC_STEEL_ROUND_HEAD_BOLT	1/4	0.25	20	0.0500	0.75	0.75	0.125	5      	5.0	0.26	0.237	0.594	0.563	0.145	0.125	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 0.375 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_0.375_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.236	0.875	0.139	  3/8 	0.375	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 0.5 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_0.5_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.361	0.875	0.139	  1/2 	0.5	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 0.625 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_0.625_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.486	0.875	0.139	  5/8 	0.625	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 0.75 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_0.75_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.611	0.875	0.139	  3/4 	0.75	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 0.875 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_0.875_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.736	0.875	0.139	  7/8 	0.875	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 1 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_1_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.861	0.875	0.139	1      	1.0	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 1.125 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_1.125_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	1  1/8 	1.125	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 1.25 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_1.25_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	1  1/4 	1.25	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 1.375 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_1.375_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	1  3/8 	1.375	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 1.5 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_1.5_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	1  1/2 	1.5	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 1.75 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_1.75_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	1  3/4 	1.75	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 2 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_2_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	2      	2.0	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 2.25 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_2.25_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	2  1/4 	2.25	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 2.75 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_2.75_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	2  3/4 	2.75	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 3 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_3_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	3      	3.0	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 3.25 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_3.25_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	3  1/4 	3.25	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 3.5 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_3.5_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	3  1/2 	3.5	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 3.75 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_3.75_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	3  3/4 	3.75	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 4 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_4_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	4      	4.0	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 4.25 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_4.25_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	4  1/4 	4.25	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 4.5 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_4.5_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	4  1/2 	4.5	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 4.75 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_4.75_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	4  3/4 	4.75	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 5/16 x 5 UNC STEEL ROUND HEAD	ASME_B18_5_5/16_x_5_UNC_STEEL_ROUND_HEAD_BOLT	5/16	0.313	18	0.0556	0.875	0.875	0.139	5      	5.0	0.324	0.298	0.719	0.688	0.176	0.156	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 0.375 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_0.375_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	0.219	1.0	0.156	  3/8 	0.375	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 0.5 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_0.5_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	0.344	1.0	0.156	  1/2 	0.5	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 0.625 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_0.625_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	0.469	1.0	0.156	  5/8 	0.625	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 0.75 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_0.75_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	0.594	1.0	0.156	  3/4 	0.75	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 0.875 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_0.875_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	0.719	1.0	0.156	  7/8 	0.875	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 1 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_1_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	0.844	1.0	0.156	1      	1.0	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 1.125 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_1.125_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	0.969	1.0	0.156	1  1/8 	1.125	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 1.25 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_1.25_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	1  1/4 	1.25	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 1.375 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_1.375_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	1  3/8 	1.375	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 1.5 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_1.5_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	1  1/2 	1.5	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 1.75 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_1.75_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	1  3/4 	1.75	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 2 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_2_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	2      	2.0	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 2.25 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_2.25_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	2  1/4 	2.25	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 2.75 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_2.75_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	2  3/4 	2.75	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 3 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_3_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	3      	3.0	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 3.25 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_3.25_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	3  1/4 	3.25	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 3.5 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_3.5_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	3  1/2 	3.5	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 3.75 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_3.75_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	3  3/4 	3.75	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 4 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_4_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	4      	4.0	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 4.25 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_4.25_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	4  1/4 	4.25	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 4.5 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_4.5_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	4  1/2 	4.5	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 4.75 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_4.75_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	4  3/4 	4.75	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 5 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_5_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	5      	5.0	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 5.5 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_5.5_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	5  1/2 	5.5	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 3/8 x 6 UNC STEEL ROUND HEAD	ASME_B18_5_3/8_x_6_UNC_STEEL_ROUND_HEAD_BOLT	3/8	0.375	16	0.0625	1.0	1.0	0.156	6      	6.0	0.388	0.36	0.844	0.782	0.208	0.188	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 0.5 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_0.5_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	0.321	1.125	0.179	  1/2 	0.5	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 0.625 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_0.625_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	0.446	1.125	0.179	  5/8 	0.625	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 0.75 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_0.75_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	0.571	1.125	0.179	  3/4 	0.75	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 0.875 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_0.875_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	0.696	1.125	0.179	  7/8 	0.875	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 1 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_1_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	0.821	1.125	0.179	1      	1.0	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 1.125 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_1.125_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	0.946	1.125	0.179	1  1/8 	1.125	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 1.25 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_1.25_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.071	1.125	0.179	1  1/4 	1.25	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 1.375 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_1.375_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	1  3/8 	1.375	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 1.5 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_1.5_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	1  1/2 	1.5	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 1.75 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_1.75_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	1  3/4 	1.75	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 2 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_2_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	2      	2.0	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 2.25 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_2.25_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	2  1/4 	2.25	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 2.75 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_2.75_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	2  3/4 	2.75	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 3 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_3_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	3      	3.0	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
ASME B18.5 BOLT 7/16 x 3.25 UNC STEEL ROUND HEAD	ASME_B18_5_7/16_x_3.25_UNC_STEEL_ROUND_HEAD_BOLT	7/16	0.438	14	0.0714	1.125	1.125	0.179	3  1/4 	3.25	0.452	0.421	0.969	0.907	0.239	0.219	0.031	St	ASME B18 5	1990
