PartNumber	PartName	Pin_size_no(ref)	Basic_pin_dia(in)	Nominal_length(ref)	Length(in)	A_major_dia(in)	A_major_dia_commercial_class(in)	A_major_dia_precision_class(in)	R_end_crown_radius(in)	Class	Material	Reference	Edition
ASME B18.8.2 Pin 6 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	1_1/4	1.25	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	1_1/2	1.5	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	1_3/4	1.75	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x2_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	2	2.0	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 2_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x2_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	2_1/4	2.25	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 2_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x2_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	2_1/2	2.5	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 2_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x2_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	2_3/4	2.75	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 3 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x3_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	3	3.0	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 3_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x3_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	3_1/4	3.25	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 3_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x3_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	3_1/2	3.5	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 3_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x3_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	3_3/4	3.75	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x4_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	4	4.0	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 4_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x4_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	4_1/4	4.25	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 4_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x4_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	4_1/2	4.5	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 4_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x4_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	4_3/4	4.75	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 5 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x5_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	5	5.0	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 5_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x5_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	5_1/4	5.25	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 5_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x5_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	5_1/2	5.5	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 5_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x5_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	5_3/4	5.75	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 6 x 6 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_6x6_STEEL_PRECISION_CLASS_TAPER_PIN	6	0.341	6	6.0	0.342	n/a	0.342	0.351	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	1_1/4	1.25	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	1_1/2	1.5	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	1_3/4	1.75	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x2_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	2	2.0	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 2_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x2_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	2_1/4	2.25	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 2_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x2_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	2_1/2	2.5	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 2_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x2_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	2_3/4	2.75	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 3 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x3_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	3	3.0	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 3_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x3_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	3_1/4	3.25	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 3_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x3_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	3_1/2	3.5	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 3_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x3_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	3_3/4	3.75	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	4	4.0	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 4_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x4_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	4_1/4	4.25	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 4_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x4_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	4_1/2	4.5	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 4_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x4_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	4_3/4	4.75	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 5 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x5_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	5	5.0	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 5_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x5_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	5_1/4	5.25	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 5_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x5_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	5_1/2	5.5	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 5_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x5_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	5_3/4	5.75	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 6 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x6_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	6	6.0	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 6_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x6_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	6_1/4	6.25	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 6_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x6_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	6_1/2	6.5	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 6_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x6_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	6_3/4	6.75	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 7 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x7_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	7	7.0	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 7_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x7_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	7_1/4	7.25	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 7_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x7_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	7_1/2	7.5	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 7_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x7_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	7_3/4	7.75	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 7 x 8 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_7x8_STEEL_PRECISION_CLASS_TAPER_PIN	7	0.409	8	8.0	0.41	n/a	0.41	0.419	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	1_1/4	1.25	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	1_1/2	1.5	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	1_3/4	1.75	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x2_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	2	2.0	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 2_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x2_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	2_1/4	2.25	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 2_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x2_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	2_1/2	2.5	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 2_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x2_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	2_3/4	2.75	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 3 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x3_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	3	3.0	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 3_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x3_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	3_1/4	3.25	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 3_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x3_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	3_1/2	3.5	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 3_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x3_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	3_3/4	3.75	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	4	4.0	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 4_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x4_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	4_1/4	4.25	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 4_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x4_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	4_1/2	4.5	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 4_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x4_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	4_3/4	4.75	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 5 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x5_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	5	5.0	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 5_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x5_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	5_1/4	5.25	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 5_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x5_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	5_1/2	5.5	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 5_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x5_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	5_3/4	5.75	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 6 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x6_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	6	6.0	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 6_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x6_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	6_1/4	6.25	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 6_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x6_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	6_1/2	6.5	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 6_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x6_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	6_3/4	6.75	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 7 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x7_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	7	7.0	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 7_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x7_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	7_1/4	7.25	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 7_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x7_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	7_1/2	7.5	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 7_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x7_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	7_3/4	7.75	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 8 x 8 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_8x8_STEEL_PRECISION_CLASS_TAPER_PIN	8	0.492	8	8.0	0.493	n/a	0.493	0.502	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 1_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x1_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	1_1/4	1.25	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 1_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x1_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	1_1/2	1.5	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 1_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x1_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	1_3/4	1.75	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x2_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	2	2.0	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 2_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x2_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	2_1/4	2.25	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 2_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x2_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	2_1/2	2.5	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 2_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x2_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	2_3/4	2.75	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 3 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x3_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	3	3.0	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 3_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x3_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	3_1/4	3.25	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 3_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x3_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	3_1/2	3.5	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 3_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x3_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	3_3/4	3.75	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	4	4.0	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 4_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x4_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	4_1/4	4.25	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 4_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x4_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	4_1/2	4.5	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 4_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x4_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	4_3/4	4.75	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 5 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x5_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	5	5.0	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 5_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x5_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	5_1/4	5.25	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 5_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x5_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	5_1/2	5.5	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 5_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x5_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	5_3/4	5.75	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 6 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x6_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	6	6.0	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 6_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x6_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	6_1/4	6.25	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 6_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x6_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	6_1/2	6.5	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 6_3/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x6_3/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	6_3/4	6.75	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 7 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x7_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	7	7.0	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 7_1/4 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x7_1/4_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	7_1/4	7.25	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
ASME B18.8.2 Pin 9 x 7_1/2 STEEL TAPER PRECISION CLASS	ASME_B18_8_2_9x7_1/2_STEEL_PRECISION_CLASS_TAPER_PIN	9	0.591	7_1/2	7.5	0.592	n/a	0.592	0.601	PRECISION	St	ASME B18.8.2	2000
