PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max_edge_sharp(in)	A_head_dia_min_edge_rounded_or_flat(in)	H_head_height(in)	J_slot_width_max(in)	J_slot_width_min(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	U_fillet_radius_max(in)	Material	Reference	Edition
ASME B18.6.2 SCREW 5/16 x 3 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_3_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	3      	3.000	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 3.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_3.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	3  1/4 	3.250	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 3.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_3.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	3  1/2 	3.500	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 3.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_3.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	3  3/4 	3.750	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 4 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_4_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	4      	4.000	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 4.25 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_4.25_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	4  1/4 	4.250	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 4.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_4.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	4  1/2 	4.500	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 4.75 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_4.75_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	4  3/4 	4.750	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 5/16 x 5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_5/16_x_5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	5/16	0.313	18	0.0556	0.875	0.875	0.316	5      	5.000	0.313	0.307	0.625	0.567	0.177	0.084	0.072	0.086	0.057	0.125	St	ASME B18.6.2	1998
ASME B18.6.2 SCREW 3/8 x 0.5 UNC STEEL SLOTTED FLAT CSK HEAD CAP	ASME_B18_6_2_3/8_x_0.5_UNC_STEEL_SLOTTED_FLAT_CSK_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	0.134	1.0	0.366	  1/2 	0.500	0.375	0.369	0.75	0.682	0.21	0.094	0.081	0.103	0.068	0.15	St	ASME B18.6.2	1998
