PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	dk_head_dia_max(mm)	k_head_depth_max(mm)	m_width(mm)	q_recess_depth_max(mm)	r_max(mm)	y_taper(mm)	slot_width(mm)	cross_recess_no	Type	Material	Reference	Edition																				
JIS B 1122 SCREW ST4.8x19 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.8x19_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.0	19.0	1.6	1.6	13.1	9.3	2.8	5.2	3.2	2.0	4.3	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.8x22 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.8x22_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.0	22.0	1.6	1.6	16.1	9.3	2.8	5.2	3.2	2.0	4.3	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.8x25 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.8x25_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.0	25.0	1.6	1.6	19.1	9.3	2.8	5.2	3.2	2.0	4.3	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST4.8x32 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST4.8x32_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST4.8	4.8	3.43	0.0	32.0	1.6	1.6	26.1	9.3	2.8	5.2	3.2	2.0	4.3	0.74	2.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST5.5x13 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST5.5x13_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.0	13.0	1.8	1.8	6.2	10.3	3.0	6.6	3.3	2.2	5.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST5.5x16 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST5.5x16_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.0	16.0	1.8	1.8	9.2	10.3	3.0	6.6	3.3	2.2	5.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST5.5x19 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST5.5x19_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.0	19.0	1.8	1.8	12.2	10.3	3.0	6.6	3.3	2.2	5.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST5.5x22 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST5.5x22_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.0	22.0	1.8	1.8	15.2	10.3	3.0	6.6	3.3	2.2	5.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST5.5x25 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST5.5x25_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.0	25.0	1.8	1.8	18.2	10.3	3.0	6.6	3.3	2.2	5.0	0.86	3.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST5.5x32 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST5.5x32_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.0	32.0	1.8	1.8	25.2	10.3	3.0	6.6	3.3	2.2	5.0	0.86	3.0	HC	St	JIS B 1122	1996																				
