PartNumber	PartName	d_dia(mm)	a_approx(mm)	r1(mm)	l_nom_Length(mm)	l_min(mm)	l_max(mm)	Material	Reference	Edition
JIS B 1352 PIN 3x12 STEEL TAPER	JIS_B_1352_3x12_STEEL_TAPER_PIN	3.0	0.4	3.0	12.0	11.5	12.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x14 STEEL TAPER	JIS_B_1352_3x14_STEEL_TAPER_PIN	3.0	0.4	3.0	14.0	13.5	14.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x16 STEEL TAPER	JIS_B_1352_3x16_STEEL_TAPER_PIN	3.0	0.4	3.0	16.0	15.5	16.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x18 STEEL TAPER	JIS_B_1352_3x18_STEEL_TAPER_PIN	3.0	0.4	3.0	18.0	17.5	18.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x20 STEEL TAPER	JIS_B_1352_3x20_STEEL_TAPER_PIN	3.0	0.4	3.0	20.0	19.5	20.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x22 STEEL TAPER	JIS_B_1352_3x22_STEEL_TAPER_PIN	3.0	0.4	3.0	22.0	21.5	22.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x24 STEEL TAPER	JIS_B_1352_3x24_STEEL_TAPER_PIN	3.0	0.4	3.0	24.0	23.5	24.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x26 STEEL TAPER	JIS_B_1352_3x26_STEEL_TAPER_PIN	3.0	0.4	3.0	26.0	25.5	26.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x28 STEEL TAPER	JIS_B_1352_3x28_STEEL_TAPER_PIN	3.0	0.4	3.0	28.0	27.5	28.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x30 STEEL TAPER	JIS_B_1352_3x30_STEEL_TAPER_PIN	3.0	0.4	3.0	30.0	29.5	30.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x32 STEEL TAPER	JIS_B_1352_3x32_STEEL_TAPER_PIN	3.0	0.4	3.0	32.0	31.5	32.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x35 STEEL TAPER	JIS_B_1352_3x35_STEEL_TAPER_PIN	3.0	0.4	3.0	35.0	34.5	35.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x40 STEEL TAPER	JIS_B_1352_3x40_STEEL_TAPER_PIN	3.0	0.4	3.0	40.0	39.5	40.5	St	JIS B 1352	1988
JIS B 1352 PIN 3x45 STEEL TAPER	JIS_B_1352_3x45_STEEL_TAPER_PIN	3.0	0.4	3.0	45.0	44.5	45.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x14 STEEL TAPER	JIS_B_1352_4x14_STEEL_TAPER_PIN	4.0	0.5	4.0	14.0	13.5	14.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x16 STEEL TAPER	JIS_B_1352_4x16_STEEL_TAPER_PIN	4.0	0.5	4.0	16.0	15.5	16.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x18 STEEL TAPER	JIS_B_1352_4x18_STEEL_TAPER_PIN	4.0	0.5	4.0	18.0	17.5	18.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x20 STEEL TAPER	JIS_B_1352_4x20_STEEL_TAPER_PIN	4.0	0.5	4.0	20.0	19.5	20.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x22 STEEL TAPER	JIS_B_1352_4x22_STEEL_TAPER_PIN	4.0	0.5	4.0	22.0	21.5	22.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x24 STEEL TAPER	JIS_B_1352_4x24_STEEL_TAPER_PIN	4.0	0.5	4.0	24.0	23.5	24.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x26 STEEL TAPER	JIS_B_1352_4x26_STEEL_TAPER_PIN	4.0	0.5	4.0	26.0	25.5	26.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x28 STEEL TAPER	JIS_B_1352_4x28_STEEL_TAPER_PIN	4.0	0.5	4.0	28.0	27.5	28.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x30 STEEL TAPER	JIS_B_1352_4x30_STEEL_TAPER_PIN	4.0	0.5	4.0	30.0	29.5	30.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x32 STEEL TAPER	JIS_B_1352_4x32_STEEL_TAPER_PIN	4.0	0.5	4.0	32.0	31.5	32.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x35 STEEL TAPER	JIS_B_1352_4x35_STEEL_TAPER_PIN	4.0	0.5	4.0	35.0	34.5	35.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x40 STEEL TAPER	JIS_B_1352_4x40_STEEL_TAPER_PIN	4.0	0.5	4.0	40.0	39.5	40.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x45 STEEL TAPER	JIS_B_1352_4x45_STEEL_TAPER_PIN	4.0	0.5	4.0	45.0	44.5	45.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x50 STEEL TAPER	JIS_B_1352_4x50_STEEL_TAPER_PIN	4.0	0.5	4.0	50.0	49.5	50.5	St	JIS B 1352	1988
JIS B 1352 PIN 4x55 STEEL TAPER	JIS_B_1352_4x55_STEEL_TAPER_PIN	4.0	0.5	4.0	55.0	54.25	55.75	St	JIS B 1352	1988
JIS B 1352 PIN 5x18 STEEL TAPER	JIS_B_1352_5x18_STEEL_TAPER_PIN	5.0	0.63	5.0	18.0	17.5	18.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x20 STEEL TAPER	JIS_B_1352_5x20_STEEL_TAPER_PIN	5.0	0.63	5.0	20.0	19.5	20.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x22 STEEL TAPER	JIS_B_1352_5x22_STEEL_TAPER_PIN	5.0	0.63	5.0	22.0	21.5	22.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x24 STEEL TAPER	JIS_B_1352_5x24_STEEL_TAPER_PIN	5.0	0.63	5.0	24.0	23.5	24.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x26 STEEL TAPER	JIS_B_1352_5x26_STEEL_TAPER_PIN	5.0	0.63	5.0	26.0	25.5	26.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x28 STEEL TAPER	JIS_B_1352_5x28_STEEL_TAPER_PIN	5.0	0.63	5.0	28.0	27.5	28.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x30 STEEL TAPER	JIS_B_1352_5x30_STEEL_TAPER_PIN	5.0	0.63	5.0	30.0	29.5	30.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x32 STEEL TAPER	JIS_B_1352_5x32_STEEL_TAPER_PIN	5.0	0.63	5.0	32.0	31.5	32.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x35 STEEL TAPER	JIS_B_1352_5x35_STEEL_TAPER_PIN	5.0	0.63	5.0	35.0	34.5	35.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x40 STEEL TAPER	JIS_B_1352_5x40_STEEL_TAPER_PIN	5.0	0.63	5.0	40.0	39.5	40.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x45 STEEL TAPER	JIS_B_1352_5x45_STEEL_TAPER_PIN	5.0	0.63	5.0	45.0	44.5	45.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x50 STEEL TAPER	JIS_B_1352_5x50_STEEL_TAPER_PIN	5.0	0.63	5.0	50.0	49.5	50.5	St	JIS B 1352	1988
JIS B 1352 PIN 5x55 STEEL TAPER	JIS_B_1352_5x55_STEEL_TAPER_PIN	5.0	0.63	5.0	55.0	54.25	55.75	St	JIS B 1352	1988
JIS B 1352 PIN 5x60 STEEL TAPER	JIS_B_1352_5x60_STEEL_TAPER_PIN	5.0	0.63	5.0	60.0	59.25	60.75	St	JIS B 1352	1988
JIS B 1352 PIN 6x22 STEEL TAPER	JIS_B_1352_6x22_STEEL_TAPER_PIN	6.0	0.8	6.0	22.0	21.5	22.5	St	JIS B 1352	1988
JIS B 1352 PIN 6x24 STEEL TAPER	JIS_B_1352_6x24_STEEL_TAPER_PIN	6.0	0.8	6.0	24.0	23.5	24.5	St	JIS B 1352	1988
JIS B 1352 PIN 6x26 STEEL TAPER	JIS_B_1352_6x26_STEEL_TAPER_PIN	6.0	0.8	6.0	26.0	25.5	26.5	St	JIS B 1352	1988
JIS B 1352 PIN 6x28 STEEL TAPER	JIS_B_1352_6x28_STEEL_TAPER_PIN	6.0	0.8	6.0	28.0	27.5	28.5	St	JIS B 1352	1988
JIS B 1352 PIN 6x30 STEEL TAPER	JIS_B_1352_6x30_STEEL_TAPER_PIN	6.0	0.8	6.0	30.0	29.5	30.5	St	JIS B 1352	1988
JIS B 1352 PIN 6x32 STEEL TAPER	JIS_B_1352_6x32_STEEL_TAPER_PIN	6.0	0.8	6.0	32.0	31.5	32.5	St	JIS B 1352	1988
JIS B 1352 PIN 6x35 STEEL TAPER	JIS_B_1352_6x35_STEEL_TAPER_PIN	6.0	0.8	6.0	35.0	34.5	35.5	St	JIS B 1352	1988
JIS B 1352 PIN 6x40 STEEL TAPER	JIS_B_1352_6x40_STEEL_TAPER_PIN	6.0	0.8	6.0	40.0	39.5	40.5	St	JIS B 1352	1988
JIS B 1352 PIN 6x45 STEEL TAPER	JIS_B_1352_6x45_STEEL_TAPER_PIN	6.0	0.8	6.0	45.0	44.5	45.5	St	JIS B 1352	1988
JIS B 1352 PIN 6x50 STEEL TAPER	JIS_B_1352_6x50_STEEL_TAPER_PIN	6.0	0.8	6.0	50.0	49.5	50.5	St	JIS B 1352	1988
