PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	e_across_corners(mm)	s_across_flats_max(mm)	k_head_depth_max(mm)	r_max(mm)	y_taper(mm)	Type	Material	Reference	Edition
JIS B 1123 SCREW ST5.5x22 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST5.5x22_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.02	22.0	1.8	1.8	15.2	8.71	8.0	4.1	0.25	5.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST5.5x25 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST5.5x25_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.02	25.0	1.8	1.8	18.2	8.71	8.0	4.1	0.25	5.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST5.5x32 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST5.5x32_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST5.5	5.46	3.99	0.02	32.0	1.8	1.8	25.2	8.71	8.0	4.1	0.25	5.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x13 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST6.3x13_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.02	13.0	1.8	1.8	5.2	10.95	10.0	4.7	0.25	6.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x16 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST6.3x16_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.02	16.0	1.8	1.8	8.2	10.95	10.0	4.7	0.25	6.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x19 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST6.3x19_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.02	19.0	1.8	1.8	11.2	10.95	10.0	4.7	0.25	6.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x22 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST6.3x22_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.02	22.0	1.8	1.8	14.2	10.95	10.0	4.7	0.25	6.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x25 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST6.3x25_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.02	25.0	1.8	1.8	17.2	10.95	10.0	4.7	0.25	6.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x32 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST6.3x32_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.02	32.0	1.8	1.8	24.2	10.95	10.0	4.7	0.25	6.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST6.3x38 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST6.3x38_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST6.3	6.25	4.7	0.02	38.0	1.8	1.8	30.2	10.95	10.0	4.7	0.25	6.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x13 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST8x13_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.02	13.0	2.1	2.1	3.4	14.26	13.0	6.0	0.4	7.5	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST8x16 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST8x16_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST8	8.0	5.99	0.02	16.0	2.1	2.1	6.4	14.26	13.0	6.0	0.4	7.5	C	St	JIS B 1123	1996
