PartNumber	PartName	designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_length(mm)	angle(deg)	re_radius(mm)	n_nom_slot_width(mm)	t_max_slot_depth(mm)	Grade	Material	Reference	Edition
JIS B 1117 SCREW M10x30 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M10x30_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M10	10.0	1.5	29.3371	30.0	90.0	14.0	1.6	3.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M10x35 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M10x35_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M10	10.0	1.5	34.3371	35.0	90.0	14.0	1.6	3.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M10x40 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M10x40_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M10	10.0	1.5	39.3371	40.0	90.0	14.0	1.6	3.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M10x45 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M10x45_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M10	10.0	1.5	44.3371	45.0	90.0	14.0	1.6	3.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M10x50 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M10x50_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M10	10.0	1.5	49.3371	50.0	90.0	14.0	1.6	3.0	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x12 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x12_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	11.2266	12.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x14 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x14_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	13.2266	14.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x16 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x16_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	15.2266	16.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x20 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x20_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	19.2266	20.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x25 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x25_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	24.2266	25.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x30 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x30_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	29.2266	30.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x35 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x35_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	34.2266	35.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x40 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x40_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	39.2266	40.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x45 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x45_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	44.2266	45.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x50 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x50_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	49.2266	50.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x55 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x55_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	54.2266	55.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
JIS B 1117 SCREW M12x60 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M12x60_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M12	12.0	1.75	59.2266	60.0	90.0	17.0	2.0	3.6	A	St	JIS B 1117	1995
