PartNumber	PartName	designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_length(mm)	angle(deg)	re_radius(mm)	n_nom_slot_width(mm)	t_max_slot_depth(mm)	Grade	Material	Reference	Edition
JIS B 1117 SCREW M2.5x6 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2.5x6_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2.5	2.5	0.45	5.8011	6.0	90.0	3.5	0.4	0.95	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2.5x8 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2.5x8_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2.5	2.5	0.45	7.8011	8.0	90.0	3.5	0.4	0.95	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2.5x10 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2.5x10_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2.5	2.5	0.45	9.8011	10.0	90.0	3.5	0.4	0.95	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2.5x12 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2.5x12_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2.5	2.5	0.45	11.8011	12.0	90.0	3.5	0.4	0.95	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2.5x14 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M2.5x14_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M2.5	2.5	0.45	13.8011	14.0	90.0	3.5	0.4	0.95	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3x3 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3x3_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3	3.0	0.5	2.8438	3.0	120.0	4.2	0.4	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3x4 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3x4_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3	3.0	0.5	3.7790	4.0	90.0	4.2	0.4	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3x5 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3x5_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3	3.0	0.5	4.7790	5.0	90.0	4.2	0.4	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3x6 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3x6_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3	3.0	0.5	5.7790	6.0	90.0	4.2	0.4	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3x8 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3x8_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3	3.0	0.5	7.7790	8.0	90.0	4.2	0.4	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3x10 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3x10_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3	3.0	0.5	9.7790	10.0	90.0	4.2	0.4	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3x12 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3x12_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3	3.0	0.5	11.7790	12.0	90.0	4.2	0.4	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3x14 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3x14_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3	3.0	0.5	13.7790	14.0	90.0	4.2	0.4	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3x16 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3x16_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3	3.0	0.5	15.7790	16.0	90.0	4.2	0.4	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3.5x4 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3.5x4_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3.5	3.5	0.6	3.8125	4.0	120.0	4.9	0.5	1.21	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3.5x5 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3.5x5_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3.5	3.5	0.6	4.7348	5.0	90.0	4.9	0.5	1.21	A	St	JIS B 1117	1995
JIS B 1117 SCREW M3.5x6 STEEL GRADE A SLOTTED SET WITH ROUNDED END	JIS_B_1117_M3.5x6_STEEL_GRADE_A_ROUNDED_END_SLOTTED_SET_SCREW	M3.5	3.5	0.6	5.7348	6.0	90.0	4.9	0.5	1.21	A	St	JIS B 1117	1995
