PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	ds_dia_point(mm)	dz_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Grade	Material	Reference	Edition
JIS B 1177 SCREW M3X6 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M3X6_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M3	3.0	0.5	5.7790	6.0	90.0	1.4	1.15	1.73	1.5	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M3X8 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M3X8_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M3	3.0	0.5	7.7790	8.0	90.0	1.4	1.15	1.73	1.5	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M3X10 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M3X10_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M3	3.0	0.5	9.7790	10.0	90.0	1.4	1.15	1.73	1.5	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M3X12 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M3X12_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M3	3.0	0.5	11.7790	12.0	90.0	1.4	1.15	1.73	1.5	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M3X16 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M3X16_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M3	3.0	0.5	15.7790	16.0	90.0	1.4	1.15	1.73	1.5	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M4X3 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M4X3_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M4	4.0	0.7	2.7813	3.0	120.0	2.0	1.75	2.3	2.0	1.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M4X4 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M4X4_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M4	4.0	0.7	3.7813	4.0	120.0	2.0	1.75	2.3	2.0	1.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M4X5 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M4X5_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M4	4.0	0.7	4.7813	5.0	120.0	2.0	1.75	2.3	2.0	1.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M4X6 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M4X6_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M4	4.0	0.7	5.6906	6.0	90.0	2.0	1.75	2.3	2.0	2.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M4X8 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M4X8_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M4	4.0	0.7	7.6906	8.0	90.0	2.0	1.75	2.3	2.0	2.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M4X10 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M4X10_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M4	4.0	0.7	9.6906	10.0	90.0	2.0	1.75	2.3	2.0	2.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M4X12 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M4X12_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M4	4.0	0.7	11.6906	12.0	90.0	2.0	1.75	2.3	2.0	2.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M4X16 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M4X16_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M4	4.0	0.7	15.6906	16.0	90.0	2.0	1.75	2.3	2.0	2.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M4X20 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M4X20_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M4	4.0	0.7	19.6906	20.0	90.0	2.0	1.75	2.3	2.0	2.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M5X4 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M5X4_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M5	5.0	0.8	3.7500	4.0	120.0	2.5	2.25	2.87	2.5	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M5X5 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M5X5_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M5	5.0	0.8	4.7500	5.0	120.0	2.5	2.25	2.87	2.5	2.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M5X6 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M5X6_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M5	5.0	0.8	5.6464	6.0	90.0	2.5	2.25	2.87	2.5	3.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M5X8 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M5X8_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M5	5.0	0.8	7.6464	8.0	90.0	2.5	2.25	2.87	2.5	3.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M5X10 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M5X10_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M5	5.0	0.8	9.6464	10.0	90.0	2.5	2.25	2.87	2.5	3.0	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M5X12 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M5X12_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M5	5.0	0.8	11.6464	12.0	90.0	2.5	2.25	2.87	2.5	3.0	A	St	JIS B 1177 	1997
