PartNumber	PartName	Nominal_number	d3(mm)	d4(mm)	d5(mm)	f1(mm)	M(mm)	f(mm)	B1(mm)	B2(mm)	N_number	r2(mm)	Series	Material	Reference	Edition
JIS B 1554 WASHER AW32A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW32A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW32A	160.0	182.0	217.0	18.0	154.0	16.0	2.5	8.0	19.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW33A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW33A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW33A	165.0	193.0	222.0	18.0	157.5	16.0	2.5	8.0	19.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW34A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW34A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW34A	170.0	193.0	232.0	18.0	164.0	16.0	2.5	8.0	19.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW36A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW36A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW36A	180.0	203.0	242.0	20.0	174.0	18.0	2.5	8.0	19.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW38A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW38A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW38A	190.0	214.0	252.0	20.0	184.0	18.0	2.5	8.0	19.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW40A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW40A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW40A	200.0	226.0	262.0	20.0	194.0	18.0	2.5	8.0	19.0	1.5	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AWL24A STEEL TYPE A FOR LOCKNUT SERIES AWL	JIS_B_1554_AWL24A_TYPE_A_LOCKNUT_SERIES_AWL_STEEL_WASHER	AWL24A	120.0	133.0	155.0	14.0	115.0	12.0	2.0	6.0	19.0	1.5	AWL	St	JIS B 1554	1998
JIS B 1554 WASHER AWL26A STEEL TYPE A FOR LOCKNUT SERIES AWL	JIS_B_1554_AWL26A_TYPE_A_LOCKNUT_SERIES_AWL_STEEL_WASHER	AWL26A	130.0	143.0	165.0	14.0	125.0	12.0	2.0	6.0	19.0	1.5	AWL	St	JIS B 1554	1998
JIS B 1554 WASHER AWL28A STEEL TYPE A FOR LOCKNUT SERIES AWL	JIS_B_1554_AWL28A_TYPE_A_LOCKNUT_SERIES_AWL_STEEL_WASHER	AWL28A	140.0	151.0	175.0	16.0	135.0	14.0	2.0	8.0	19.0	1.5	AWL	St	JIS B 1554	1998
JIS B 1554 WASHER AWL30A STEEL TYPE A FOR LOCKNUT SERIES AWL	JIS_B_1554_AWL30A_TYPE_A_LOCKNUT_SERIES_AWL_STEEL_WASHER	AWL30A	150.0	164.0	190.0	16.0	145.0	14.0	2.0	8.0	19.0	1.5	AWL	St	JIS B 1554	1998
JIS B 1554 WASHER AWL32A STEEL TYPE A FOR LOCKNUT SERIES AWL	JIS_B_1554_AWL32A_TYPE_A_LOCKNUT_SERIES_AWL_STEEL_WASHER	AWL32A	160.0	174.0	200.0	18.0	154.0	16.0	2.5	8.0	19.0	1.5	AWL	St	JIS B 1554	1998
JIS B 1554 WASHER AWL34A STEEL TYPE A FOR LOCKNUT SERIES AWL	JIS_B_1554_AWL34A_TYPE_A_LOCKNUT_SERIES_AWL_STEEL_WASHER	AWL34A	170.0	184.0	210.0	18.0	164.0	16.0	2.5	8.0	19.0	1.5	AWL	St	JIS B 1554	1998
JIS B 1554 WASHER AWL36A STEEL TYPE A FOR LOCKNUT SERIES AWL	JIS_B_1554_AWL36A_TYPE_A_LOCKNUT_SERIES_AWL_STEEL_WASHER	AWL36A	180.0	192.0	220.0	20.0	174.0	18.0	2.5	8.0	19.0	1.5	AWL	St	JIS B 1554	1998
JIS B 1554 WASHER AWL38A STEEL TYPE A FOR LOCKNUT SERIES AWL	JIS_B_1554_AWL38A_TYPE_A_LOCKNUT_SERIES_AWL_STEEL_WASHER	AWL38A	190.0	202.0	230.0	20.0	184.0	18.0	2.5	8.0	19.0	1.5	AWL	St	JIS B 1554	1998
JIS B 1554 WASHER AWL40A STEEL TYPE A FOR LOCKNUT SERIES AWL	JIS_B_1554_AWL40A_TYPE_A_LOCKNUT_SERIES_AWL_STEEL_WASHER	AWL40A	200.0	218.0	250.0	20.0	194.0	18.0	2.5	8.0	19.0	1.5	AWL	St	JIS B 1554	1998
