PartNumber	PartName	nominal_dia(mm)	d_basic(mm)	a(mm)	c(mm)	l_length(mm)	Grade	Material	Reference	Edition
JIS B 1354 PIN 0.6x2 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.6x2_GRADE_A_CLASS_A_PARALLEL_PIN	0.6	0.6	0.08	0.12	2	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.6x3 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.6x3_GRADE_A_CLASS_A_PARALLEL_PIN	0.6	0.6	0.08	0.12	3	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.6x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.6x4_GRADE_A_CLASS_A_PARALLEL_PIN	0.6	0.6	0.08	0.12	4	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.6x5 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.6x5_GRADE_A_CLASS_A_PARALLEL_PIN	0.6	0.6	0.08	0.12	5	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.6x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.6x6_GRADE_A_CLASS_A_PARALLEL_PIN	0.6	0.6	0.08	0.12	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x2 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x2_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	2	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x3 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x3_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	3	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x4_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	4	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x5 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x5_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	5	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x6_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x8_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 1x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1x4_GRADE_A_CLASS_A_PARALLEL_PIN	1.0	1.0	0.12	0.2	4	A	St	JIS B 1354	1988
JIS B 1354 PIN 1x5 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1x5_GRADE_A_CLASS_A_PARALLEL_PIN	1.0	1.0	0.12	0.2	5	A	St	JIS B 1354	1988
JIS B 1354 PIN 1x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1x6_GRADE_A_CLASS_A_PARALLEL_PIN	1.0	1.0	0.12	0.2	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 1x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1x8_GRADE_A_CLASS_A_PARALLEL_PIN	1.0	1.0	0.12	0.2	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 1x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1x10_GRADE_A_CLASS_A_PARALLEL_PIN	1.0	1.0	0.12	0.2	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x4_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	4	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x5 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x5_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	5	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x6_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x8_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x10_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x12 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x12_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	12	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x4_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	4	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x5 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x5_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	5	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x6_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x8_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x10_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x12 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x12_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	12	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x14 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x14_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	14	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x16 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x16_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	16	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.6x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.6x4_GRADE_A_CLASS_A_PARALLEL_PIN	1.6	1.6	0.2	0.3	4	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.6x5 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.6x5_GRADE_A_CLASS_A_PARALLEL_PIN	1.6	1.6	0.2	0.3	5	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.6x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.6x6_GRADE_A_CLASS_A_PARALLEL_PIN	1.6	1.6	0.2	0.3	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.6x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.6x8_GRADE_A_CLASS_A_PARALLEL_PIN	1.6	1.6	0.2	0.3	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.6x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.6x10_GRADE_A_CLASS_A_PARALLEL_PIN	1.6	1.6	0.2	0.3	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.6x12 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.6x12_GRADE_A_CLASS_A_PARALLEL_PIN	1.6	1.6	0.2	0.3	12	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.6x14 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.6x14_GRADE_A_CLASS_A_PARALLEL_PIN	1.6	1.6	0.2	0.3	14	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.6x16 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.6x16_GRADE_A_CLASS_A_PARALLEL_PIN	1.6	1.6	0.2	0.3	16	A	St	JIS B 1354	1988
JIS B 1354 PIN 2x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2x6_GRADE_A_CLASS_A_PARALLEL_PIN	2.0	2.0	0.25	0.35	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 2x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2x8_GRADE_A_CLASS_A_PARALLEL_PIN	2.0	2.0	0.25	0.35	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 2x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2x10_GRADE_A_CLASS_A_PARALLEL_PIN	2.0	2.0	0.25	0.35	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 2x12 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2x12_GRADE_A_CLASS_A_PARALLEL_PIN	2.0	2.0	0.25	0.35	12	A	St	JIS B 1354	1988
JIS B 1354 PIN 2x14 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2x14_GRADE_A_CLASS_A_PARALLEL_PIN	2.0	2.0	0.25	0.35	14	A	St	JIS B 1354	1988
JIS B 1354 PIN 2x16 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2x16_GRADE_A_CLASS_A_PARALLEL_PIN	2.0	2.0	0.25	0.35	16	A	St	JIS B 1354	1988
JIS B 1354 PIN 2x18 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2x18_GRADE_A_CLASS_A_PARALLEL_PIN	2.0	2.0	0.25	0.35	18	A	St	JIS B 1354	1988
JIS B 1354 PIN 2x20 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2x20_GRADE_A_CLASS_A_PARALLEL_PIN	2.0	2.0	0.25	0.35	20	A	St	JIS B 1354	1988
JIS B 1354 PIN 2.5x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2.5x6_GRADE_A_CLASS_A_PARALLEL_PIN	2.5	2.5	0.3	0.4	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 2.5x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2.5x8_GRADE_A_CLASS_A_PARALLEL_PIN	2.5	2.5	0.3	0.4	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 2.5x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2.5x10_GRADE_A_CLASS_A_PARALLEL_PIN	2.5	2.5	0.3	0.4	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 2.5x12 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2.5x12_GRADE_A_CLASS_A_PARALLEL_PIN	2.5	2.5	0.3	0.4	12	A	St	JIS B 1354	1988
JIS B 1354 PIN 2.5x14 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2.5x14_GRADE_A_CLASS_A_PARALLEL_PIN	2.5	2.5	0.3	0.4	14	A	St	JIS B 1354	1988
JIS B 1354 PIN 2.5x16 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2.5x16_GRADE_A_CLASS_A_PARALLEL_PIN	2.5	2.5	0.3	0.4	16	A	St	JIS B 1354	1988
JIS B 1354 PIN 2.5x18 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2.5x18_GRADE_A_CLASS_A_PARALLEL_PIN	2.5	2.5	0.3	0.4	18	A	St	JIS B 1354	1988
JIS B 1354 PIN 2.5x20 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2.5x20_GRADE_A_CLASS_A_PARALLEL_PIN	2.5	2.5	0.3	0.4	20	A	St	JIS B 1354	1988
JIS B 1354 PIN 2.5x22 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2.5x22_GRADE_A_CLASS_A_PARALLEL_PIN	2.5	2.5	0.3	0.4	22	A	St	JIS B 1354	1988
JIS B 1354 PIN 2.5x24 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_2.5x24_GRADE_A_CLASS_A_PARALLEL_PIN	2.5	2.5	0.3	0.4	24	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x8_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x10_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x12 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x12_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	12	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x14 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x14_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	14	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x16 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x16_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	16	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x18 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x18_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	18	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x20 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x20_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	20	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x22 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x22_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	22	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x24 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x24_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	24	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x26 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x26_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	26	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x28 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x28_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	28	A	St	JIS B 1354	1988
JIS B 1354 PIN 3x30 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_3x30_GRADE_A_CLASS_A_PARALLEL_PIN	3.0	3.0	0.4	0.5	30	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x8_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x10_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x12 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x12_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	12	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x14 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x14_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	14	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x16 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x16_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	16	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x18 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x18_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	18	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x20 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x20_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	20	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x22 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x22_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	22	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x24 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x24_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	24	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x26 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x26_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	26	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x28 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x28_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	28	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x30 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x30_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	30	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x32 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x32_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	32	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x35 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x35_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	35	A	St	JIS B 1354	1988
JIS B 1354 PIN 4x40 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_4x40_GRADE_A_CLASS_A_PARALLEL_PIN	4.0	4.0	0.5	0.63	40	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x10_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x12 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x12_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	12	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x14 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x14_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	14	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x16 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x16_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	16	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x18 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x18_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	18	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x20 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x20_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	20	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x22 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x22_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	22	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x24 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x24_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	24	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x26 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x26_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	26	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x28 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x28_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	28	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x30 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x30_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	30	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x32 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x32_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	32	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x35 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x35_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	35	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x40 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x40_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	40	A	St	JIS B 1354	1988
JIS B 1354 PIN 5x45 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_5x45_GRADE_A_CLASS_A_PARALLEL_PIN	5.0	5.0	0.63	0.8	45	A	St	JIS B 1354	1988
