PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_length_nom(mm)	a_max(mm)	b_min(mm)	dk_head_dia(mm)	k_max(mm)	rf_rad(mm)	r_min(mm)	x_max(mm)	m_recess_ref(mm)	Recess_penetration_max(mm)	slot_width(mm)	cross_recess_no	Type	Grade	Material	Reference	Edition
JIS B 1111 SCREW M1.6x25 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M1.6x25_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M1.6	1.6	0.35	24.3	25.0	0.7	25.0	3.2	1.3	2.5	0.1	0.9	1.7	0.95	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x3 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2x3_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2	2.0	0.4	2.2	3.0	0.8	25.0	4.0	1.6	3.2	0.1	1.0	1.9	1.2	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x4 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2x4_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2	2.0	0.4	3.2	4.0	0.8	25.0	4.0	1.6	3.2	0.1	1.0	1.9	1.2	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x5 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2x5_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2	2.0	0.4	4.2	5.0	0.8	25.0	4.0	1.6	3.2	0.1	1.0	1.9	1.2	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x6 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2x6_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2	2.0	0.4	5.2	6.0	0.8	25.0	4.0	1.6	3.2	0.1	1.0	1.9	1.2	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x8 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2x8_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2	2.0	0.4	7.2	8.0	0.8	25.0	4.0	1.6	3.2	0.1	1.0	1.9	1.2	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x10 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2x10_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2	2.0	0.4	9.2	10.0	0.8	25.0	4.0	1.6	3.2	0.1	1.0	1.9	1.2	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x12 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2x12_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2	2.0	0.4	11.2	12.0	0.8	25.0	4.0	1.6	3.2	0.1	1.0	1.9	1.2	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x14 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2x14_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2	2.0	0.4	13.2	14.0	0.8	25.0	4.0	1.6	3.2	0.1	1.0	1.9	1.2	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x16 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2x16_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2	2.0	0.4	15.2	16.0	0.8	25.0	4.0	1.6	3.2	0.1	1.0	1.9	1.2	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x20 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2x20_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2	2.0	0.4	19.2	20.0	0.8	25.0	4.0	1.6	3.2	0.1	1.0	1.9	1.2	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2x25 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2x25_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2	2.0	0.4	24.2	25.0	0.8	25.0	4.0	1.6	3.2	0.1	1.0	1.9	1.2	0.36	0.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2.5x4 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2.5x4_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2.5	2.5	0.45	3.1	4.0	0.9	25.0	5.0	2.1	4.0	0.1	1.1	2.7	1.55	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2.5x5 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2.5x5_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2.5	2.5	0.45	4.1	5.0	0.9	25.0	5.0	2.1	4.0	0.1	1.1	2.7	1.55	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2.5x6 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2.5x6_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2.5	2.5	0.45	5.1	6.0	0.9	25.0	5.0	2.1	4.0	0.1	1.1	2.7	1.55	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2.5x8 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2.5x8_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2.5	2.5	0.45	7.1	8.0	0.9	25.0	5.0	2.1	4.0	0.1	1.1	2.7	1.55	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2.5x10 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2.5x10_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2.5	2.5	0.45	9.1	10.0	0.9	25.0	5.0	2.1	4.0	0.1	1.1	2.7	1.55	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2.5x12 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2.5x12_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2.5	2.5	0.45	11.1	12.0	0.9	25.0	5.0	2.1	4.0	0.1	1.1	2.7	1.55	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2.5x14 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2.5x14_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2.5	2.5	0.45	13.1	14.0	0.9	25.0	5.0	2.1	4.0	0.1	1.1	2.7	1.55	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2.5x16 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2.5x16_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2.5	2.5	0.45	15.1	16.0	0.9	25.0	5.0	2.1	4.0	0.1	1.1	2.7	1.55	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2.5x20 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2.5x20_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2.5	2.5	0.45	19.1	20.0	0.9	25.0	5.0	2.1	4.0	0.1	1.1	2.7	1.55	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M2.5x25 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M2.5x25_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M2.5	2.5	0.45	24.1	25.0	0.9	25.0	5.0	2.1	4.0	0.1	1.1	2.7	1.55	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3x4 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3x4_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3	3.0	0.5	3.0	4.0	1.0	25.0	5.6	2.4	5.0	0.1	1.25	3.0	1.8	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3x5 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3x5_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3	3.0	0.5	4.0	5.0	1.0	25.0	5.6	2.4	5.0	0.1	1.25	3.0	1.8	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3x6 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3x6_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3	3.0	0.5	5.0	6.0	1.0	25.0	5.6	2.4	5.0	0.1	1.25	3.0	1.8	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3x8 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3x8_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3	3.0	0.5	7.0	8.0	1.0	25.0	5.6	2.4	5.0	0.1	1.25	3.0	1.8	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3x10 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3x10_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3	3.0	0.5	9.0	10.0	1.0	25.0	5.6	2.4	5.0	0.1	1.25	3.0	1.8	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3x12 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3x12_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3	3.0	0.5	11.0	12.0	1.0	25.0	5.6	2.4	5.0	0.1	1.25	3.0	1.8	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3x14 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3x14_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3	3.0	0.5	13.0	14.0	1.0	25.0	5.6	2.4	5.0	0.1	1.25	3.0	1.8	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3x16 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3x16_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3	3.0	0.5	15.0	16.0	1.0	25.0	5.6	2.4	5.0	0.1	1.25	3.0	1.8	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3x20 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3x20_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3	3.0	0.5	19.0	20.0	1.0	25.0	5.6	2.4	5.0	0.1	1.25	3.0	1.8	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3x25 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3x25_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3	3.0	0.5	24.0	25.0	1.0	25.0	5.6	2.4	5.0	0.1	1.25	3.0	1.8	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3x30 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3x30_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3	3.0	0.5	25.0	30.0	1.0	25.0	5.6	2.4	5.0	0.1	1.25	3.0	1.8	0.56	1.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x5 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x5_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	3.8	5.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x6 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x6_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	4.8	6.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x8 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x8_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	6.8	8.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x10 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x10_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	8.8	10.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x12 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x12_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	10.8	12.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x14 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x14_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	12.8	14.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x16 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x16_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	14.8	16.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x20 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x20_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	18.8	20.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x25 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x25_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	23.8	25.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x30 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x30_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	28.8	30.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x35 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x35_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	33.8	35.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M3.5x40 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M3.5x40_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M3.5	3.5	0.6	38.8	40.0	1.2	38.0	7.0	2.6	6.0	0.1	1.5	3.9	1.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x5 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x5_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	3.6	5.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x6 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x6_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	4.6	6.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x8 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x8_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	6.6	8.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x10 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x10_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	8.6	10.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x12 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x12_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	10.6	12.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x14 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x14_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	12.6	14.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x16 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x16_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	14.6	16.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x20 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x20_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	18.6	20.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x25 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x25_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	23.6	25.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x30 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x30_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	28.6	30.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x35 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x35_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	33.6	35.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M4x40 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M4x40_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M4	4.0	0.7	38.6	40.0	1.4	38.0	8.0	3.1	6.5	0.2	1.75	4.4	2.4	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x6 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M5x6_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M5	5.0	0.8	4.4	6.0	1.6	38.0	9.5	3.7	8.0	0.2	2.0	4.9	2.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x8 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M5x8_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M5	5.0	0.8	6.4	8.0	1.6	38.0	9.5	3.7	8.0	0.2	2.0	4.9	2.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x10 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M5x10_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M5	5.0	0.8	8.4	10.0	1.6	38.0	9.5	3.7	8.0	0.2	2.0	4.9	2.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x12 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M5x12_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M5	5.0	0.8	10.4	12.0	1.6	38.0	9.5	3.7	8.0	0.2	2.0	4.9	2.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x14 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M5x14_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M5	5.0	0.8	12.4	14.0	1.6	38.0	9.5	3.7	8.0	0.2	2.0	4.9	2.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x16 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M5x16_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M5	5.0	0.8	14.4	16.0	1.6	38.0	9.5	3.7	8.0	0.2	2.0	4.9	2.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x20 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M5x20_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M5	5.0	0.8	18.4	20.0	1.6	38.0	9.5	3.7	8.0	0.2	2.0	4.9	2.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x25 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M5x25_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M5	5.0	0.8	23.4	25.0	1.6	38.0	9.5	3.7	8.0	0.2	2.0	4.9	2.9	0.74	2.0	H	A	St	JIS B 1111	1996
JIS B 1111 SCREW M5x30 STEEL GR A CROSS REC PAN HEAD TYPE H	JIS_B_1111_M5x30_STEEL_GR_A_TYPE_H_CROSS_REC_PAN_HEAD_SCREW	M5	5.0	0.8	28.4	30.0	1.6	38.0	9.5	3.7	8.0	0.2	2.0	4.9	2.9	0.74	2.0	H	A	St	JIS B 1111	1996
