PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	c_chamfer_max(mm)	d2_hole(mm)	d3_hole(mm)	g_hole(mm)	Symbol	Material	Reference	Edition
JIS B 1301 KEY 20x12x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x160 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x160_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	160	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x180 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x180_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	180	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x200 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x200_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	200	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 20x12x220 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_20x12x220_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	220	20	12	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x63 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x63_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	63	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x70 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x70_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	70	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x80 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x80_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	80	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x160 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x160_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	160	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x180 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x180_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	180	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x200 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x200_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	200	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x220 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x220_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	220	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 22x14x250 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_22x14x250_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	250	22	14	0.8	11.5	6.6	4.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x70 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x70_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	70	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x80 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x80_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	80	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x160 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x160_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	160	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x180 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x180_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	180	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x200 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x200_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	200	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x220 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x220_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	220	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x250 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x250_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	250	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 24x16x280 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_24x16x280_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	280	24	16	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x70 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x70_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	70	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x80 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x80_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	80	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x160 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x160_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	160	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x180 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x180_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	180	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x200 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x200_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	200	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x220 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x220_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	220	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x250 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x250_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	250	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 25x14x280 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_25x14x280_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	280	25	14	0.8	15.0	9.0	5.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x80 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x80_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	80	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x160 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x160_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	160	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x180 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x180_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	180	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x200 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x200_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	200	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x220 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x220_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	220	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x250 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x250_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	250	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x280 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x280_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	280	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 28x16x320 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_28x16x320_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	320	28	16	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x160 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x160_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	160	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x180 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x180_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	180	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x200 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x200_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	200	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x220 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x220_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	220	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x250 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x250_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	250	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x280 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x280_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	280	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x320 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x320_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	320	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 32x18x360 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_32x18x360_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	360	32	18	0.8	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x160 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x160_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	160	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x180 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x180_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	180	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x200 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x200_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	200	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x220 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x220_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	220	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x250 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x250_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	250	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x280 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x280_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	280	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x320 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x320_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	320	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x360 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x360_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	360	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 35x22x400 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_35x22x400_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	400	35	22	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x160 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x160_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	160	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x180 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x180_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	180	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x200 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x200_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	200	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x220 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x220_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	220	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x250 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x250_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	250	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x280 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x280_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	280	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x320 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x320_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	320	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x360 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x360_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	360	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 36x20x400 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_36x20x400_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	400	36	20	1.2	20.0	14.0	13.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x160 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x160_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	160	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x180 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x180_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	180	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x200 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x200_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	200	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x220 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x220_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	220	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x250 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x250_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	250	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x280 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x280_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	280	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x320 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x320_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	320	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
JIS B 1301 KEY 38x24x360 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_38x24x360_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	360	38	24	1.2	17.5	11.0	10.8	B	St	JIS B 1301	1996
