PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	c_chamfer_max(mm)	d2_hole(mm)	d3_hole(mm)	g_hole(mm)	Symbol	Material	Reference	Edition
JIS B 1301 KEY 12x8x63 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x63_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	63	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x70 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x70_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	70	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x80 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x80_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	80	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x125 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x125_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	125	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x140 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x140_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	140	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x36 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x36_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	36	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x40 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_14x9x40_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	40	14	9	0.6	10.0	5.5	3.7	B	St	JIS B 1301	1996
