PartNumber	PartName	l_length(mm)	b_width(mm)	h_height(mm)	c_chamfer_max(mm)	h1_gib_height(mm)	e_gib_length	Material	Reference	Edition
JIS B 1301 KEY 7x7x20 TAPER WITH GIB HEAD	JIS_B_1301_7x7x20_GIB_HEAD_TAPER_KEY	20.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x22 TAPER WITH GIB HEAD	JIS_B_1301_7x7x22_GIB_HEAD_TAPER_KEY	22.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x25 TAPER WITH GIB HEAD	JIS_B_1301_7x7x25_GIB_HEAD_TAPER_KEY	25.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x28 TAPER WITH GIB HEAD	JIS_B_1301_7x7x28_GIB_HEAD_TAPER_KEY	28.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x32 TAPER WITH GIB HEAD	JIS_B_1301_7x7x32_GIB_HEAD_TAPER_KEY	32.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x36 TAPER WITH GIB HEAD	JIS_B_1301_7x7x36_GIB_HEAD_TAPER_KEY	36.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x40 TAPER WITH GIB HEAD	JIS_B_1301_7x7x40_GIB_HEAD_TAPER_KEY	40.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x45 TAPER WITH GIB HEAD	JIS_B_1301_7x7x45_GIB_HEAD_TAPER_KEY	45.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x50 TAPER WITH GIB HEAD	JIS_B_1301_7x7x50_GIB_HEAD_TAPER_KEY	50.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x56 TAPER WITH GIB HEAD	JIS_B_1301_7x7x56_GIB_HEAD_TAPER_KEY	56.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x63 TAPER WITH GIB HEAD	JIS_B_1301_7x7x63_GIB_HEAD_TAPER_KEY	63.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x70 TAPER WITH GIB HEAD	JIS_B_1301_7x7x70_GIB_HEAD_TAPER_KEY	70.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 7x7x80 TAPER WITH GIB HEAD	JIS_B_1301_7x7x80_GIB_HEAD_TAPER_KEY	80.0	7.0	7.0	0.4	10.0	7.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x18 TAPER WITH GIB HEAD	JIS_B_1301_8x7x18_GIB_HEAD_TAPER_KEY	18.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x20 TAPER WITH GIB HEAD	JIS_B_1301_8x7x20_GIB_HEAD_TAPER_KEY	20.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x22 TAPER WITH GIB HEAD	JIS_B_1301_8x7x22_GIB_HEAD_TAPER_KEY	22.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x25 TAPER WITH GIB HEAD	JIS_B_1301_8x7x25_GIB_HEAD_TAPER_KEY	25.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x28 TAPER WITH GIB HEAD	JIS_B_1301_8x7x28_GIB_HEAD_TAPER_KEY	28.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x32 TAPER WITH GIB HEAD	JIS_B_1301_8x7x32_GIB_HEAD_TAPER_KEY	32.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x36 TAPER WITH GIB HEAD	JIS_B_1301_8x7x36_GIB_HEAD_TAPER_KEY	36.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x40 TAPER WITH GIB HEAD	JIS_B_1301_8x7x40_GIB_HEAD_TAPER_KEY	40.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x45 TAPER WITH GIB HEAD	JIS_B_1301_8x7x45_GIB_HEAD_TAPER_KEY	45.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x50 TAPER WITH GIB HEAD	JIS_B_1301_8x7x50_GIB_HEAD_TAPER_KEY	50.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x56 TAPER WITH GIB HEAD	JIS_B_1301_8x7x56_GIB_HEAD_TAPER_KEY	56.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x63 TAPER WITH GIB HEAD	JIS_B_1301_8x7x63_GIB_HEAD_TAPER_KEY	63.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x70 TAPER WITH GIB HEAD	JIS_B_1301_8x7x70_GIB_HEAD_TAPER_KEY	70.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x80 TAPER WITH GIB HEAD	JIS_B_1301_8x7x80_GIB_HEAD_TAPER_KEY	80.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x90 TAPER WITH GIB HEAD	JIS_B_1301_8x7x90_GIB_HEAD_TAPER_KEY	90.0	8.0	7.0	0.4	11.0	8.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x22 TAPER WITH GIB HEAD	JIS_B_1301_10x8x22_GIB_HEAD_TAPER_KEY	22.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x25 TAPER WITH GIB HEAD	JIS_B_1301_10x8x25_GIB_HEAD_TAPER_KEY	25.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x28 TAPER WITH GIB HEAD	JIS_B_1301_10x8x28_GIB_HEAD_TAPER_KEY	28.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x32 TAPER WITH GIB HEAD	JIS_B_1301_10x8x32_GIB_HEAD_TAPER_KEY	32.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x36 TAPER WITH GIB HEAD	JIS_B_1301_10x8x36_GIB_HEAD_TAPER_KEY	36.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x40 TAPER WITH GIB HEAD	JIS_B_1301_10x8x40_GIB_HEAD_TAPER_KEY	40.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x45 TAPER WITH GIB HEAD	JIS_B_1301_10x8x45_GIB_HEAD_TAPER_KEY	45.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x50 TAPER WITH GIB HEAD	JIS_B_1301_10x8x50_GIB_HEAD_TAPER_KEY	50.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x56 TAPER WITH GIB HEAD	JIS_B_1301_10x8x56_GIB_HEAD_TAPER_KEY	56.0	10.0	8.0	0.6	12.0	10.0	St	JIS B 1301	1996
