PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	dp_dia_point(mm)	dp_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	z_dog_point_max(mm)	dog_point	Grade	Material	Reference	Edition
JIS B 1177 SCREW M4x16 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M4x16_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M4	4.0	0.7	15.6906	16.0	90	2.5	2.25	2.3	2.0	2.5	2.25	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M4x20 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M4x20_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M4	4.0	0.7	19.6906	20.0	90	2.5	2.25	2.3	2.0	2.5	2.25	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M5x6 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M5x6_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M5	5.0	0.8	5.7500	6.0	120	3.5	3.2	2.87	2.5	2.0	1.5	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M5x8 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M5x8_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	7.6464	8.0	90	3.5	3.2	2.87	2.5	3.0	2.75	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M5x10 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M5x10_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	9.6464	10.0	90	3.5	3.2	2.87	2.5	3.0	2.75	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M5x12 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M5x12_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	11.6464	12.0	90	3.5	3.2	2.87	2.5	3.0	2.75	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M5x16 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M5x16_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	15.6464	16.0	90	3.5	3.2	2.87	2.5	3.0	2.75	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M5x20 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M5x20_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	19.6464	20.0	90	3.5	3.2	2.87	2.5	3.0	2.75	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M5x25 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M5x25_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M5	5.0	0.8	24.6464	25.0	90	3.5	3.2	2.87	2.5	3.0	2.75	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M6x8 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M6x8_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M6	6.0	1.0	7.6875	8.0	120	4.0	3.7	3.44	3.0	2.0	1.75	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M6x10 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M6x10_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	9.5581	10.0	90	4.0	3.7	3.44	3.0	3.5	3.25	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M6x12 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M6x12_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M6	6.0	1.0	11.5581	12.0	90	4.0	3.7	3.44	3.0	3.5	3.25	LONG	A	St	JIS B 1177	1997
