PartNumber	PartName	Designation	d3_basic_internal_dia(mm)	t_thichness_basic(mm)	b_max_width(mm)	r_max_(mm)	Material	Reference	Edition
JIS B 2804 RING 80 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_80_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	80.0	75.1	2.5	5.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 85 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_85_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	85.0	80.1	3.0	6.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 90 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_90_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	90.0	85.1	3.0	6.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 95 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_95_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	95.0	90.1	3.0	6.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 100 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_100_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	100.0	95.1	3.0	6.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 105 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_105_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	105.0	98.8	4.0	8.0	1.2	St	JIS B 2804	2001
JIS B 2804 RING 110 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_110_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	110.0	103.8	4.0	8.0	1.2	St	JIS B 2804	2001
JIS B 2804 RING 120 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_120_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	120.0	113.8	4.0	8.0	1.2	St	JIS B 2804	2001
JIS B 2804 RING 130 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_130_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	130.0	123.7	4.0	10.0	1.2	St	JIS B 2804	2001
JIS B 2804 RING 140 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_140_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	140.0	133.7	4.0	10.0	1.2	St	JIS B 2804	2001
JIS B 2804 RING 150 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_150_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	150.0	142.7	4.0	10.0	1.2	St	JIS B 2804	2001
JIS B 2804 RING 160 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_160_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	160.0	151.7	4.0	10.0	1.2	St	JIS B 2804	2001
JIS B 2804 RING 170 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_170_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	170.0	161.2	4.0	10.0	1.2	St	JIS B 2804	2001
JIS B 2804 RING 180 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_180_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	180.0	171.2	4.0	10.0	1.2	St	JIS B 2804	2001
JIS B 2804 RING 190 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_190_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	190.0	181.1	4.0	10.0	1.2	St	JIS B 2804	2001
JIS B 2804 RING 200 STEEL RETAINING ON FOR SHAFT USE TYPE CC	JIS_B_2804_200_FOR_ON_SHAFT_USE_TYPE_CC_STEEL_RETAINING_RING	200.0	191.1	4.0	10.0	1.2	St	JIS B 2804	2001
