PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_bolt_length(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	k_max_head_depth(mm)	k_head_edge_length(mm)	dw(mm)	r_min(mm)	c_min(mm)	c__max(mm)	da_max(mm)	ds_max_nom(mm)	e_acrosscorner_min(mm)	lf_max(mm)	Grade	Material	Reference	Edition
JIS B 1180 BOLT M22x200 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x200_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	200.0	34.0	131.5	144.0	14.35	9.56	31.35	0.8	0.2	0.8	24.4	22.0	37.29	4.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M22x220 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x220_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	69.0	220.0	34.0	138.0	151.0	14.35	9.56	31.35	0.8	0.2	0.8	24.4	22.0	37.29	4.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M27x100 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x100_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	60.0	100.0	42.0	25.0	40.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M27x110 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x110_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	60.0	110.0	42.0	35.0	50.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M27x120 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x120_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	60.0	120.0	42.0	45.0	60.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M27x130 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x130_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	130.0	42.0	49.0	64.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M27x140 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x140_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	140.0	42.0	59.0	74.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M27x150 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x150_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	150.0	42.0	69.0	84.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M27x160 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x160_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	160.0	42.0	79.0	94.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
JIS B 1180 BOLT M27x180 STEEL GRADE B HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x180_STEEL_GRADE_B_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	180.0	42.0	99.0	114.0	17.35	11.66	38.0	1.0	0.2	0.8	30.4	27.0	45.2	6.0	B	St	JIS B 1180	1994
