PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	Threading(mm)	l_nom_Length(mm)	b_min_Thread_Length(mm)	dk_nom_head_Dia(mm)	k_nom_head_depth(mm)	n_nom_Slot_Width(mm)	t_min_Slot_Depth(mm)	a_max(mm)	r_max(mm)	x_max(mm)	Material	Reference	Edition
JIS B 1101 SCREW M1.6x20 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x20_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	18.3	20.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M1.6x25 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x25_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	23.3	25.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M1.6x30 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M1.6x30_STEEL_SLOTTED_COUNTERSUNK_SCREW	M1.6	1.6	0.35	28.3	30.0	25.0	3.0	1.0	0.4	0.32	0.7	0.4	0.9	St	JIS B 1101	1996
JIS B 1101 SCREW M2x3 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x3_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	1.0	3.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2x4 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x4_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	2.0	4.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2x5 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x5_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	3.0	5.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2x6 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x6_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	4.0	6.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2x8 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x8_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	6.0	8.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2x10 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x10_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	8.0	10.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2x12 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x12_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	10.0	12.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2x14 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x14_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	12.0	14.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2x16 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x16_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	14.0	16.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2x20 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x20_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	18.0	20.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2x25 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x25_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	23.0	25.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2x30 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2x30_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2	2.0	0.4	28.0	30.0	25.0	3.8	1.2	0.5	0.4	0.8	0.5	1.0	St	JIS B 1101	1996
JIS B 1101 SCREW M2.5x4 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2.5x4_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2.5	2.5	0.45	1.6	4.0	25.0	4.7	1.5	0.6	0.5	0.9	0.6	1.1	St	JIS B 1101	1996
JIS B 1101 SCREW M2.5x5 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2.5x5_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2.5	2.5	0.45	2.6	5.0	25.0	4.7	1.5	0.6	0.5	0.9	0.6	1.1	St	JIS B 1101	1996
JIS B 1101 SCREW M2.5x6 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2.5x6_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2.5	2.5	0.45	3.6	6.0	25.0	4.7	1.5	0.6	0.5	0.9	0.6	1.1	St	JIS B 1101	1996
JIS B 1101 SCREW M2.5x8 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2.5x8_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2.5	2.5	0.45	5.6	8.0	25.0	4.7	1.5	0.6	0.5	0.9	0.6	1.1	St	JIS B 1101	1996
JIS B 1101 SCREW M2.5x10 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2.5x10_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2.5	2.5	0.45	7.6	10.0	25.0	4.7	1.5	0.6	0.5	0.9	0.6	1.1	St	JIS B 1101	1996
JIS B 1101 SCREW M2.5x12 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2.5x12_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2.5	2.5	0.45	9.6	12.0	25.0	4.7	1.5	0.6	0.5	0.9	0.6	1.1	St	JIS B 1101	1996
JIS B 1101 SCREW M2.5x14 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2.5x14_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2.5	2.5	0.45	11.6	14.0	25.0	4.7	1.5	0.6	0.5	0.9	0.6	1.1	St	JIS B 1101	1996
JIS B 1101 SCREW M2.5x16 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2.5x16_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2.5	2.5	0.45	13.6	16.0	25.0	4.7	1.5	0.6	0.5	0.9	0.6	1.1	St	JIS B 1101	1996
JIS B 1101 SCREW M2.5x20 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2.5x20_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2.5	2.5	0.45	17.6	20.0	25.0	4.7	1.5	0.6	0.5	0.9	0.6	1.1	St	JIS B 1101	1996
JIS B 1101 SCREW M2.5x25 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2.5x25_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2.5	2.5	0.45	22.6	25.0	25.0	4.7	1.5	0.6	0.5	0.9	0.6	1.1	St	JIS B 1101	1996
JIS B 1101 SCREW M2.5x30 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M2.5x30_STEEL_SLOTTED_COUNTERSUNK_SCREW	M2.5	2.5	0.45	27.6	30.0	25.0	4.7	1.5	0.6	0.5	0.9	0.6	1.1	St	JIS B 1101	1996
JIS B 1101 SCREW M3x5 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3x5_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3	3.0	0.5	2.35	5.0	25.0	5.5	1.65	0.8	0.6	1.0	0.8	1.25	St	JIS B 1101	1996
JIS B 1101 SCREW M3x6 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3x6_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3	3.0	0.5	3.35	6.0	25.0	5.5	1.65	0.8	0.6	1.0	0.8	1.25	St	JIS B 1101	1996
JIS B 1101 SCREW M3x8 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3x8_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3	3.0	0.5	5.35	8.0	25.0	5.5	1.65	0.8	0.6	1.0	0.8	1.25	St	JIS B 1101	1996
JIS B 1101 SCREW M3x10 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3x10_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3	3.0	0.5	7.35	10.0	25.0	5.5	1.65	0.8	0.6	1.0	0.8	1.25	St	JIS B 1101	1996
JIS B 1101 SCREW M3x12 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3x12_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3	3.0	0.5	9.35	12.0	25.0	5.5	1.65	0.8	0.6	1.0	0.8	1.25	St	JIS B 1101	1996
JIS B 1101 SCREW M3x14 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3x14_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3	3.0	0.5	11.35	14.0	25.0	5.5	1.65	0.8	0.6	1.0	0.8	1.25	St	JIS B 1101	1996
JIS B 1101 SCREW M3x16 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3x16_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3	3.0	0.5	13.35	16.0	25.0	5.5	1.65	0.8	0.6	1.0	0.8	1.25	St	JIS B 1101	1996
JIS B 1101 SCREW M3x20 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3x20_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3	3.0	0.5	17.35	20.0	25.0	5.5	1.65	0.8	0.6	1.0	0.8	1.25	St	JIS B 1101	1996
JIS B 1101 SCREW M3x25 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3x25_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3	3.0	0.5	22.35	25.0	25.0	5.5	1.65	0.8	0.6	1.0	0.8	1.25	St	JIS B 1101	1996
JIS B 1101 SCREW M3x30 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3x30_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3	3.0	0.5	27.35	30.0	25.0	5.5	1.65	0.8	0.6	1.0	0.8	1.25	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x6 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x6_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	2.45	6.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x8 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x8_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	4.45	8.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x10 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x10_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	6.45	10.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x12 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x12_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	8.45	12.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x14 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x14_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	10.45	14.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x16 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x16_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	12.45	16.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x20 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x20_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	16.45	20.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x25 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x25_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	21.45	25.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x30 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x30_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	26.45	30.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x35 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x35_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	31.45	35.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x40 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x40_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	36.45	40.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M3.5x45 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M3.5x45_STEEL_SLOTTED_COUNTERSUNK_SCREW	M3.5	3.5	0.6	41.45	45.0	38.0	7.3	2.35	1.0	0.9	1.2	0.9	1.5	St	JIS B 1101	1996
JIS B 1101 SCREW M4x6 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x6_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	1.9	6.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M4x8 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x8_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	3.9	8.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M4x10 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x10_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	5.9	10.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M4x12 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x12_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	7.9	12.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M4x14 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x14_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	9.9	14.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M4x16 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x16_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	11.9	16.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M4x20 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x20_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	15.9	20.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M4x25 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x25_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	20.9	25.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M4x30 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x30_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	25.9	30.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M4x35 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x35_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	30.9	35.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M4x40 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x40_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	35.9	40.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M4x45 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M4x45_STEEL_SLOTTED_COUNTERSUNK_SCREW	M4	4.0	0.7	40.9	45.0	38.0	8.4	2.7	1.2	1.0	1.4	1.0	1.75	St	JIS B 1101	1996
JIS B 1101 SCREW M5x8 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x8_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	3.7	8.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M5x10 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x10_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	5.7	10.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M5x12 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x12_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	7.7	12.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M5x14 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x14_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	9.7	14.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M5x16 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x16_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	11.7	16.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M5x20 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x20_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	15.7	20.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M5x25 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x25_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	20.7	25.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M5x30 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x30_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	25.7	30.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M5x35 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x35_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	30.7	35.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M5x40 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x40_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	35.7	40.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M5x45 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x45_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	40.7	45.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M5x50 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M5x50_STEEL_SLOTTED_COUNTERSUNK_SCREW	M5	5.0	0.8	38.0	50.0	38.0	9.3	2.7	1.2	1.1	1.6	1.3	2.0	St	JIS B 1101	1996
JIS B 1101 SCREW M6x8 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x8_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	2.7	8.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x10 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x10_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	4.7	10.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x12 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x12_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	6.7	12.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x14 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x14_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	8.7	14.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x16 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x16_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	10.7	16.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x20 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x20_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	14.7	20.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
JIS B 1101 SCREW M6x25 STEEL COUNTERSUNK SLOTTED FLAT HEAD	JIS_B_1101_M6x25_STEEL_SLOTTED_COUNTERSUNK_SCREW	M6	6.0	1.0	19.7	25.0	38.0	11.3	3.3	1.6	1.2	2.0	1.5	2.5	St	JIS B 1101	1996
