PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	dk_nom(mm)	k_max(mm)	rf_(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Slot_width(mm)	f_(mm)	a_max(mm)	Type	Grade	Material	Reference	Edition
EN ISO 7047 SCREW M3x5-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x5-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	2.35	5.0	25.0	5.5	1.65	6.0	0.8	1.25	3.4	2.2	0.55	0.7	1.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x6-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x6-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	3.35	6.0	25.0	5.5	1.65	6.0	0.8	1.25	3.4	2.2	0.55	0.7	1.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x8-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x8-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	5.35	8.0	25.0	5.5	1.65	6.0	0.8	1.25	3.4	2.2	0.55	0.7	1.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x10-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x10-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	7.35	10.0	25.0	5.5	1.65	6.0	0.8	1.25	3.4	2.2	0.55	0.7	1.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x12-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x12-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	9.35	12.0	25.0	5.5	1.65	6.0	0.8	1.25	3.4	2.2	0.55	0.7	1.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x14-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x14-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	11.35	14.0	25.0	5.5	1.65	6.0	0.8	1.25	3.4	2.2	0.55	0.7	1.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x16-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x16-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	13.35	16.0	25.0	5.5	1.65	6.0	0.8	1.25	3.4	2.2	0.55	0.7	1.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x20-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x20-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	17.35	20.0	25.0	5.5	1.65	6.0	0.8	1.25	3.4	2.2	0.55	0.7	1.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x25-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x25-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	22.35	25.0	25.0	5.5	1.65	6.0	0.8	1.25	3.4	2.2	0.55	0.7	1.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x30-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x30-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	27.35	30.0	25.0	5.5	1.65	6.0	0.8	1.25	3.4	2.2	0.55	0.7	1.0	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x5-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x5-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	1.45	5.0	38.0	7.3	2.35	8.5	0.9	1.5	4.8	2.75	0.7	0.8	1.2	H	A	St	EN ISO 7047	1994
