PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	dk_nom(mm)	k_max(mm)	rf_(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Slot_width(mm)	f_(mm)	a_max(mm)	Type	Grade	Material	Reference	Edition
EN ISO 7047 SCREW M2x12-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x12-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	10.0	12.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x14-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x14-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	12.0	14.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x16-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x16-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	14.0	16.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x20-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x20-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	18.0	20.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x25-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x25-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	23.0	25.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x30-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x30-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	28.0	30.0	25.0	3.8	1.2	4.0	0.5	1.0	2.2	1.4	0.48	0.5	0.8	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x3-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x3-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	0.6	3.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x4-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x4-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	1.6	4.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x5-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x5-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	2.6	5.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x6-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x6-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	3.6	6.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x8-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x8-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	5.6	8.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x10-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x10-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	7.6	10.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x12-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x12-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	9.6	12.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x14-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x14-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	11.6	14.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x16-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x16-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	13.6	16.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x20-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x20-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	17.6	20.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x25-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x25-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	22.6	25.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x30-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x30-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	27.6	30.0	25.0	4.7	1.5	5.0	0.6	1.1	2.8	1.75	0.74	0.6	0.9	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x4-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x4-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	1.35	4.0	25.0	5.5	1.65	6.0	0.8	1.25	3.1	2.08	0.74	0.7	1.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x5-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x5-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	2.35	5.0	25.0	5.5	1.65	6.0	0.8	1.25	3.1	2.08	0.74	0.7	1.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x6-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x6-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	3.35	6.0	25.0	5.5	1.65	6.0	0.8	1.25	3.1	2.08	0.74	0.7	1.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x8-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x8-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	5.35	8.0	25.0	5.5	1.65	6.0	0.8	1.25	3.1	2.08	0.74	0.7	1.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x10-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x10-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	7.35	10.0	25.0	5.5	1.65	6.0	0.8	1.25	3.1	2.08	0.74	0.7	1.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x12-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x12-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	9.35	12.0	25.0	5.5	1.65	6.0	0.8	1.25	3.1	2.08	0.74	0.7	1.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x14-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x14-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	11.35	14.0	25.0	5.5	1.65	6.0	0.8	1.25	3.1	2.08	0.74	0.7	1.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x16-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x16-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	13.35	16.0	25.0	5.5	1.65	6.0	0.8	1.25	3.1	2.08	0.74	0.7	1.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x20-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x20-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	17.35	20.0	25.0	5.5	1.65	6.0	0.8	1.25	3.1	2.08	0.74	0.7	1.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x25-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x25-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	22.35	25.0	25.0	5.5	1.65	6.0	0.8	1.25	3.1	2.08	0.74	0.7	1.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3x30-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3x30-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3	3.0	0.5	27.35	30.0	25.0	5.5	1.65	6.0	0.8	1.25	3.1	2.08	0.74	0.7	1.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x5-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x5-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	1.45	5.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x6-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x6-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	2.45	6.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x8-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x8-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	4.45	8.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x10-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x10-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	6.45	10.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x12-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x12-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	8.45	12.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x14-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x14-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	10.45	14.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x16-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x16-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	12.45	16.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x20-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x20-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	16.45	20.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x25-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x25-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	21.45	25.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x30-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x30-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	26.45	30.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x35-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x35-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	31.45	35.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x40-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x40-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	36.45	40.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M3.5x45-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M3.5x45-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M3.5	3.5	0.6	41.45	45.0	38.0	7.3	2.35	8.5	0.9	1.5	4.6	2.7	1.03	0.8	1.2	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x5-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x5-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	0.9	5.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x6-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x6-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	1.9	6.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x8-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x8-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	3.9	8.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x10-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x10-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	5.9	10.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x12-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x12-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	7.9	12.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x14-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x14-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	9.9	14.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x16-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x16-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	11.9	16.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x20-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x20-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	15.9	20.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x25-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x25-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	20.9	25.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x30-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x30-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	25.9	30.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x35-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x35-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	30.9	35.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x40-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x40-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	35.9	40.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M4x45-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M4x45-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M4	4.0	0.7	40.9	45.0	38.0	8.4	2.7	9.5	1.0	1.75	5.0	3.1	1.03	1.0	1.4	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x6-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x6-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	1.7	6.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x8-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x8-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	3.7	8.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x10-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x10-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	5.7	10.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x12-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x12-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	7.7	12.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x14-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x14-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	9.7	14.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x16-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x16-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	11.7	16.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x20-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x20-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	15.7	20.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x25-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x25-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	20.7	25.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x30-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x30-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	25.7	30.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x35-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x35-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	30.7	35.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x40-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x40-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	35.7	40.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x45-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x45-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	40.7	45.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M5x50-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M5x50-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M5	5.0	0.8	38.0	50.0	38.0	9.3	2.7	9.5	1.3	2.0	5.3	3.35	1.03	1.2	1.6	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x8-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x8-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	2.7	8.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x10-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x10-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	4.7	10.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x12-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x12-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	6.7	12.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x14-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x14-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	8.7	14.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x16-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x16-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	10.7	16.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M6x20-Z STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M6x20-Z_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M6	6.0	1.0	14.7	20.0	38.0	11.3	3.3	12.0	1.5	2.5	7.1	3.85	1.42	1.4	2.0	Z	A	St	EN ISO 7047	1994
