PartNumber	PartName	d_dia(mm)	l_length_nom(mm)	c_max(mm)	dl_hole_dia(mm)	le_length(mm)	Material	Reference	Edition
EN 22340 CLEVIS PIN 3x6 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x6_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	6.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x8 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x8_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	8.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x10 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x10_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	10.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x12 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x12_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	12.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x14 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x14_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	14.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x16 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x16_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	16.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x18 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x18_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	18.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x20 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x20_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	20.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x22 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x22_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	22.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x24 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x24_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	24.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x26 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x26_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	26.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x28 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x28_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	28.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x30 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x30_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	30.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x8 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x8_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	8.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x10 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x10_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	10.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x12 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x12_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	12.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x14 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x14_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	14.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x16 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x16_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	16.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x18 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x18_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	18.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x20 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x20_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	20.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x22 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x22_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	22.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x24 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x24_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	24.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x26 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x26_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	26.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x28 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x28_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	28.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x30 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x30_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	30.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x32 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x32_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	32.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x35 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x35_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	35.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 4x40 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_4x40_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	4.0	40.0	1.0	1.0	2.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x10 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x10_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	10.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x12 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x12_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	12.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x14 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x14_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	14.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x16 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x16_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	16.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x18 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x18_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	18.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x20 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x20_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	20.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x22 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x22_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	22.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x24 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x24_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	24.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x26 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x26_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	26.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x28 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x28_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	28.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x30 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x30_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	30.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x32 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x32_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	32.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x35 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x35_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	35.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x40 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x40_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	40.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x45 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x45_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	45.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 5x50 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_5x50_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	5.0	50.0	2.0	1.2	2.9	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x12 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x12_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	12.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x14 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x14_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	14.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x16 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x16_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	16.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x18 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x18_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	18.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x20 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x20_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	20.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x22 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x22_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	22.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x24 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x24_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	24.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x26 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x26_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	26.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x28 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x28_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	28.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x30 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x30_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	30.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x32 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x32_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	32.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x35 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x35_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	35.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x40 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x40_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	40.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x45 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x45_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	45.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x50 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x50_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	50.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x55 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x55_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	55.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 6x60 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_6x60_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	6.0	60.0	2.0	1.6	3.2	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x16 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x16_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	16.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x18 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x18_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	18.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x20 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x20_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	20.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x22 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x22_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	22.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x24 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x24_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	24.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x26 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x26_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	26.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x28 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x28_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	28.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x30 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x30_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	30.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x32 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x32_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	32.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x35 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x35_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	35.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x40 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x40_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	40.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x45 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x45_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	45.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x50 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x50_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	50.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x55 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x55_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	55.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x60 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x60_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	60.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x65 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x65_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	65.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x70 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x70_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	70.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x75 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x75_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	75.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 8x80 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_8x80_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	8.0	80.0	2.0	2.0	3.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x20 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x20_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	20.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x22 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x22_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	22.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x24 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x24_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	24.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x26 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x26_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	26.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x28 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x28_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	28.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x30 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x30_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	30.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x32 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x32_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	32.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x35 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x35_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	35.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x40 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x40_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	40.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x45 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x45_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	45.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x50 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x50_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	50.0	2.0	3.2	4.5	St	EN 22340	1992
EN 22340 CLEVIS PIN 10x55 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_10x55_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	10.0	55.0	2.0	3.2	4.5	St	EN 22340	1992
