PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	a_min(mm)	c_max(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
EN ISO 4018 SCREW M18x160 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x160_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	152.5	160.0	164.0	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M18x180 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M18x180_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	172.5	180.0	184.0	7.5	2.5	0.8	21.2	24.85	29.56	12.4	7.42	0.6	27.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x45 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x45_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	37.5	45.0	46.25	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x50 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x50_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	42.5	50.0	51.25	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x55 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x55_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	47.5	55.0	56.5	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x60 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x60_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	52.5	60.0	61.5	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x65 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x65_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	57.5	65.0	66.5	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x70 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x70_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	62.5	70.0	71.5	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x80 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x80_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	72.5	80.0	81.5	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M22x90 STEEL GRADE C HEXAGON HEAD NONPREFERRED	EN_ISO_4018_M22x90_STEEL_GRADE_C_HEXAGON_HEAD_NONPREFERRED_SCREW	M22	22.0	2.5	82.5	90.0	91.75	7.5	2.5	0.8	26.4	31.35	37.29	14.9	9.17	0.8	34.0	C	St	EN ISO 4018	2000
