PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	ds_dia_point(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Material	Reference	Edition
EN ISO 4029 SCREW M3&12 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M3&12_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M3	3.0	0.5	11.844	12.0	1.4	1.733	1.5	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M3&16 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M3&16_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M3	3.0	0.5	15.844	16.0	1.4	1.733	1.5	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M4&4 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M4&4_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M4	4.0	0.7	3.781	4.0	2.0	2.303	2.0	1.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M4&5 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M4&5_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M4	4.0	0.7	4.781	5.0	2.0	2.303	2.0	1.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M4&6 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M4&6_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M4	4.0	0.7	5.781	6.0	2.0	2.303	2.0	2.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M4&8 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M4&8_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M4	4.0	0.7	7.781	8.0	2.0	2.303	2.0	2.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M4&10 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M4&10_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M4	4.0	0.7	9.781	10.0	2.0	2.303	2.0	2.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M4&12 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M4&12_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M4	4.0	0.7	11.781	12.0	2.0	2.303	2.0	2.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M4&16 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M4&16_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M4	4.0	0.7	15.781	16.0	2.0	2.303	2.0	2.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M4&20 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M4&20_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M4	4.0	0.7	19.781	20.0	2.0	2.303	2.0	2.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M5&5 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M5&5_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M5	5.0	0.8	4.75	5.0	2.5	2.873	2.5	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M5&6 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M5&6_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M5	5.0	0.8	5.75	6.0	2.5	2.873	2.5	3.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M5&8 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M5&8_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M5	5.0	0.8	7.75	8.0	2.5	2.873	2.5	3.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M5&10 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M5&10_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M5	5.0	0.8	9.75	10.0	2.5	2.873	2.5	3.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M5&12 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M5&12_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M5	5.0	0.8	11.75	12.0	2.5	2.873	2.5	3.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M5&16 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M5&16_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M5	5.0	0.8	15.75	16.0	2.5	2.873	2.5	3.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M5&20 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M5&20_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M5	5.0	0.8	19.75	20.0	2.5	2.873	2.5	3.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M5&25 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M5&25_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M5	5.0	0.8	24.75	25.0	2.5	2.873	2.5	3.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M6&6 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M6&6_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M6	6.0	1.0	5.688	6.0	3.0	3.443	3.0	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M6&8 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M6&8_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M6	6.0	1.0	7.688	8.0	3.0	3.443	3.0	3.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M6&10 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M6&10_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M6	6.0	1.0	9.688	10.0	3.0	3.443	3.0	3.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M6&12 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M6&12_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M6	6.0	1.0	11.688	12.0	3.0	3.443	3.0	3.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M6&16 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M6&16_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M6	6.0	1.0	15.688	16.0	3.0	3.443	3.0	3.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M6&20 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M6&20_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M6	6.0	1.0	19.688	20.0	3.0	3.443	3.0	3.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M6&25 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M6&25_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M6	6.0	1.0	24.688	25.0	3.0	3.443	3.0	3.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M6&30 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M6&30_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M6	6.0	1.0	29.688	30.0	3.0	3.443	3.0	3.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M8&8 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M8&8_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M8	8.0	1.25	7.609	8.0	5.0	4.583	4.0	3.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M8&10 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M8&10_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M8	8.0	1.25	9.609	10.0	5.0	4.583	4.0	5.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M8&12 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M8&12_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M8	8.0	1.25	11.609	12.0	5.0	4.583	4.0	5.0	St	EN IS0 4029	2003
