PartNumber	PartName	d1_nom_dia(mm)	l_nom_length(mm)	l_min(mm)	l_max(mm)	c1_rad(mm)	c2_cham(mm)	a_rad(mm)	tol	Material	Reference	Edition
ISO 8740 GROOVED PIN 6x65 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x65_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	65.0	64.25	65.75	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x70 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x70_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	70.0	69.25	70.75	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x75 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x75_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	75.0	74.25	75.75	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 6x80 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_6x80_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	6.0	80.0	79.25	80.75	0.6	2.1	0.8	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x14 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x14_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	14.0	13.5	14.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x16 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x16_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	16.0	15.5	16.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x18 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x18_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	18.0	17.5	18.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x20 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x20_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	20.0	19.5	20.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x22 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x22_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	22.0	21.5	22.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x24 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x24_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	24.0	23.5	24.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	26.0	25.5	26.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	28.0	27.5	28.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	30.0	29.5	30.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x32 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x32_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	32.0	31.5	32.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x35 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x35_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	35.0	34.5	35.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x40 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x40_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	40.0	39.5	40.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x45 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x45_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	45.0	44.5	45.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x50 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x50_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	50.0	49.5	50.5	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x55 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x55_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	55.0	54.25	55.75	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x60 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x60_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	60.0	59.25	60.75	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x65 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x65_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	65.0	64.25	65.75	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x70 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x70_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	70.0	69.25	70.75	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x75 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x75_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	75.0	74.25	75.75	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x80 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x80_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	80.0	79.25	80.75	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x85 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x85_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	85.0	84.25	85.75	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x90 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x90_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	90.0	89.25	90.75	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x95 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x95_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	95.0	94.25	95.75	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 8x100 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_8x100_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	8.0	100.0	99.25	100.75	0.8	2.6	1.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x14 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x14_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	14.0	13.5	14.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x16 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x16_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	16.0	15.5	16.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x18 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x18_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	18.0	17.5	18.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x20 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x20_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	20.0	19.5	20.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x22 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x22_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	22.0	21.5	22.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x24 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x24_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	24.0	23.5	24.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	26.0	25.5	26.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	28.0	27.5	28.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	30.0	29.5	30.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x32 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x32_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	32.0	31.5	32.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x35 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x35_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	35.0	34.5	35.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x40 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x40_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	40.0	39.5	40.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x45 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x45_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	45.0	44.5	45.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x50 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x50_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	50.0	49.5	50.5	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x55 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x55_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	55.0	54.25	55.75	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x60 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x60_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	60.0	59.25	60.75	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x65 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x65_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	65.0	64.25	65.75	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x70 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x70_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	70.0	69.25	70.75	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x75 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x75_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	75.0	74.25	75.75	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x80 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x80_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	80.0	79.25	80.75	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x85 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x85_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	85.0	84.25	85.75	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x90 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x90_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	90.0	89.25	90.75	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x95 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x95_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	95.0	94.25	95.75	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 10x100 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_10x100_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	10.0	100.0	99.25	100.75	1.0	3.0	1.2	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x18 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x18_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	18.0	17.5	18.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x20 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x20_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	20.0	19.5	20.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x22 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x22_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	22.0	21.5	22.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x24 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x24_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	24.0	23.5	24.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	26.0	25.5	26.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	28.0	27.5	28.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	30.0	29.5	30.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x32 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x32_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	32.0	31.5	32.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x35 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x35_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	35.0	34.5	35.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x40 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x40_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	40.0	39.5	40.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x45 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x45_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	45.0	44.5	45.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x50 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x50_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	50.0	49.5	50.5	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x55 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x55_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	55.0	54.25	55.75	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x60 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x60_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	60.0	59.25	60.75	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x65 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x65_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	65.0	64.25	65.75	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x70 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x70_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	70.0	69.25	70.75	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x75 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x75_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	75.0	74.25	75.75	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x80 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x80_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	80.0	79.25	80.75	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x85 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x85_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	85.0	84.25	85.75	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x90 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x90_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	90.0	89.25	90.75	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x95 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x95_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	95.0	94.25	95.75	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 12x100 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_12x100_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	12.0	100.0	99.25	100.75	1.2	3.8	1.6	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x22 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x22_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	22.0	21.5	22.5	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x24 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x24_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	24.0	23.5	24.5	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	26.0	25.5	26.5	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	28.0	27.5	28.5	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	30.0	29.5	30.5	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x32 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x32_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	32.0	31.5	32.5	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x35 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x35_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	35.0	34.5	35.5	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x40 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x40_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	40.0	39.5	40.5	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x45 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x45_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	45.0	44.5	45.5	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x50 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x50_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	50.0	49.5	50.5	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x55 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x55_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	55.0	54.25	55.75	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x60 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x60_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	60.0	59.25	60.75	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x65 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x65_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	65.0	64.25	65.75	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x70 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x70_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	70.0	69.25	70.75	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x75 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x75_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	75.0	74.25	75.75	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x80 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x80_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	80.0	79.25	80.75	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x85 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x85_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	85.0	84.25	85.75	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x90 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x90_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	90.0	89.25	90.75	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x95 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x95_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	95.0	94.25	95.75	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 16x100 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_16x100_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	16.0	100.0	99.25	100.75	1.6	4.6	2.0	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 20x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_20x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	20.0	26.0	25.5	26.5	2.0	6.0	2.5	h11	St	ISO 8740	1997
