PartNumber	PartName	d1_nom_dia(mm)	l_nom_length(mm)	l_min(mm)	l_max(mm)	c1_rad(mm)	c2_cham(mm)	a_rad(mm)	tol	Material	Reference	Edition
ISO 8740 GROOVED PIN 2.5x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2.5x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.5	28.0	27.5	28.5	0.25	1.0	0.3	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2.5x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2.5x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.5	30.0	29.5	30.5	0.25	1.0	0.3	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x10 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x10_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	10.0	9.75	10.25	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x12 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x12_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	12.0	11.5	12.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x14 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x14_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	14.0	13.5	14.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x16 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x16_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	16.0	15.5	16.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x18 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x18_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	18.0	17.5	18.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x20 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x20_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	20.0	19.5	20.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x22 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x22_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	22.0	21.5	22.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x24 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x24_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	24.0	23.5	24.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	26.0	25.5	26.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	28.0	27.5	28.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	30.0	29.5	30.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x32 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x32_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	32.0	31.5	32.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x35 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x35_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	35.0	34.5	35.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 3x40 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_3x40_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	3.0	40.0	39.5	40.5	0.3	1.2	0.4	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x10 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x10_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	10.0	9.75	10.25	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x12 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x12_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	12.0	11.5	12.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x14 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x14_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	14.0	13.5	14.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
ISO 8740 GROOVED PIN 4x16 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_4x16_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	4.0	16.0	15.5	16.5	0.4	1.4	0.5	h11	St	ISO 8740	1997
