PartNumber	PartName	d_dia(mm)	a(mm)	l_length_nom(mm)	l_max(mm)	l_min(mm)	r1(mm)	r2(mm)	Material	Reference	Edition
ISO 2339 PIN 2x32 STEEL TAPER UNHARDENED	ISO_2339_2x32_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	32.0	32.5	31.5	2.0	2.33	St	ISO 2339	1986
ISO 2339 PIN 2x35 STEEL TAPER UNHARDENED	ISO_2339_2x35_STEEL_UNHARDENED_TAPER_PIN	2.0	0.25	35.0	35.5	34.5	2.0	2.37	St	ISO 2339	1986
ISO 2339 PIN 2.5x10 STEEL TAPER UNHARDENED	ISO_2339_2.5x10_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	10.0	10.25	9.75	2.5	2.667	St	ISO 2339	1986
ISO 2339 PIN 2.5x12 STEEL TAPER UNHARDENED	ISO_2339_2.5x12_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	12.0	12.5	11.5	2.5	2.674	St	ISO 2339	1986
ISO 2339 PIN 2.5x14 STEEL TAPER UNHARDENED	ISO_2339_2.5x14_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	14.0	14.5	13.5	2.5	2.683	St	ISO 2339	1986
ISO 2339 PIN 2.5x16 STEEL TAPER UNHARDENED	ISO_2339_2.5x16_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	16.0	16.5	15.5	2.5	2.693	St	ISO 2339	1986
ISO 2339 PIN 2.5x18 STEEL TAPER UNHARDENED	ISO_2339_2.5x18_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	18.0	18.5	17.5	2.5	2.704	St	ISO 2339	1986
ISO 2339 PIN 2.5x20 STEEL TAPER UNHARDENED	ISO_2339_2.5x20_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	20.0	20.5	19.5	2.5	2.717	St	ISO 2339	1986
ISO 2339 PIN 2.5x22 STEEL TAPER UNHARDENED	ISO_2339_2.5x22_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	22.0	22.5	21.5	2.5	2.731	St	ISO 2339	1986
ISO 2339 PIN 2.5x24 STEEL TAPER UNHARDENED	ISO_2339_2.5x24_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	24.0	24.5	23.5	2.5	2.746	St	ISO 2339	1986
ISO 2339 PIN 2.5x26 STEEL TAPER UNHARDENED	ISO_2339_2.5x26_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	26.0	26.5	25.5	2.5	2.763	St	ISO 2339	1986
ISO 2339 PIN 2.5x28 STEEL TAPER UNHARDENED	ISO_2339_2.5x28_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	28.0	28.5	27.5	2.5	2.781	St	ISO 2339	1986
ISO 2339 PIN 2.5x30 STEEL TAPER UNHARDENED	ISO_2339_2.5x30_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	30.0	30.5	29.5	2.5	2.8	St	ISO 2339	1986
ISO 2339 PIN 2.5x32 STEEL TAPER UNHARDENED	ISO_2339_2.5x32_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	32.0	32.5	31.5	2.5	2.821	St	ISO 2339	1986
ISO 2339 PIN 2.5x35 STEEL TAPER UNHARDENED	ISO_2339_2.5x35_STEEL_UNHARDENED_TAPER_PIN	2.5	0.3	35.0	35.5	34.5	2.5	2.854	St	ISO 2339	1986
ISO 2339 PIN 3x12 STEEL TAPER UNHARDENED	ISO_2339_3x12_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	12.0	12.5	11.5	3.0	3.218	St	ISO 2339	1986
ISO 2339 PIN 3x14 STEEL TAPER UNHARDENED	ISO_2339_3x14_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	14.0	14.5	13.5	3.0	3.225	St	ISO 2339	1986
ISO 2339 PIN 3x16 STEEL TAPER UNHARDENED	ISO_2339_3x16_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	16.0	16.5	15.5	3.0	3.232	St	ISO 2339	1986
ISO 2339 PIN 3x18 STEEL TAPER UNHARDENED	ISO_2339_3x18_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	18.0	18.5	17.5	3.0	3.241	St	ISO 2339	1986
ISO 2339 PIN 3x20 STEEL TAPER UNHARDENED	ISO_2339_3x20_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	20.0	20.5	19.5	3.0	3.25	St	ISO 2339	1986
ISO 2339 PIN 3x22 STEEL TAPER UNHARDENED	ISO_2339_3x22_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	22.0	22.5	21.5	3.0	3.261	St	ISO 2339	1986
ISO 2339 PIN 3x24 STEEL TAPER UNHARDENED	ISO_2339_3x24_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	24.0	24.5	23.5	3.0	3.272	St	ISO 2339	1986
ISO 2339 PIN 3x26 STEEL TAPER UNHARDENED	ISO_2339_3x26_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	26.0	26.5	25.5	3.0	3.285	St	ISO 2339	1986
ISO 2339 PIN 3x28 STEEL TAPER UNHARDENED	ISO_2339_3x28_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	28.0	28.5	27.5	3.0	3.298	St	ISO 2339	1986
ISO 2339 PIN 3x30 STEEL TAPER UNHARDENED	ISO_2339_3x30_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	30.0	30.5	29.5	3.0	3.313	St	ISO 2339	1986
ISO 2339 PIN 3x32 STEEL TAPER UNHARDENED	ISO_2339_3x32_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	32.0	32.5	31.5	3.0	3.328	St	ISO 2339	1986
ISO 2339 PIN 3x35 STEEL TAPER UNHARDENED	ISO_2339_3x35_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	35.0	35.5	34.5	3.0	3.353	St	ISO 2339	1986
ISO 2339 PIN 3x40 STEEL TAPER UNHARDENED	ISO_2339_3x40_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	40.0	40.5	39.5	3.0	3.4	St	ISO 2339	1986
ISO 2339 PIN 3x45 STEEL TAPER UNHARDENED	ISO_2339_3x45_STEEL_UNHARDENED_TAPER_PIN	3.0	0.4	45.0	45.5	44.5	3.0	3.453	St	ISO 2339	1986
ISO 2339 PIN 4x14 STEEL TAPER UNHARDENED	ISO_2339_4x14_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	14.0	14.5	13.5	4.0	4.27	St	ISO 2339	1986
ISO 2339 PIN 4x16 STEEL TAPER UNHARDENED	ISO_2339_4x16_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	16.0	16.5	15.5	4.0	4.276	St	ISO 2339	1986
ISO 2339 PIN 4x18 STEEL TAPER UNHARDENED	ISO_2339_4x18_STEEL_UNHARDENED_TAPER_PIN	4.0	0.5	18.0	18.5	17.5	4.0	4.282	St	ISO 2339	1986
