PartNumber	PartName	d_dia(mm)	a(mm)	l_length_nom(mm)	l_max(mm)	l_min(mm)	r1(mm)	r2(mm)	Material	Reference	Edition
ISO 2339 PIN 50x75 STEEL TAPER UNHARDENED	ISO_2339_50x75_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	75.0	75.75	74.25	50.0	53.195	St	ISO 2339	1986
ISO 2339 PIN 50x80 STEEL TAPER UNHARDENED	ISO_2339_50x80_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	80.0	80.75	79.25	50.0	53.201	St	ISO 2339	1986
ISO 2339 PIN 50x85 STEEL TAPER UNHARDENED	ISO_2339_50x85_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	85.0	85.75	84.25	50.0	53.207	St	ISO 2339	1986
ISO 2339 PIN 50x90 STEEL TAPER UNHARDENED	ISO_2339_50x90_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	90.0	90.75	89.25	50.0	53.214	St	ISO 2339	1986
ISO 2339 PIN 50x95 STEEL TAPER UNHARDENED	ISO_2339_50x95_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	95.0	95.75	94.25	50.0	53.222	St	ISO 2339	1986
ISO 2339 PIN 50x100 STEEL TAPER UNHARDENED	ISO_2339_50x100_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	100.0	100.75	99.25	50.0	53.229	St	ISO 2339	1986
ISO 2339 PIN 50x120 STEEL TAPER UNHARDENED	ISO_2339_50x120_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	120.0	120.75	119.25	50.0	53.264	St	ISO 2339	1986
ISO 2339 PIN 50x140 STEEL TAPER UNHARDENED	ISO_2339_50x140_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	140.0	140.75	139.25	50.0	53.306	St	ISO 2339	1986
ISO 2339 PIN 50x160 STEEL TAPER UNHARDENED	ISO_2339_50x160_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	160.0	160.75	159.25	50.0	53.353	St	ISO 2339	1986
ISO 2339 PIN 50x180 STEEL TAPER UNHARDENED	ISO_2339_50x180_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	180.0	180.75	179.25	50.0	53.407	St	ISO 2339	1986
ISO 2339 PIN 50x200 STEEL TAPER UNHARDENED	ISO_2339_50x200_STEEL_UNHARDENED_TAPER_PIN	50.0	6.3	200.0	200.75	199.25	50.0	53.467	St	ISO 2339	1986
