PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	a_max(mm)	dk_nom(mm)	k_max(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Recess_width(mm)	type	Series	Material	Reference	Edition
ISO 7046-2 SCREW M3x12-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x12-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	9.35	12.0	25.0	1.0	5.5	1.65	0.8	1.25	2.9	1.8	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x14-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x14-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	11.35	14.0	25.0	1.0	5.5	1.65	0.8	1.25	2.9	1.8	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x16-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x16-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	13.35	16.0	25.0	1.0	5.5	1.65	0.8	1.25	2.9	1.8	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x20-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x20-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	17.35	20.0	25.0	1.0	5.5	1.65	0.8	1.25	2.9	1.8	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x25-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x25-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	22.35	25.0	25.0	1.0	5.5	1.65	0.8	1.25	2.9	1.8	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3x30-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3x30-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3	3.0	0.5	27.35	30.0	25.0	1.0	5.5	1.65	0.8	1.25	2.9	1.8	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x5-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x5-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	1.45	5.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x6-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x6-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	2.45	6.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x8-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x8-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	4.45	8.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x10-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x10-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	6.45	10.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x12-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x12-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	8.45	12.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x14-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x14-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	10.45	14.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x16-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x16-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	12.45	16.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x20-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x20-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	16.45	20.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x25-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x25-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	21.45	25.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x30-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x30-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	26.45	30.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x35-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x35-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	31.45	35.0	38.0	1.2	7.3	2.35	0.9	1.5	4.1	2.1	0.7	H	2.0	St	ISO 7046-2	1990
