PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	a_max(mm)	dk_nom(mm)	k_max(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Recess_width(mm)	type	Series	Material	Reference	Edition
ISO 7046-2 SCREW M3.5x5-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x5-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	1.45	5.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x6-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x6-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	2.45	6.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x8-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x8-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	4.45	8.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x10-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x10-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	6.45	10.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x12-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x12-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	8.45	12.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x14-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x14-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	10.45	14.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x16-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x16-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	12.45	16.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x20-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x20-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	16.45	20.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x25-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x25-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	21.45	25.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x30-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x30-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	26.45	30.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x35-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x35-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	31.45	35.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x40-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x40-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	36.45	40.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M3.5x45-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M3.5x45-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M3.5	3.5	0.6	41.45	45.0	38.0	1.2	7.3	2.35	0.9	1.5	4.0	2.05	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x5-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x5-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	0.9	5.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x6-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x6-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	1.9	6.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x8-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x8-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	3.9	8.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x10-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x10-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	5.9	10.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x12-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x12-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	7.9	12.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x14-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x14-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	9.9	14.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x16-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x16-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	11.9	16.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x20-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x20-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	15.9	20.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x25-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x25-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	20.9	25.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x30-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x30-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	25.9	30.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x35-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x35-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	30.9	35.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x40-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x40-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	35.9	40.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M4x45-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M4x45-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M4	4.0	0.7	40.9	45.0	38.0	1.4	8.4	2.7	1.0	1.75	4.4	2.51	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x6-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x6-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	1.7	6.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x8-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x8-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	3.7	8.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x10-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x10-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	5.7	10.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x12-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x12-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	7.7	12.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x14-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x14-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	9.7	14.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x16-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x16-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	11.7	16.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x20-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x20-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	15.7	20.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x25-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x25-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	20.7	25.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x30-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x30-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	25.7	30.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x35-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x35-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	30.7	35.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x40-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x40-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	35.7	40.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x45-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x45-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	40.7	45.0	38.0	1.6	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M5x50-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M5x50-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M5	5.0	0.8	38.0	50.0	38.0	2.0	9.3	2.7	1.3	2.0	4.6	2.72	1.03	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x8-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x8-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	2.7	8.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x10-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x10-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	4.7	10.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x12-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x12-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	6.7	12.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x14-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x14-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	8.7	14.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x16-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x16-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	10.7	16.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x20-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x20-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	14.7	20.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x25-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x25-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	19.7	25.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x30-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x30-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	24.7	30.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x35-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x35-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	29.7	35.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x40-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x40-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	34.7	40.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x45-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x45-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	39.7	45.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x50-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x50-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	44.7	50.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x55-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x55-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	38.0	55.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M6x60-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M6x60-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M6	6.0	1.0	38.0	60.0	38.0	2.0	11.3	3.3	1.5	2.5	6.3	3.18	1.42	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x10-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x10-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	2.85	10.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x12-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x12-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	4.85	12.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x14-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x14-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	6.85	14.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x16-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x16-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	8.85	16.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x20-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x20-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	12.85	20.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x25-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x25-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	17.85	25.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x30-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x30-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	22.85	30.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x35-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x35-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	27.85	35.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x40-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x40-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	32.85	40.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x45-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x45-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	37.85	45.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x50-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x50-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	38.0	50.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x55-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x55-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	38.0	55.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M8x60-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M8x60-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M8	8.0	1.25	38.0	60.0	38.0	2.5	15.8	4.65	2.0	3.2	8.5	4.32	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x12-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x12-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	4.0	12.0	38.0	3.0	18.3	5.0	2.5	3.8	9.4	5.23	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x14-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x14-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	6.0	14.0	38.0	3.0	18.3	5.0	2.5	3.8	9.4	5.23	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x16-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x16-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	8.0	16.0	38.0	3.0	18.3	5.0	2.5	3.8	9.4	5.23	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x20-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x20-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	12.0	20.0	38.0	3.0	18.3	5.0	2.5	3.8	9.4	5.23	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x25-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x25-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	17.0	25.0	38.0	3.0	18.3	5.0	2.5	3.8	9.4	5.23	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x30-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x30-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	22.0	30.0	38.0	3.0	18.3	5.0	2.5	3.8	9.4	5.23	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x35-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x35-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	27.0	35.0	38.0	3.0	18.3	5.0	2.5	3.8	9.4	5.23	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x40-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x40-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	32.0	40.0	38.0	3.0	18.3	5.0	2.5	3.8	9.4	5.23	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x45-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x45-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	37.0	45.0	38.0	3.0	18.3	5.0	2.5	3.8	9.4	5.23	2.16	Z	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M10x50-Z2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M10x50-Z2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M10	10.0	1.5	38.0	50.0	38.0	3.0	18.3	5.0	2.5	3.8	9.4	5.23	2.16	Z	2.0	St	ISO 7046-2	1990
