PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	c_max(mm)	c_min(mm)	da_max(mm)	ds_max(mm)	dw_min(mm)	e_min(mm)	lf_max(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	Grade	Material	Reference	Edition
ISO 4014 BOLT M27x260 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M27x260_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M27	27.0	3.0	79.0	260.0	0.8	0.2	30.4	27.0	38.0	45.2	6.0	17.35	11.66	1.0	41.0	166.0	181.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x130 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x130_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	78.0	130.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	34.5	52.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x140 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x140_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	78.0	140.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	44.5	62.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x150 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x150_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	78.0	150.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	54.5	72.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	78.0	160.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	64.5	82.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	78.0	180.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	84.5	102.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	78.0	200.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	104.5	122.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x220 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x220_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	91.0	220.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	111.5	129.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x240 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x240_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	91.0	240.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	131.5	149.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x260 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x260_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	91.0	260.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	151.5	169.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x280 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x280_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	91.0	280.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	171.5	189.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x300 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x300_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	91.0	300.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	191.5	209.0	B	St	ISO 4014	1999
ISO 4014 BOLT M33x320 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M33x320_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M33	33.0	3.5	91.0	320.0	0.8	0.2	36.4	33.0	46.55	55.37	6.0	21.42	14.41	1.0	50.0	211.5	229.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x150 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x150_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	90.0	150.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	40.0	60.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	90.0	160.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	50.0	70.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x180 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x180_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	90.0	180.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	70.0	90.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x200 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x200_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	90.0	200.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	90.0	110.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x220 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x220_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	103.0	220.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	97.0	117.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x240 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x240_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	103.0	240.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	117.0	137.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x260 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x260_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	103.0	260.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	137.0	157.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x280 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x280_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	103.0	280.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	157.0	177.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x300 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x300_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	103.0	300.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	177.0	197.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x320 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x320_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	103.0	320.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	197.0	217.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x340 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x340_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	103.0	340.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	217.0	237.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x360 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x360_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	103.0	360.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	237.0	257.0	B	St	ISO 4014	1999
ISO 4014 BOLT M39x380 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4014_M39x380_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_BOLT	M39	39.0	4.0	103.0	380.0	1.0	0.3	42.4	39.0	55.86	66.44	6.0	25.42	17.21	1.0	60.0	257.0	277.0	B	St	ISO 4014	1999
