PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	d1_dia_point(mm)	Y_Cone_Angle	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Material	Reference	Edition
ISO 4027 SCREW M4x4 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M4x4_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M4	4.0	0.7	3.781	4.0	1.0	120	2.303	2.0	1.5	St	IS0 4027	2003
ISO 4027 SCREW M4x5 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M4x5_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M4	4.0	0.7	4.781	5.0	1.0	120	2.303	2.0	1.5	St	IS0 4027	2003
ISO 4027 SCREW M4x6 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M4x6_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M4	4.0	0.7	5.781	6.0	1.0	90	2.303	2.0	2.5	St	IS0 4027	2003
ISO 4027 SCREW M4x8 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M4x8_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M4	4.0	0.7	7.781	8.0	1.0	90	2.303	2.0	2.5	St	IS0 4027	2003
ISO 4027 SCREW M4x10 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M4x10_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M4	4.0	0.7	9.781	10.0	1.0	90	2.303	2.0	2.5	St	IS0 4027	2003
ISO 4027 SCREW M4x12 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M4x12_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M4	4.0	0.7	11.781	12.0	1.0	90	2.303	2.0	2.5	St	IS0 4027	2003
ISO 4027 SCREW M4x16 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M4x16_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M4	4.0	0.7	15.781	16.0	1.0	90	2.303	2.0	2.5	St	IS0 4027	2003
ISO 4027 SCREW M4x20 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M4x20_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M4	4.0	0.7	19.781	20.0	1.0	90	2.303	2.0	2.5	St	IS0 4027	2003
ISO 4027 SCREW M5x5 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M5x5_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M5	5.0	0.8	4.75	5.0	1.25	120	2.873	2.5	2.0	St	IS0 4027	2003
ISO 4027 SCREW M5x6 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M5x6_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M5	5.0	0.8	5.75	6.0	1.25	120	2.873	2.5	2.0	St	IS0 4027	2003
ISO 4027 SCREW M5x8 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M5x8_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M5	5.0	0.8	7.75	8.0	1.25	90	2.873	2.5	3.0	St	IS0 4027	2003
ISO 4027 SCREW M5x10 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M5x10_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M5	5.0	0.8	9.75	10.0	1.25	90	2.873	2.5	3.0	St	IS0 4027	2003
ISO 4027 SCREW M5x12 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M5x12_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M5	5.0	0.8	11.75	12.0	1.25	90	2.873	2.5	3.0	St	IS0 4027	2003
ISO 4027 SCREW M5x16 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M5x16_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M5	5.0	0.8	15.75	16.0	1.25	90	2.873	2.5	3.0	St	IS0 4027	2003
ISO 4027 SCREW M5x20 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M5x20_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M5	5.0	0.8	19.75	20.0	1.25	90	2.873	2.5	3.0	St	IS0 4027	2003
ISO 4027 SCREW M5x25 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M5x25_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M5	5.0	0.8	24.75	25.0	1.25	90	2.873	2.5	3.0	St	IS0 4027	2003
ISO 4027 SCREW M6x6 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M6x6_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M6	6.0	1.0	5.688	6.0	1.5	120	3.443	3.0	2.0	St	IS0 4027	2003
ISO 4027 SCREW M6x8 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M6x8_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M6	6.0	1.0	7.688	8.0	1.5	90	3.443	3.0	3.5	St	IS0 4027	2003
ISO 4027 SCREW M6x10 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M6x10_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M6	6.0	1.0	9.688	10.0	1.5	90	3.443	3.0	3.5	St	IS0 4027	2003
ISO 4027 SCREW M6x12 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M6x12_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M6	6.0	1.0	11.688	12.0	1.5	90	3.443	3.0	3.5	St	IS0 4027	2003
ISO 4027 SCREW M6x16 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M6x16_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M6	6.0	1.0	15.688	16.0	1.5	90	3.443	3.0	3.5	St	IS0 4027	2003
ISO 4027 SCREW M6x20 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M6x20_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M6	6.0	1.0	19.688	20.0	1.5	90	3.443	3.0	3.5	St	IS0 4027	2003
