PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	c_max(mm)	c_min(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
ISO 4017 SCREW M18x70 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x70_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	62.5	70.0	70.6	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x80 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x80_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	72.5	80.0	80.6	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x90 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x90_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	82.5	90.0	90.7	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x100 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x100_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	92.5	100.0	100.7	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x110 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x110_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	102.5	110.0	110.7	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x120 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x120_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	112.5	120.0	120.7	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x130 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x130_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	122.5	130.0	130.8	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x140 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x140_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	132.5	140.0	140.8	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x150 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M18x150_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	142.5	150.0	150.8	7.5	0.8	0.2	20.2	25.34	30.14	11.715	7.9	0.6	27.0	A	St	ISO 4017	1999
ISO 4017 SCREW M18x160 STEEL GRADE B HEXAGON HEAD NONPREFERRED	ISO_4017_M18x160_STEEL_GRADE_B_HEXAGON_HEAD_NONPREFERRED_SCREW	M18	18.0	2.5	152.5	160.0	162.0	7.5	0.8	0.2	20.2	24.85	29.56	11.85	7.81	0.6	27.0	B	St	ISO 4017	1999
