PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	dp_dia_point(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	z_dog_point_len_max(mm)	type	Material	Reference	Edition
ISO 4028 SCREW M8x10 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M8x10_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M8	8.0	1.25	9.609	10.0	5.5	4.583	4.0	3.0	2.25	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M8x12 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M8x12_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	11.609	12.0	5.5	4.583	4.0	5.0	4.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M8x16 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M8x16_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	15.609	16.0	5.5	4.583	4.0	5.0	4.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M8x20 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M8x20_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	19.609	20.0	5.5	4.583	4.0	5.0	4.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M8x25 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M8x25_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	24.609	25.0	5.5	4.583	4.0	5.0	4.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M8x30 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M8x30_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	29.609	30.0	5.5	4.583	4.0	5.0	4.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M8x35 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M8x35_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	34.609	35.0	5.5	4.583	4.0	5.0	4.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M8x40 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M8x40_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M8	8.0	1.25	39.609	40.0	5.5	4.583	4.0	5.0	4.3	LONG	St	IS0 4028	2003
ISO 4028 SCREW M10x10 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M10x10_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M10	10.0	1.5	9.531	10.0	7.0	5.723	5.0	4.0	2.75	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M10x12 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M10x12_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M10	10.0	1.5	11.531	12.0	7.0	5.723	5.0	4.0	2.75	SHORT	St	IS0 4028	2003
