PartNumber	PartName	d1_pin_nom_dia(mm)	l_pin_length_nom(mm)	l_pin_length_min(mm)	l_pin_length_max(mm)	d1_pin_max(mm)	d1_pin_min(mm)	d2_pin_id(mm)	a_cham_max(mm)	a_cham_min(mm)	s_wall_th(mm)	Material	Reference	Edition
ISO 8752 SPRING PIN 3x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	28.0	27.5	28.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	30.0	29.5	30.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x32 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x32_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	32.0	31.5	32.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x35 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x35_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	35.0	34.5	35.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x40 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x40_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	40.0	39.5	40.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x4 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x4_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	4.0	3.75	4.25	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x5 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x5_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	5.0	4.75	5.25	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x6 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x6_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	6.0	5.75	6.25	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x8 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x8_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	8.0	6.75	7.25	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
ISO 8752 SPRING PIN 3.5x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_3.5x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.5	10.0	9.75	10.25	4.0	3.8	2.3	0.8	0.6	0.75	St	ISO 8752	1997
