PartNumber	PartName	d1_pin_nom_dia(mm)	l_pin_length_nom(mm)	l_pin_length_min(mm)	l_pin_length_max(mm)	d1_pin_max(mm)	d1_pin_min(mm)	d2_pin_id(mm)	a_cham_max(mm)	a_cham_min(mm)	s_wall_th(mm)	Material	Reference	Edition
ISO 8752 SPRING PIN 4x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	28.0	27.5	28.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	30.0	29.5	30.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x32 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x32_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	32.0	31.5	32.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x35 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x35_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	35.0	34.5	35.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x40 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x40_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	40.0	39.5	40.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x45 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x45_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	45.0	44.5	45.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4x50 STEEL SLOTTED HEAVY DUTY	ISO_8752_4x50_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.0	50.0	49.5	50.5	4.6	4.4	2.8	0.85	0.65	0.8	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x5 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x5_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	5.0	4.75	5.25	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x6 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x6_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	6.0	5.75	6.25	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x8 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x8_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	8.0	6.75	7.25	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	10.0	9.75	10.25	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	12.0	11.5	12.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	14.0	13.5	14.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	16.0	15.5	16.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	18.0	17.5	18.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	20.0	19.5	20.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	22.0	21.5	22.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	24.0	23.5	24.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	26.0	25.5	26.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	28.0	27.5	28.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	30.0	29.5	30.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x32 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x32_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	32.0	31.5	32.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x35 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x35_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	35.0	34.5	35.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x40 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x40_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	40.0	39.5	40.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x45 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x45_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	45.0	44.5	45.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 4.5x50 STEEL SLOTTED HEAVY DUTY	ISO_8752_4.5x50_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	4.5	50.0	49.5	50.5	5.1	4.9	2.9	1.0	0.8	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x5 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x5_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	5.0	4.75	5.25	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x6 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x6_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	6.0	5.75	6.25	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x8 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x8_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	8.0	6.75	7.25	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	10.0	9.75	10.25	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	12.0	11.5	12.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	14.0	13.5	14.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	16.0	15.5	16.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	18.0	17.5	18.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	20.0	19.5	20.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	22.0	21.5	22.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	24.0	23.5	24.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	26.0	25.5	26.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	28.0	27.5	28.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	30.0	29.5	30.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x32 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x32_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	32.0	31.5	32.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x35 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x35_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	35.0	34.5	35.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x40 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x40_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	40.0	39.5	40.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x45 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x45_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	45.0	44.5	45.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x50 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x50_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	50.0	49.5	50.5	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x55 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x55_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	55.0	54.25	55.75	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x60 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x60_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	60.0	59.25	60.75	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x65 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x65_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	65.0	64.25	65.75	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x70 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x70_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	70.0	69.25	70.75	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x75 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x75_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	75.0	74.25	75.75	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 5x80 STEEL SLOTTED HEAVY DUTY	ISO_8752_5x80_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	5.0	80.0	79.25	80.75	5.6	5.4	3.4	1.1	0.9	1.0	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	10.0	9.75	10.25	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	12.0	11.5	12.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	14.0	13.5	14.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	16.0	15.5	16.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	18.0	17.5	18.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	20.0	19.5	20.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	22.0	21.5	22.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	24.0	23.5	24.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	26.0	25.5	26.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	28.0	27.5	28.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	30.0	29.5	30.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x32 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x32_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	32.0	31.5	32.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x35 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x35_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	35.0	34.5	35.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x40 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x40_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	40.0	39.5	40.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x45 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x45_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	45.0	44.5	45.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x50 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x50_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	50.0	49.5	50.5	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x55 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x55_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	55.0	54.25	55.75	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x60 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x60_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	60.0	59.25	60.75	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x65 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x65_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	65.0	64.25	65.75	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x70 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x70_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	70.0	69.25	70.75	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x75 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x75_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	75.0	74.25	75.75	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x80 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x80_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	80.0	79.25	80.75	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x85 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x85_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	85.0	84.25	85.75	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x90 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x90_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	90.0	89.25	90.75	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x95 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x95_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	95.0	94.25	95.75	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 6x100 STEEL SLOTTED HEAVY DUTY	ISO_8752_6x100_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	6.0	100.0	99.25	100.75	6.7	6.4	4.0	1.4	1.2	1.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	10.0	9.75	10.25	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	12.0	11.5	12.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	14.0	13.5	14.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	16.0	15.5	16.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	18.0	17.5	18.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	20.0	19.5	20.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	22.0	21.5	22.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	24.0	23.5	24.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	26.0	25.5	26.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	28.0	27.5	28.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	30.0	29.5	30.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x32 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x32_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	32.0	31.5	32.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x35 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x35_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	35.0	34.5	35.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x40 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x40_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	40.0	39.5	40.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x45 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x45_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	45.0	44.5	45.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x50 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x50_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	50.0	49.5	50.5	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x55 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x55_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	55.0	54.25	55.75	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x60 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x60_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	60.0	59.25	60.75	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x65 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x65_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	65.0	64.25	65.75	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x70 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x70_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	70.0	69.25	70.75	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x75 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x75_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	75.0	74.25	75.75	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x80 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x80_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	80.0	79.25	80.75	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x85 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x85_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	85.0	84.25	85.75	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x90 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x90_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	90.0	89.25	90.75	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 8x95 STEEL SLOTTED HEAVY DUTY	ISO_8752_8x95_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	8.0	95.0	94.25	95.75	8.8	8.5	5.5	2.0	1.6	1.5	St	ISO 8752	1997
