PartNumber	PartName	d_pin_dia(mm)	l_pin_length(mm)	dk_head_dia(mm)	c_max(mm)	e(mm)	k_head_depth(mm)	le_min(mm)	r(mm)	dl_hole_dia(mm)	Material	Reference	Edition
ISO 2341 CLEVIS PIN 5x10 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x10_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	10.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x12 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x12_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	12.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x14 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x14_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	14.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x16 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x16_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	16.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x18 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x18_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	18.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x20 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x20_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	20.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x22 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x22_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	22.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x24 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x24_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	24.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x26 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x26_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	26.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x28 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x28_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	28.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 5x30 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_5x30_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	5.0	30.0	8.0	2.0	1.0	1.6	2.9	0.6	1.2	St	ISO 2341	1986
