PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	L_length_nom(mm)	J_hex_socket_nom(mm)	T_depth_min(mm)	A_point_dia_max(mm)	A_point_dia_min(mm)	Y_point angle(deg)	Material	Reference	Edition
ASME B18.3.6M SCREW M2.5x12 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x12_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	11.859	12.0	1.3	1.8	0.25	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2.5x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	15.859	16.0	1.3	1.8	0.25	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2.5x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	19.859	20.0	1.3	1.8	0.25	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M2.5x25 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M2.5x25_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M2.5	2.5	0.45	24.859	25.0	1.3	1.8	0.25	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x2.5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x2.5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	2.344	2.5	1.5	0.7	0.3	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x3 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x3_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	2.844	3.0	1.5	1.0	0.3	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x4 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x4_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	3.844	4.0	1.5	1.5	0.3	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	4.844	5.0	1.5	2.1	0.3	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x6 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x6_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	5.844	6.0	1.5	2.1	0.3	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x8 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x8_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	7.844	8.0	1.5	2.1	0.3	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x10 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x10_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	9.844	10.0	1.5	2.1	0.3	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x12 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x12_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	11.844	12.0	1.5	2.1	0.3	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	15.844	16.0	1.5	2.1	0.3	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	19.844	20.0	1.5	2.1	0.3	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x25 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x25_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	24.844	25.0	1.5	2.1	0.3	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M3x30 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M3x30_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M3	3.0	0.5	29.844	30.0	1.5	2.1	0.3	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x3 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x3_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	2.781	3.0	2.0	1.0	0.4	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x4 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x4_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	3.781	4.0	2.0	1.5	0.4	0.0	118	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x5 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x5_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	4.781	5.0	2.0	2.0	0.4	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x6 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x6_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	5.781	6.0	2.0	2.3	0.4	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x8 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x8_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	7.781	8.0	2.0	2.3	0.4	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x10 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x10_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	9.781	10.0	2.0	2.3	0.4	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x12 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x12_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	11.781	12.0	2.0	2.3	0.4	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x16 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x16_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	15.781	16.0	2.0	2.3	0.4	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x20 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x20_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	19.781	20.0	2.0	2.3	0.4	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x25 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x25_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	24.781	25.0	2.0	2.3	0.4	0.0	90	St	ASME B18.3.6M	1986
ASME B18.3.6M SCREW M4x30 STEEL SOCKET SET CONE POINT	ASME_B18_3_6M_M4x30_STEEL_CONE_POINT_HEX_SOCKET_SET_SCREW	M4	4.0	0.7	29.781	30.0	2.0	2.3	0.4	0.0	90	St	ASME B18.3.6M	1986
